Content,AreaName,PSI,MajorPollutant,FPMI,ForecastDate,PublishTime
1.21日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒。2.21日高屏地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。3.22、23日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；高屏地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。,花東,20 - 40,,1 - 3,2016-01-23,2016-01-20 17:30
1.21日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒。2.21日高屏地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。3.22、23日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；高屏地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。,宜蘭,20 - 40,,1 - 3,2016-01-23,2016-01-20 17:30
1.21日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒。2.21日高屏地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。3.22、23日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；高屏地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。,高屏,55 - 75,懸浮微粒,4 - 7,2016-01-23,2016-01-20 17:30
1.21日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒。2.21日高屏地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。3.22、23日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；高屏地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。,雲嘉南,30 - 50,,2 - 3,2016-01-23,2016-01-20 17:30
1.21日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒。2.21日高屏地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。3.22、23日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；高屏地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。,中部,30 - 50,,2 - 3,2016-01-23,2016-01-20 17:30
1.21日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒。2.21日高屏地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。3.22、23日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；高屏地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。,竹苗,25 - 45,,1 - 3,2016-01-23,2016-01-20 17:30
1.21日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒。2.21日高屏地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。3.22、23日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；高屏地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。,北部,25 - 45,,1 - 3,2016-01-23,2016-01-20 17:30
1.21日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒。2.21日高屏地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。3.22、23日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；高屏地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。,花東,20 - 40,,1 - 3,2016-01-22,2016-01-20 17:30
1.21日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒。2.21日高屏地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。3.22、23日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；高屏地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。,宜蘭,20 - 40,,1 - 3,2016-01-22,2016-01-20 17:30
1.21日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒。2.21日高屏地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。3.22、23日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；高屏地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。,高屏,55 - 75,懸浮微粒,4 - 7,2016-01-22,2016-01-20 17:30
1.21日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒。2.21日高屏地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。3.22、23日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；高屏地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。,雲嘉南,35 - 55,懸浮微粒,2 - 3,2016-01-22,2016-01-20 17:30
1.21日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒。2.21日高屏地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。3.22、23日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；高屏地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。,中部,30 - 50,,2 - 3,2016-01-22,2016-01-20 17:30
1.21日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒。2.21日高屏地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。3.22、23日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；高屏地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。,竹苗,25 - 45,,1 - 3,2016-01-22,2016-01-20 17:30
1.21日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒。2.21日高屏地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。3.22、23日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；高屏地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。,北部,25 - 45,,1 - 3,2016-01-22,2016-01-20 17:30
1.21日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒。2.21日高屏地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。3.22、23日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；高屏地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。,澎湖,25 - 45,,1 - 3,2016-01-21,2016-01-20 17:30
1.21日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒。2.21日高屏地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。3.22、23日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；高屏地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。,金門,45 - 65,懸浮微粒,3 - 5,2016-01-21,2016-01-20 17:30
1.21日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒。2.21日高屏地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。3.22、23日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；高屏地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。,馬祖,35 - 55,懸浮微粒,2 - 4,2016-01-21,2016-01-20 17:30
1.21日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒。2.21日高屏地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。3.22、23日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；高屏地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。,花東,20 - 40,,1 - 3,2016-01-21,2016-01-20 17:30
1.21日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒。2.21日高屏地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。3.22、23日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；高屏地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。,宜蘭,20 - 40,,1 - 3,2016-01-21,2016-01-20 17:30
