更新日期：2016/11/08
項次,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,,
檢驗項目,氟鹽(Fluoride),硝酸鹽氮(Nitrate),總溶解固體量(Total Dissolved Solids),砷(Arsenic),自由有效餘氯(Free Chlorine Residual),濁度(Turbidity),色度(Color),臭度(Odor),總鹼度(Total Alkalinity),pH值(pH ),氯鹽(Chloride),硫酸鹽(Sulfate),氨氮(Ammonia),亞硝酸鹽氮(Nitrite),總硬度(Total Hardness),鐵(Iron),錳(Manganese),總菌落數(Total Bacterial Count),大腸桿菌群(Coliform Group),總三鹵甲烷(Total Trihalomethanes),鉛(Lead),硒(Selenium),汞(Mercury),鋅(Zinc),銀(Silver),銅(Copper),鉻(Chromium),鎳(Nickel),鎘(Cadmium),鋇(Barium),銻(Antimony),陰離子界面活性劑(Anionic Surfactants),靈丹(Lindane),安殺番(Endosulfan),巴拉刈(Paraquat),大利松(Diazinon),巴拉松(Parathion),一品松(EPN),氰鹽(Cyanate),酚(Phenols),達馬松(Methamidophos),丁基拉草(Butachlor),2，4-地(2，4-D),納乃得(Methomyl),滅必蝨(MIPC(Isoprocarb)),加保扶(Carbofuran),亞素靈(Monocrotophos),鋁(Aluminium),溴酸鹽(Bromate),水質合格否(Y/N),
飲用水水質標準,0.8,10.0,500,0.01,0.2-1.0,2,5,3,－－,6.0-8.5,250,250,0.1,0.1,300,0.3,0.05,100,6,0.08,0.01,0.01,0.002,5.0,0.05,1.0,0.05,0.1,0.005,2.0,0.01,0.5,0.0002,0.003,0.01,0.005,0.02,0.005,0.05,0.001,0.02,0.02,0.07,0.01,0.02,0.02,0.003,0.3,0.01,－－,
單位,mg/L,mg/L,mg/L,mg/L,mg/L,NTU,鉑鈷單位,初嗅數,mg/L,－－,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,CFU/mL,CFU/100mL,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,－－,
="新山淨水場(Sinshan)基隆市麥金路720號",="0.05",="1.60",="163",="0.00024",="0.77",="0.45",="<5",="<1",="49.1",="7.0",="22.2",="22.7",="ND",="ND",="60.7",="0.01",="ND",="<1",="<1",="0.0210",="0.00181",="0.00019",="ND",="0.00381",="ND",="0.00112",="0.00098",="ND",="ND",="0.0226",="0.00011",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.105",="ND",="Y",
="貢寮淨水場(Gongliau)新北市貢寮區下雙溪街20號",="0.03",="0.55",="88.3",="0.00032",="0.69",="0.40",="<5",="<1",="25.5",="7.2",="16.5",="8.8",="ND",="ND",="30.8",="0.06",="ND",="<1",="<1",="0.0240",="0.00274",="ND",="ND",="0.00254",="0.00002",="0.00060",="0.00120",="ND",="0.00001",="0.0340",="0.00005",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.108",="ND",="Y",
="板新淨水場(Bansin)新北市三峽區中山路551號",="0.07",="0.78",="138",="0.00045",="0.74",="0.25",="<5",="<1",="50.3",="7.2",="10.3",="26.0",="0.03",="ND",="74.6",="ND",="ND",="<1",="<1",="0.0170",="ND",="ND",="ND",="0.00431",="ND",="0.00599",="0.00267",="0.00087",="0.00020",="0.0150",="0.00017",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.0767",="ND",="Y",
="員山淨水場(Yuanshan)新北市瑞芳區員山路19-1號",="0.04",="0.77",="117",="0.00041",="0.65",="0.45",="<5",="<1",="39.0",="7.6",="13.6",="18.0",="ND",="ND",="45.0",="0.02",="ND",="<1",="<1",="0.0236",="0.00092",="ND",="ND",="0.00195",="ND",="0.00077",="0.00059",="ND",="ND",="0.0169",="0.00004",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.109",="ND",="Y",
="平鎮淨水場(Pingjen)桃園市平鎮區南豐路267號",="0.09",="0.39",="123",="0.00063",="0.66",="0.50",="<5",="<1",="63.0",="7.6",="2.8",="35.8",="ND",="ND",="100",="0.05",="ND",="<1",="<1",="0.00562",="0.00033",="0.00022",="ND",="0.00169",="ND",="0.00077",="0.00061",="ND",="ND",="0.00868",="0.00023",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.103",="ND",="Y",
="大湳淨水場(Danan)桃園市桃園區國際路一段485巷101號",="0.09",="0.48",="159",="0.00059",="0.65",="0.40",="<5",="<1",="74.9",="7.5",="5.9",="35.0",="ND",="ND",="101",="0.03",="ND",="<1",="<1",="0.0167",="ND",="0.00021",="ND",="0.00117",="ND",="0.00039",="0.00043",="ND",="ND",="0.0120",="0.00026",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.00004",="ND",="ND",="ND",="ND",="ND",="0.121",="ND",="Y",
="石門淨水場(Shihmen)桃園市平鎮區水廠路150號",="0.08",="0.44",="124",="0.00062",="0.70",="0.45",="<5",="<1",="67.6",="7.6",="3.9",="34.7",="ND",="ND",="98.8",="0.04",="ND",="<1",="<1",="0.0104",="0.00027",="ND",="ND",="0.00149",="ND",="0.00054",="0.00070",="ND",="ND",="0.00813",="0.00019",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.0971",="ND",="Y",
