SiteName,County,PSI,MajorPollutant,Status,SO2,CO,O3,PM10,PM2.5,NO2,WindSpeed,WindDirec,FPMI,NOx,NO,PublishTime
二林,彰化縣,41,,良好,2,0.23,25,36,3,13,3.2,65,1,15.1,1.62,2016-12-28 11:00
三重,新北市,40,,良好,4.8,1.31,,41,7,42,,,1,106.74,64.96,2016-12-28 11:00
三義,苗栗縣,28,,良好,,0.19,34,11,,6.6,5.1,40,,8.48,1.91,2016-12-28 11:00
土城,新北市,26,,良好,1.5,0.27,31,28,4,11,1.5,150,1,14.77,3.55,2016-12-28 11:00
士林,臺北市,28,,良好,1.4,0.32,34,20,4,10,2.2,140,1,13.63,3.52,2016-12-28 11:00
大同,臺北市,37,,良好,3.4,0.8,,49,5,41,,,1,86.97,45.99,2016-12-28 11:00
大里,臺中市,0,,,1.2,0.39,18,,13,19,1.2,317,,22.32,3.79,2016-12-28 11:00
大園,桃園市,33,,良好,2.5,0.23,26,33,11,24,4.8,59,1,29.92,6.39,2016-12-28 11:00
大寮,高雄市,62,懸浮微粒,普通,6.9,0.73,5.7,102,41,31,2.8,320,3,50.09,19.26,2016-12-28 11:00
小港,高雄市,51,懸浮微粒,普通,7.2,1,5.6,60,35,41,1.7,44,3,86.87,45.69,2016-12-28 11:00
中山,臺北市,18,,良好,3.5,0.64,10,31,11,36,2.9,120,1,61.35,24.95,2016-12-28 11:00
中壢,桃園市,42,,良好,2.9,0.77,16,48,11,31,1.7,187,1,56.11,24.65,2016-12-28 11:00
仁武,高雄市,56,懸浮微粒,普通,4.2,0.44,7.7,70,11,19,2.5,339,2,41.23,22.46,2016-12-28 11:00
斗六,雲林縣,28,,良好,1.9,0.35,16,26,2,16,2.2,60,1,19.14,2.72,2016-12-28 11:00
冬山,宜蘭縣,24,,良好,1.4,0.16,29,19,1,3.6,2.9,291,1,4.65,1.03,2016-12-28 11:00
古亭,臺北市,22,,良好,1.4,0.34,24,22,12,20,2.7,107,1,26.83,7.18,2016-12-28 11:00
左營,高雄市,55,懸浮微粒,普通,4.2,0.58,11,78,21,24,2.9,41,3,32.54,8.98,2016-12-28 11:00
