"lineid","car","time","location","longitude","latitude"
"251011","650-BX","2016/11/01 20:59:20","新北市淡水區新民街一段11號","121.433201666667","25.1845733333333"
"251002","672-BX","2016/11/01 20:59:21","新北市淡水區英專路112號","121.44589","25.172155"
"251003","766-UM","2016/11/01 20:59:26","新北市淡水區新春街103-39號","121.440748333333","25.1828233333333"
"252001","292-VK","2016/11/01 20:58:58","新北市三芝區淡金路二段76-2號","121.504108333333","25.26103"
"252005","AAC-283","2016/11/01 16:14:26","新北市三芝區埔坪里埔頭坑41號","121.504468333333","25.2644066666667"
"236043","107-UM","2016/11/01 20:59:15","新北市土城區城林路6巷71號","121.437623333333","24.978705"
"236079","166-UM","2016/11/01 20:40:37","新北市樹林區八德街862-1號","121.391665","24.96851"
"236001","339-SR","2016/11/01 10:26:12","新北市土城區永平街51號","121.427636666667","24.9591816666667"
"236023","401-BY","2016/11/01 20:59:26","新北市樹林區八德街800號","121.39517","24.968825"
"242044","441-UM","2016/11/01 20:59:21","新北市五股區新五路二段126-6號","121.437845","25.077505"
"242032","133-UY","2016/11/01 20:59:23","新北市五股區成洲五路38號","121.453488333333","25.10126"
"221032","280-BY","2016/11/01 20:59:10","新北市汐止區汐萬路一段256巷1號","121.651996666667","25.0748533333333"
"221038","297-VK","2016/11/01 20:59:25","新北市汐止區汐萬路一段256巷3號","121.652476666667","25.0745716666667"
"221029","298-VK","2016/11/01 20:58:58","新北市汐止區汐萬路一段256巷3號","121.652566666667","25.0745466666667"
"221031","353-TW","2016/11/01 20:59:21","新北市汐止區汐萬路一段256巷3號","121.653335","25.07464"
"221035","622-UM","2016/11/01 20:59:21","新北市汐止區汐萬路一段256巷1號","121.652025","25.0747683333333"
"221002","707-TV","2016/11/01 20:59:05","新北市汐止區連峰街1巷1號","121.646553333333","25.0760116666667"
"221018","753-BX","2016/11/01 20:58:57","新北市汐止區汐萬路一段261號","121.650826666667","25.0741016666667"
"220069","258-TC","2016/11/01 20:54:00","新北市林口區太平里180號","121.366566666667","25.13413"
"220072","277-BY","2016/11/01 20:59:25","新北市八里區中山路三段409號","121.368415","25.1349416666667"
"220061","293-UM","2016/11/01 20:59:26","新北市八里區中山路三段387號","121.37118","25.1373466666667"
"220057","686-BX","2016/11/01 20:45:40","新北市林口區太平里180號","121.366486666667","25.1344366666667"
"220070","AAC-253","2016/11/01 20:59:21","新北市八里區中山路三段386號","121.36842","25.13601"
