SiteName,County,PSI,MajorPollutant,Status,SO2,CO,O3,PM10,PM2.5,NO2,WindSpeed,WindDirec,FPMI,NOx,NO,PublishTime
二林,彰化縣,51,懸浮微粒,普通,5.9,0.55,2.1,56,13,19,1.2,139,2,24.51,5.04,2016-10-21 23:00
三重,新北市,58,懸浮微粒,普通,4.4,1.77,,54,18,36,,,2,105,69.12,2016-10-21 23:00
三義,苗栗縣,36,,良好,1.4,0.31,5.9,30,14,16,1.4,13,2,19.1,2.83,2016-10-21 23:00
土城,新北市,51,懸浮微粒,普通,5.3,0.89,3.6,63,28,35,1.1,194,2,53.54,18.29,2016-10-21 23:00
士林,臺北市,52,懸浮微粒,普通,3.7,1.31,1.6,42,21,33,0.5,278,2,54.47,21.61,2016-10-21 23:00
大同,臺北市,53,懸浮微粒,普通,4,3.34,,40,16,26,,,2,107.84,81.57,2016-10-21 23:00
大里,臺中市,39,,良好,2.3,0.65,3.7,39,23,23,1.4,216,,29.38,6.07,2016-10-21 23:00
大園,桃園市,58,懸浮微粒,普通,4.8,0.28,15,62,22,13,1.4,197,3,13.73,.57,2016-10-21 23:00
大寮,高雄市,120,懸浮微粒,不良,1.9,0.09,23,37,1,2.7,3.8,163,1,3.83,1.1,2016-10-21 23:00
小港,高雄市,62,懸浮微粒,普通,41,2.26,3.3,89,14,27,3.3,164,2,58.37,31.41,2016-10-21 23:00
中山,臺北市,42,,良好,2.1,1.03,1.3,24,9,25,0.8,248,2,48.28,23.7,2016-10-21 23:00
中壢,桃園市,54,懸浮微粒,普通,5.9,2.07,2.5,51,29,34,0.8,170,3,95.15,60.77,2016-10-21 23:00
仁武,高雄市,46,,良好,1.6,0.18,24,30,8,4.5,3.1,154,1,5.15,.68,2016-10-21 23:00
斗六,雲林縣,41,,良好,1.8,0.35,9.1,49,22,14,1.3,125,2,17.15,2.9,2016-10-21 23:00
冬山,宜蘭縣,0,,,1.5,0.23,9.2,,1,6.5,1.4,267,1,9.72,3.27,2016-10-21 23:00
古亭,臺北市,23,,良好,2,0.63,5.9,25,9,16,1.4,174,1,26.07,9.78,2016-10-21 23:00
左營,高雄市,38,,良好,5.5,0.49,15,33,28,31,2.8,160,2,32.6,1.41,2016-10-21 23:00
平鎮,桃園市,51,懸浮微粒,普通,5.3,0.49,2,44,13,30,1.4,231,2,37.64,7.47,2016-10-21 23:00
永和,新北市,24,,良好,2.2,1.04,3.7,28,13,23,0.7,109,1,35.63,12.81,2016-10-21 23:00
安南,臺南市,48,,良好,3,0.27,17,43,23,11,4.4,159,2,12.43,1.32,2016-10-21 23:00
