"lineid","car","time","location"
"235067","255-BX","2016/08/20 18:59:15","新北市中和區中正路839巷33號附近"
"221031","277-VK","2016/08/20 18:59:27","新北市汐止區福德一路300巷30號附近"
"221038","297-VK","2016/08/20 18:39:57","新北市汐止區汐萬路一段312號附近"
"221023","279-VK","2016/08/20 18:52:43","新北市汐止區康寧街901號附近"
"237005","AKY-6261","2016/08/20 18:59:27","新北市三峽區中山路459巷137號附近"
"221029","298-VK","2016/08/20 18:59:18","新北市汐止區樟樹一路254號附近"
"221036","130-UY","2016/08/20 18:59:16","新北市汐止區忠孝東路286號附近"
"221015","131-UY","2016/08/20 18:59:28","新北市汐止區鄉長路一段43號附近"
"221035","622-UM","2016/08/20 18:59:23","新北市汐止區國道一號10.7K附近"
"238014","282-BY","2016/08/20 18:59:24","新北市樹林區大安路111巷11號附近"
"238025","303-VK","2016/08/20 18:58:31","新北市樹林區民和街79號附近"
"238018","571-TV","2016/08/20 18:59:12","新北市樹林區鎮前街165號附近"
"238020","268-VK","2016/08/20 18:59:27","新北市樹林區俊英街79號附近"
"238026","172-UY","2016/08/20 18:59:28","新北市樹林區中和街10號附近"
"238017","283-BY","2016/08/20 18:59:13","新北市樹林區光興街50號附近"
"238023","601-UM","2016/08/20 18:59:30","桃園市龜山區萬壽路一段264號附近"
"238016","169-UY","2016/08/20 18:59:11","新北市樹林區文化街28號附近"
"221032","280-BY","2016/08/20 18:59:24","新北市汐止區橫科路407巷30弄28號附近"
