"lineid","car","time","location"
"235067","255-BX","2016/08/20 19:47:11","新北市中和區新生街222號附近"
"221025","623-UM","2016/08/20 19:47:04","新北市汐止區秀峰路81巷19號附近"
"221008","129-UY","2016/08/20 19:47:12","新北市汐止區康寧街61巷24號附近"
"221038","297-VK","2016/08/20 19:47:14","新北市汐止區忠孝東路273號附近"
"221023","279-VK","2016/08/20 19:47:06","新北市汐止區康寧街901號附近"
"221021","299-VK","2016/08/20 19:47:08","新北市汐止區復興路58巷11弄6號附近"
"221012","278-VK","2016/08/20 19:47:08","新北市汐止區大同路三段579號附近"
"237005","AKY-6261","2016/08/20 19:47:13","新北市三峽區中山路459巷137號附近"
"221029","298-VK","2016/08/20 19:47:17","新北市汐止區康寧街901號附近"
"221036","130-UY","2016/08/20 19:47:14","新北市汐止區汐萬路一段312號附近"
"221015","131-UY","2016/08/20 19:47:18","新北市汐止區汐萬路一段188號附近"
"221035","622-UM","2016/08/20 19:47:15","新北市汐止區康寧街901號附近"
"238014","282-BY","2016/08/20 19:47:11","新北市樹林區千歲街134巷7號附近"
"238025","303-VK","2016/08/20 19:47:09","新北市樹林區中山路二段54號附近"
"238018","571-TV","2016/08/20 19:47:14","新北市樹林區中山路三段210-2號附近"
"238017","283-BY","2016/08/20 19:47:03","新北市樹林區保安街二段107巷1弄8號附近"
"238023","601-UM","2016/08/20 19:47:10","新北市樹林區三福街114號附近"
"221018","753-BX","2016/08/20 19:47:19","新北市汐止區汐萬路一段170號附近"
"221032","280-BY","2016/08/20 19:47:16","新北市汐止區橫科路407巷21號附近"
"221010","269-BY","2016/08/20 19:47:08","新北市汐止區汐萬路二段1號附近"
