"lineid","car","time","location"
"238022","312-TH","2016/08/20 17:17:01","新北市樹林區八德街370號附近"
"238015","755-BX","2016/08/20 17:17:15","新北市樹林區中洲街51巷2號附近"
"238021","311-TH","2016/08/20 17:17:08","新北市樹林區西圳街一段183巷29-3號附近"
"238014","282-BY","2016/08/20 17:17:14","新北市樹林區八德街662號附近"
"238025","303-VK","2016/08/20 17:17:17","新北市樹林區中山路三段125-10號附近"
"238018","571-TV","2016/08/20 17:16:53","新北市樹林區八德街328號附近"
"238024","5061-A6","2016/08/20 17:17:20","新北市樹林區鎮前街164號附近"
"238020","268-VK","2016/08/20 17:17:14","新北市樹林區八德街650號附近"
"238026","172-UY","2016/08/20 17:17:11","新北市樹林區八德街336號附近"
"238019","599-UM","2016/08/20 17:17:21","新北市樹林區八德街500號附近"
"238017","283-BY","2016/08/20 17:17:13","新北市樹林區中洲街41號附近"
"238023","601-UM","2016/08/20 17:17:18","新北市樹林區中洲街24號附近"
"238016","169-UY","2016/08/20 17:17:19","新北市樹林區中洲街29號附近"
