"lineid","car","time","location"
"238022","312-TH","2016/08/20 17:29:12","新北市樹林區中華路39號附近"
"238015","755-BX","2016/08/20 17:29:07","新北市樹林區大安路257號附近"
"238021","311-TH","2016/08/20 17:29:21","新北市樹林區西圳街一段26號附近"
"238014","282-BY","2016/08/20 17:29:06","新北市樹林區長壽街70巷1弄1號附近"
"238025","303-VK","2016/08/20 17:29:12","新北市樹林區保安二街84巷1號附近"
"238018","571-TV","2016/08/20 17:29:06","新北市樹林區中山路1段191巷1-1號附近"
"238024","5061-A6","2016/08/20 17:29:14","新北市樹林區樹新路81號附近"
"238020","268-VK","2016/08/20 17:29:09","新北市樹林區大安路47-1號附近"
"238026","172-UY","2016/08/20 17:29:21","新北市樹林區味王街46巷19號附近"
"238019","599-UM","2016/08/20 17:29:12","新北市樹林區八德街82號附近"
"238017","283-BY","2016/08/20 17:29:06","新北市樹林區保安街二段27號附近"
"238023","601-UM","2016/08/20 17:29:08","新北市樹林區保安街二段27號附近"
"238016","169-UY","2016/08/20 17:29:12","新北市樹林區中山路一段230號附近"
