SiteName,County,PSI,MajorPollutant,Status,SO2,CO,O3,PM10,PM2.5,NO2,WindSpeed,WindDirec,FPMI,NOx,NO,PublishTime
二林,彰化縣,45,,良好,4.2,0.2,44,56,15,5,1.7,17,2,6.33,1.36,2016-07-30 10:00
三重,新北市,45,,良好,5.3,1.01,,45,25,40,,,2,68.45,28.36,2016-07-30 10:00
三義,苗栗縣,40,,良好,2.8,0.18,48,39,20,6.8,2.3,199,2,8.33,1.5,2016-07-30 10:00
土城,新北市,53,臭氧,普通,2.8,0.23,63,34,19,5.9,1.9,170,2,7.7,1.78,2016-07-30 10:00
士林,臺北市,54,臭氧,普通,3.3,0.31,65,52,34,14,2.4,126,3,15.94,2.37,2016-07-30 10:00
大同,臺北市,52,懸浮微粒,普通,4.6,1.4,,63,25,44,,,2,65.18,21.23,2016-07-30 10:00
大里,臺中市,52,臭氧,普通,1.6,0.56,63,33,23,16,0.7,169,2,19.38,3.1,2016-07-30 10:00
大園,桃園市,51,懸浮微粒,普通,4,0.23,58,50,26,13,1.8,24,3,15.96,3.4,2016-07-30 10:00
大寮,高雄市,30,,良好,11,0.19,29,32,20,15,1.2,93,2,28.4,13.38,2016-07-30 10:00
小港,高雄市,33,,良好,6.9,0.33,40,26,8,,2.8,264,1,,,2016-07-30 10:00
中山,臺北市,48,,良好,3.9,0.56,58,62,27,25,1.6,175,2,31.91,7.06,2016-07-30 10:00
中壢,桃園市,52,懸浮微粒,普通,4,1.18,36,74,26,31,1.2,266,3,42.37,11.61,2016-07-30 10:00
仁武,高雄市,49,,良好,2.8,0.22,45,60,34,7.7,2.2,307,2,9.67,2.01,2016-07-30 10:00
斗六,雲林縣,35,,良好,4.4,0.15,42,30,,2,2,32,2,3.99,1.96,2016-07-30 10:00
冬山,宜蘭縣,34,,良好,4,0.23,41,33,13,9,2.7,72,1,11.57,2.57,2016-07-30 10:00
古亭,臺北市,51,臭氧,普通,3.7,0.34,61,39,26,13,2.3,81,2,15.55,2.66,2016-07-30 10:00
左營,高雄市,41,,良好,2.1,0.15,39,44,17,4.6,3.2,279,2,6.18,1.6,2016-07-30 10:00
平鎮,桃園市,50,,良好,4,0.27,61,40,27,8.6,2,149,3,10.68,2.13,2016-07-30 10:00
永和,新北市,43,,良好,2.7,0.75,52,45,23,21,1.3,144,2,27.75,6.41,2016-07-30 10:00
安南,臺南市,40,,良好,1.8,0.2,48,38,23,5.4,3.5,307,2,7.5,2.08,2016-07-30 10:00
朴子,嘉義縣,47,,良好,3,0.31,44,45,18,10,3.8,230,2,11.65,1.51,2016-07-30 10:00
汐止,新北市,50,,良好,3.5,0.41,60,37,24,13,1.5,125,2,15.29,2.28,2016-07-30 10:00
竹山,南投縣,35,,良好,2.3,0.17,36,31,14,6.4,2.1,55,2,8.15,1.77,2016-07-30 10:00
竹東,新竹縣,43,,良好,3.5,0.18,50,38,18,6.7,1.3,64,2,7.43,.7,2016-07-30 10:00
西屯,臺中市,47,,良好,2.7,0.25,56,37,23,11,2.3,5.6,2,13.83,3.32,2016-07-30 10:00
沙鹿,臺中市,41,,良好,2.7,0.26,49,40,15,10,2.4,14,2,12.62,2.17,2016-07-30 10:00
宜蘭,宜蘭縣,38,,良好,2.9,0.2,33,45,15,5.8,2.9,129,2,8.17,2.38,2016-07-30 10:00
忠明,臺中市,38,,良好,1.5,0.25,46,30,14,11,2.2,15,2,13.8,2.57,2016-07-30 10:00
松山,臺北市,53,臭氧,普通,2.8,0.34,64,51,34,12,1.4,67,2,15.36,2.99,2016-07-30 10:00
板橋,新北市,50,,良好,2.9,0.45,60,43,24,15,1.9,95,2,17.3,2,2016-07-30 10:00
林口,新北市,56,懸浮微粒,普通,2.9,0.36,60,58,30,16,2.5,111,3,19.92,3.64,2016-07-30 10:00
林園,高雄市,39,,良好,5.2,0.14,47,37,24,6.1,2.5,39,2,8.3,2.25,2016-07-30 10:00
花蓮,花蓮縣,31,,良好,4.1,0.15,29,29,15,3.8,2.9,125,2,5.57,1.73,2016-07-30 10:00
金門,金門縣,92,懸浮微粒,普通,9.8,0.37,64,106,40,12,2.3,95,5,14.28,2.47,2016-07-30 10:00
前金,高雄市,36,,良好,2.1,0.16,41,39,19,3.6,3.7,313,2,4.8,1.24,2016-07-30 10:00
前鎮,高雄市,34,,良好,4.8,0.24,37,37,13,12,1.9,310,2,15.6,3.4,2016-07-30 10:00
南投,南投縣,33,,良好,1.6,0.23,39,32,19,7.3,1.3,61,2,7.21,-.13,2016-07-30 10:00
屏東,屏東縣,30,,良好,5.2,0.24,36,27,20,8.5,2.9,23,2,11.34,2.84,2016-07-30 10:00
恆春,屏東縣,20,,良好,0.8,0.04,21,17,2,1.3,5.1,71,1,2.34,1.08,2016-07-30 10:00
美濃,高雄市,32,,良好,2.3,0.19,38,27,10,3.4,1.2,308,1,5.66,2.31,2016-07-30 10:00
苗栗,苗栗縣,44,,良好,4.8,0.3,48,54,23,13,1.6,294,2,15.35,2.04,2016-07-30 10:00
埔里,南投縣,31,,良好,2.1,0.33,37,27,18,6.6,1,48,2,9.58,3,2016-07-30 10:00
桃園,桃園市,55,臭氧,普通,7.8,0.28,66,52,29,7.6,1.4,136,3,9.66,2.03,2016-07-30 10:00
馬公,澎湖縣,50,,良好,0.7,0.29,60,40,21,9.4,0.8,281,2,10.53,1.17,2016-07-30 10:00
馬祖,連江縣,0,,,2.1,0.35,44,59,35,5.8,2.8,49,,6.53,.77,2016-07-30 08:00
基隆,基隆市,53,臭氧,普通,6.3,0.32,64,38,28,11,1.5,83,2,12.84,1.75,2016-07-30 10:00
崙背,雲林縣,35,,良好,2.6,0.18,43,33,26,5.2,1.7,323,3,7.31,2.12,2016-07-30 10:00
淡水,新北市,46,,良好,5,0.33,55,43,27,14,,,3,16.05,1.8,2016-07-30 10:00
麥寮,雲林縣,52,懸浮微粒,普通,3.9,0.23,41,49,22,6.9,1.8,318,2,9.76,2.91,2016-07-30 10:00
善化,臺南市,30,,良好,3.1,0.19,37,45,25,10,3,298,2,12.34,1.99,2016-07-30 10:00
復興,高雄市,29,,良好,4.3,0.64,35,32,18,15,1.2,247,2,17.34,2.67,2016-07-30 10:00
湖口,新竹縣,46,,良好,2,0.18,55,38,22,4,2,294,2,5.8,1.81,2016-07-30 10:00
菜寮,新北市,48,,良好,4.2,0.49,58,45,17,16,1.6,105,2,18.72,2.34,2016-07-30 10:00
陽明,臺北市,37,,良好,8.2,0.23,45,33,37,3.8,,,3,5.26,1.5,2016-07-30 10:00
新竹,新竹市,49,,良好,2.5,0.2,59,37,20,5.7,1.6,92,2,6.95,1.24,2016-07-30 10:00
新店,新北市,52,臭氧,普通,2.7,0.34,62,52,26,11,1.1,191,2,12.7,2.02,2016-07-30 10:00
新莊,新北市,56,臭氧,普通,3.4,0.4,67,47,21,12,2.4,65,3,13.93,2.08,2016-07-30 10:00
新港,嘉義縣,41,,良好,3.1,0.21,45,44,20,5.6,2.5,297,2,7.51,1.88,2016-07-30 10:00
新營,臺南市,38,,良好,2.8,0.27,46,36,24,7,2.7,255,2,8.93,1.98,2016-07-30 10:00
楠梓,高雄市,45,,良好,3.6,0.23,42,53,20,7.5,2.6,305,2,9.89,2.37,2016-07-30 10:00
萬里,新北市,55,臭氧,普通,7.3,0.28,66,42,17,8.2,2.1,47,2,9.79,1.57,2016-07-30 10:00
