"lineid","car","time","location"
"235067","255-BX","2016/08/23 19:38:06","新北市中和區連城路340巷10弄25號附近"
"221025","623-UM","2016/08/23 19:38:13","新北市汐止區福安街20巷6號附近"
"221008","129-UY","2016/08/23 19:38:16","新北市汐止區康寧街145號附近"
"221038","297-VK","2016/08/23 19:38:11","新北市汐止區大同路二段374號附近"
"221023","279-VK","2016/08/23 19:38:19","新北市汐止區汐萬路一段256巷1號附近"
"221012","278-VK","2016/08/23 19:35:50","新北市汐止區茄安路194號附近"
"237005","AKY-6261","2016/08/23 19:38:24","新北市三峽區中山路219巷17弄6號附近"
"220069","295-UM","2016/08/23 19:38:18","新北市板橋區大明街20巷29弄13號附近"
"221032","280-BY","2016/08/23 19:38:06","新北市汐止區新台五路一段131號附近"
"221010","269-BY","2016/08/23 19:38:06","新北市汐止區連峰街5巷1號附近"
