"lineid","car","time","location"
"235067","255-BX","2016/08/23 18:29:20","新北市中和區和城路一段271巷1號附近"
"221025","623-UM","2016/08/23 18:29:12","新北市汐止區仁愛路121巷1號附近"
"221038","297-VK","2016/08/23 18:29:22","新北市汐止區新昌路85號附近"
"221031","353-TW","2016/08/23 18:29:10","新北市汐止區新台五路一段35號附近"
"221023","279-VK","2016/08/23 18:29:06","新北市汐止區汐萬路一段256巷1號附近"
"221021","299-VK","2016/08/23 18:29:06","新北市汐止區連興街122號附近"
"221012","278-VK","2016/08/23 18:29:09","新北市汐止區保長路79號附近"
"237005","AKY-6261","2016/08/23 18:28:57","新北市三峽區仁愛街18號附近"
"221029","298-VK","2016/08/23 18:29:21","新北市汐止區樟樹二路330巷68號附近"
"221036","130-UY","2016/08/23 18:29:17","新北市汐止區長興街一段8巷20號附近"
"221015","131-UY","2016/08/23 18:29:14","新北市汐止區鄉友街35號附近"
"221035","622-UM","2016/08/23 18:29:07","新北市汐止區大同路二段103巷2號附近"
"221018","753-BX","2016/08/23 18:28:58","新北市汐止區茄苳路224巷3弄8號附近"
"220069","295-UM","2016/08/23 18:26:06","新北市板橋區漢生東路129號附近(基地台定位)"
"221032","280-BY","2016/08/23 18:29:25","新北市汐止區福山街60巷13弄1號附近"
"221010","269-BY","2016/08/23 18:29:17","新北市汐止區汐萬路三段223-1號附近"
"221027","281-BY","2016/08/23 18:29:16","新北市汐止區和平街54號附近"
