"lineid","car","time","location"
"220090","288-VK","2016/08/15 19:59:37","新北市板橋區龍泉街54巷7弄4號附近"
"236053","AAC-216","2016/08/15 19:59:55","新北市土城區立德路107號附近"
"236020","401-BY","2016/08/15 19:59:46","新北市土城區峰廷街54號附近"
"220083","286-VK","2016/08/15 19:59:54","新北市板橋區龍興街63巷19號附近"
"236062","915-UM","2016/08/15 19:59:57","新北市土城區延和路105巷4弄2號附近"
"220081","287-VK","2016/08/15 19:59:34","新北市板橋區僑中一街80巷6弄2號附近"
"220101","245-BX","2016/08/15 19:40:04","新北市板橋區縣民大道三段93巷18號附近"
"220089","487-VK","2016/08/15 19:59:39","新北市板橋區四維路259巷71號附近"
"236069","105-UM","2016/08/15 19:59:40","新北市土城區千歲路32號附近"
"220053","285-VK","2016/08/15 19:59:53","新北市板橋區中山路二段92號附近"
"235067","255-BX","2016/08/15 19:59:55","新北市中和區中正路751巷3弄7號附近"
"221025","623-UM","2016/08/15 19:59:53","新北市汐止區秀峰路114號附近"
"221008","129-UY","2016/08/15 19:59:52","新北市汐止區康寧街39號附近"
"221038","297-VK","2016/08/15 19:59:47","新北市汐止區忠孝東路428號附近"
"221031","353-TW","2016/08/15 19:59:55","新北市汐止區福德一路176巷7弄7號附近"
"221023","279-VK","2016/08/15 19:59:42","新北市汐止區康寧街901號附近"
"221021","299-VK","2016/08/15 19:59:54","新北市汐止區青山路21號附近"
"220084","209-TC","2016/08/15 19:59:54","新北市板橋區溪崑二街118巷3號附近"
"221012","278-VK","2016/08/15 19:56:29","新北市汐止區大同路三段479號附近"
"237005","AKY-6261","2016/08/15 19:59:38","新北市三峽區復興路1號附近"
"221036","130-UY","2016/08/15 19:59:54","新北市汐止區忠孝東路258巷11弄7號附近"
"221015","131-UY","2016/08/15 19:59:41","新北市汐止區橋東街19號附近"
"220096","831-TW","2016/08/15 19:59:42","新北市板橋區莒光路40巷18號附近"
"220094","283-UM","2016/08/15 19:59:44","新北市板橋區溪頭街6號附近"
"220106","075-UY","2016/08/15 19:59:43","新北市板橋區民治街52巷11號附近"
"221035","622-UM","2016/08/15 19:59:53","新北市汐止區長江街13巷12弄7號附近"
"220069","258-TC","2016/08/15 19:59:40","新北市板橋區南雅南路二段40號附近"
"220067","829-TW","2016/08/15 19:59:52","新北市板橋區漢生東路171-1號附近"
"236048","913-UM","2016/08/15 19:59:40","新北市土城區金城路二段318號附近"
"236030","253-BX","2016/08/15 19:59:03","新北市土城區中華路一段199-1號附近"
"236036","271-VK","2016/08/15 19:59:49","新北市土城區國際路139巷45號附近"
"236014","270-VK","2016/08/15 19:59:52","新北市土城區廣福街120號附近"
"220068","013-TV","2016/08/15 19:59:56","新北市板橋區光復街208號附近"
"220088","145-RM","2016/08/15 19:59:53","新北市板橋區民治街66號附近"
