"序號","統一編號","公司名稱","公司所在地","代表人","資本額","核准設立日期","核准解散日期"
"1","01860560","鐿樺企業有限公司","新北市板橋區新府路110號22樓","","5000000","0740702","1050218"
"2","04987129","偉盈工程企業有限公司","高雄市鳥松區松埔北巷2之92號15樓之1","","12000000","0641119","1050224"
"3","05013969","力拓企業有限公司","臺北市大安區羅斯福路3段271號12樓之3","","1000000","0740116","1050205"
"4","05422824","晉堃不銹鋼有限公司","新北市汐止區福德一路１７５號１樓","","10000000","0731126","1050203"
"5","07644415","羅和鋼業有限公司","臺北市中山區濱江街152之8號","","2000000","0681009","1050202"
"6","09460882","春星有限公司","臺北市大安區敦化南路2段168號12樓","","5000000","0731109","1050218"
"7","12381243","洪藝企業有限公司","臺北市中山區松江路330巷48號1樓","","5000000","0710517","1050224"
"8","12628323","太平洋國際開發有限公司","臺南市東區東寧路186號10樓之3","","500000","0891003","1050205"
"9","12658634","永捷環保服務事業有限公司","臺北市文山區一壽街4號1樓","","10000000","0891024","1050224"
"10","12661770","為榮數位科技有限公司","臺北市南港區研究院路2段98巷29號1樓","","5000000","0891104","1050219"
"11","12665591","運動熱線股份有限公司","桃園市楊梅區高榮里6鄰北高山頂20之2號","","1000000","0891118","1050201"
"12","12686202","喬美旅店股份有限公司","臺北市松山區八德路4段16號1至7樓","","12000000","0900213","1050218"
"13","12746588","南夏企業有限公司","新北市新莊區思源路287巷1弄14號4樓","","1000000","0900212","1050216"
"14","12762290","引豐有限公司","基隆市中山區中山一路一一三巷十六號一樓　","","3000000","0900312","1050203"
"15","12769505","瑆鋐鋼鐵有限公司","桃園市中壢區明德里環中東路二段508號","","10000000","0900321","1050201"
"16","12791268","嘉悅實業有限公司","彰化縣埔心鄉油車村忠義北路294巷37號","","500000","0900426","1050205"
"17","12833794","國民樹脂化工有限公司","新竹縣竹北市東海一街95巷46號","","1000000","0900710","1050223"
"18","12858393","貫弘實業有限公司","臺北市中山區龍江路149巷26號1樓","","500000","0900427","1050202"
"19","12865486","長欣藥品有限公司","臺北市大安區信義路4段265巷21弄22號1樓","","5000000","0900521","1050225"
"20","12875983","維吉尼亞企業有限公司","臺北市北投區大興街111號2樓","","5000000","0900628","1050223"
