SiteName,County,PSI,MajorPollutant,Status,SO2,CO,O3,PM10,PM2.5,NO2,WindSpeed,WindDirec,FPMI,NOx,NO,PublishTime
二林,彰化縣,52,懸浮微粒,普通,4.6,0.12,61,54,32,2.7,3.1,287,2,4.16,1.45,2016-07-26 13:00
三重,新北市,62,懸浮微粒,普通,3.4,0.73,,80,41,43,,,3,80.5,37.51,2016-07-26 13:00
三義,苗栗縣,51,臭氧,普通,3.4,0.17,61,58,36,6.9,2.9,277,3,8.19,1.33,2016-07-26 13:00
土城,新北市,72,臭氧,普通,2.6,0.19,86,43,30,,2.3,277,3,,,2016-07-26 13:00
士林,臺北市,57,臭氧,普通,3.7,0.18,69,55,35,9.5,4.5,311,3,10.95,1.41,2016-07-26 13:00
大同,臺北市,56,懸浮微粒,普通,3.6,0.68,,61,48,25,,,4,33.02,8.34,2016-07-26 13:00
大里,臺中市,72,臭氧,普通,3.4,0.26,87,70,39,9.1,2.9,283,3,10.73,1.6,2016-07-26 13:00
大園,桃園市,52,懸浮微粒,普通,4.4,0.15,47,52,31,12,4.4,294,3,14.18,2.1,2016-07-26 13:00
大寮,高雄市,66,臭氧,普通,5.6,0.27,79,39,24,13,1.7,226,3,15.41,2.01,2016-07-26 13:00
小港,高雄市,40,,良好,6.4,0.16,35,41,10,11,4.1,260,2,14.66,3.47,2016-07-26 13:00
中山,臺北市,56,懸浮微粒,普通,3.4,0.4,62,70,45,20,3.2,330,4,21.92,2.29,2016-07-26 13:00
中壢,桃園市,60,懸浮微粒,普通,3.5,0.87,46,65,36,23,1.8,89,4,37.91,14.96,2016-07-26 13:00
仁武,高雄市,52,懸浮微粒,普通,2.5,0.16,35,54,13,8.5,2.7,292,2,11.63,3.1,2016-07-26 13:00
斗六,雲林縣,67,臭氧,普通,4.5,0.24,80,51,32,,2,294,3,,,2016-07-26 13:00
冬山,宜蘭縣,36,,良好,4.3,0.37,31,28,1,11,3.2,121,2,16.65,6.02,2016-07-26 13:00
古亭,臺北市,66,臭氧,普通,4.1,0.29,80,54,27,13,3.3,330,3,13.69,1.01,2016-07-26 13:00
左營,高雄市,39,,良好,3.1,0.1,35,35,18,9.2,3.5,293,2,12.53,3.34,2016-07-26 13:00
平鎮,桃園市,51,懸浮微粒,普通,2.4,0.16,59,48,32,6.7,3.2,273,5,7.77,1.05,2016-07-26 13:00
永和,新北市,47,,良好,3.7,0.87,56,,35,30,2.5,54,3,39.21,8.98,2016-07-26 13:00
安南,臺南市,38,,良好,1.5,0.08,33,29,17,0.9,4.1,306,2,2.44,1.53,2016-07-26 13:00
朴子,嘉義縣,44,,良好,2.1,0.13,37,33,15,3.5,2.7,291,3,4.6,1.12,2016-07-26 13:00
汐止,新北市,77,臭氧,普通,8.2,0.36,92,52,33,17,1.1,76,3,18.15,1.52,2016-07-26 13:00
竹山,南投縣,74,臭氧,普通,3.2,0.19,89,57,40,5.8,2.9,310,3,6.48,.74,2016-07-26 13:00
竹東,新竹縣,45,,良好,2.1,0.13,54,40,28,4.4,3.4,249,3,6.01,1.64,2016-07-26 13:00
西屯,臺中市,0,,,3.8,0.14,62,,30,6.5,3.2,265,3,8.43,1.97,2016-07-26 13:00
沙鹿,臺中市,52,懸浮微粒,普通,9.2,0.35,37,46,25,14,2.7,279,3,17.08,2.99,2016-07-26 13:00
宜蘭,宜蘭縣,35,,良好,1.9,0.19,,,,4.4,2.5,118,2,5.37,1.01,2016-07-26 13:00
忠明,臺中市,50,,良好,3.5,0.22,,51,37,9.5,3.1,283,3,10.56,1.09,2016-07-26 13:00
