"序號","統一編號","公司名稱","公司所在地","代表人","資本額","核准變更日期"
"60","04314931","達盈汽車貨運有限公司","新北市新莊區新樹路240號","洪信謙","6000000","1050225"
"61","04325228","勝華國際開發股份有限公司","臺北市中山區中山北路2段45巷23號7樓","陳和平","50000000","1050224"
"62","04343393","豐松營造有限公司","臺北市松山區八德路3段120號8樓之5","郭肇興","26000000","1050224"
"63","04365570","偉新紡織股份有限公司","臺北市松山區敦化北路303號5樓之1","黃亞偉","20000000","1050224"
"64","04375248","台灣留蘭香股份有限公司","臺北市中正區忠孝東路1段112號9樓","羅凡(Francois Laurent)","94000000","1050225"
"65","04377822","國貿股份有限公司","臺北市內湖區堤頂大道2段201號3樓","陳銘鋒","83675590","1050204"
"66","04393941","亞泰金屬工業股份有限公司","臺北市內湖區堤頂大道2段201號3樓","黃源財","180521250","1050203"
"67","04395906","艾力企業股份有限公司","臺北市松山區光復北路11巷44號2樓","蘇桂枝","58102000","1050204"
"68","04404855","昭元化成股份有限公司","臺北市中山區松江路129號9樓","林子元","110000000","1050224"
"69","04413051","凱美電機股份有限公司","新北市汐止區新台五路1段81號13樓之2","何文等","1363894690","1050203"
"70","04422973","清隆企業股份有限公司","臺北市中山區中山北路2段112號11樓","鄭祺耀","60000000","1050201"
"71","04424206","七星香料股份有限公司","新北市新莊區化成路11巷89弄11號","林川成","7200000","1050218"
"72","04436385","福銘貿易有限公司","臺北市中山區林森北路609號10樓","吳富吉","6000000","1050218"
"73","04441943","賀華實業股份有限公司","臺北市中山區中山北路1段27號11樓之1","林正夫","140000000","1050223"
"74","04447741","印森企業股份有限公司","臺北市大同區重慶北路1段22號11樓之1","王睿騏","15000000","1050225"
"75","04470860","林姓實業股份有限公司","臺北市大同區重慶北路1段73號2樓","林溫豐","45000000","1050222"
"76","04477420","達麗建設事業股份有限公司","臺北市中山區民生東路2段143號8樓","謝志長","1980624960","1050222"
"77","04483014","義泰五金有限公司","臺北市中山區新生北路1段47巷1樓","郭少帆","10000000","1050219"
"78","04486700","偉宏建設股份有限公司","臺北市中山區長春路137巷5號6樓","康陳秀","20000000","1050219"
"79","04487905","耀瀚股份有限公司","新北市新莊區福營路145巷31號","方水順","35000000","1050215"
"80","04496088","新田工業有限公司","臺北市松山區南京東路5段251巷32弄8號1樓","李正賢","22000000","1050223"
"81","04506255","育誠汽車材料有限公司","臺北市大同區承德路2段53巷4號1樓","吳四寬","3000000","1050205"
"82","04519245","常源股份有限公司","臺北市大同區長安西路201號1樓","顏明輝","18000000","1050226"
