"RouteID","StationId","EstimateTime","Memo"
"113","4002","37",""
"113","4003","38",""
"113","4004","39",""
"113","4005","40",""
"113","4006","41",""
"113","4007","43",""
"113","4008","43",""
"113","4009","44",""
"113","4010","45",""
"113","4011","47",""
"113","4012","47",""
"113","4013","48",""
"113","4014","49",""
"113","4015","50",""
"113","4016","50",""
"113","4017","51",""
"113","4018","51",""
"113","4019","52",""
"113","4020","53",""
"113","4021","54",""
"113","4022","55",""
"113","4023","56",""
"113","4024","56",""
"113","4025","57",""
"113","4026","57",""
"113","4027","58",""
"113","4028","59",""
"113","4029","60",""
"113","4030","61",""
"113","4031","62",""
"113","38997","64",""
"113","4032","2",""
"113","4033","3",""
"113","4034","4",""
"113","4035","5",""
"113","4036","8",""
"113","4037","9",""
"113","4038","13",""
"113","4039","13",""
"113","4040","14",""
"113","4041","16",""
"113","4042","16",""
"113","4043","17",""
"113","4044","18",""
"113","4045","20",""
"113","4046","21",""
"113","4047","23",""
"113","39650","24",""
"113","4048","26",""
"113","4049","28",""
"113","4050","29",""
"113","4051","31",""
"113","4052","32",""
"113","4053","32",""
"113","4054","34",""
"113","4055","37",""
"113","4082","41",""
"113","4083","42",""
"113","4084","43",""
"113","4085","46",""
"113","4086","47",""
"113","4087","48",""
"113","4088","49",""
"113","4089","51",""
"113","4090","53",""
"113","4091","54",""
"113","4092","56",""
"113","4093","57",""
"113","4094","58",""
"113","4095","59",""
"113","4096","59",""
"113","4097","61",""
"113","4098","62",""
"113","4099","3",""
"113","4100","5",""
"113","4101","5",""
"113","4102","7",""
"113","4103","8",""
"113","4104","8",""
"113","38998","9",""
"113","4106","10",""
"113","4107","12",""
"113","4108","13",""
"113","4109","14",""
"113","4110","16",""
"113","4111","17",""
"113","4112","17",""
"113","4113","18",""
"113","4114","18",""
"113","4115","19",""
"113","4116","20",""
"113","4117","21",""
"113","4118","22",""
"113","4119","24",""
"113","4120","25",""
"113","4121","25",""
"113","4122","26",""
"113","4124","28",""
"113","4125","28",""
"113","4126","29",""
"113","4127","31",""
"113","4128","31",""
"113","4129","33",""
"113","4130","34",""
"113","4131","35",""
"113","4132","36",""
"113","4133","37",""
"113","4134","39",""
"113","4135","40",""
"131","41314","46",""
"131","0397","47",""
"131","0398","47",""
"131","0399","48",""
"131","0400","49",""
"131","0401","50",""
"131","0402","50",""
"131","0403","51",""
"131","42276","51",""
"131","0404","54",""
"131","0405","56",""
"131","0406","56",""
"131","0407","58",""
"131","0408","59",""
"131","0409","61",""
"131","0410","62",""
"131","0411","63",""
"131","0412","66",""
"131","0413","67",""
"131","0414","68",""
"131","0415","70",""
"131","0416","72",""
"131","0417","73",""
"131","0418","74",""
"131","0419","75",""
"131","0420","76",""
"131","42274","7",""
"131","0372","11",""
"131","0373","12",""
"131","0374","12",""
"131","0375","13",""
"131","0376","15",""
"131","0377","17",""
"131","0378","19",""
"131","0379","22",""
"131","0380","22",""
"131","0381","26",""
"131","0382","27",""
"131","0383","28",""
"131","0384","30",""
"131","0385","31",""
"131","0386","34",""
"131","0387","34",""
"131","0388","37",""
"131","42275","37",""
"131","0389","39",""
"131","0390","40",""
"131","0391","41",""
"131","0392","42",""
"131","0393","43",""
"131","0394","44",""
"131","0395","44",""
"131","41313","45",""
"131","0396","45",""
"141","0289","-1","未發車"
"141","6602","-1","未發車"
"141","6603","-1","未發車"
"141","6604","-1","未發車"
"141","6605","-1","未發車"
"141","6606","-1","未發車"
"141","0017","-1","未發車"
"141","6607","-1","未發車"
"141","6608","-1","未發車"
"141","6609","-1","未發車"
"141","6610","-1","未發車"
"141","6611","-1","未發車"
"141","6612","-1","未發車"
"141","6613","-1","未發車"
"141","6614","-1","未發車"
"141","6615","-1","未發車"
"141","6616","-1","未發車"
"141","6617","-1","未發車"
"141","6618","-1","未發車"
"141","6619","-1","未發車"
"141","6620","6",""
"141","6621","8",""
"141","6622","13",""
"141","6626","15",""
"141","6627","16",""
"141","6628","18",""
"141","6629","19",""
"141","6630","20",""
"141","6631","21",""
"141","6632","22",""
"141","6633","23",""
"141","6634","24",""
"141","6635","24",""
"141","6636","24",""
"141","6637","25",""
"141","6639","27",""
"141","0018","29",""
"141","6640","29",""
"141","6641","30",""
"141","6642","31",""
"141","6643","31",""
"141","6644","32",""
"141","6645","34",""
"141","6646","35",""
"141","6647","36",""
"141","6648","38",""
"141","6649","39",""
"141","6650","40",""
"141","6651","40",""
"141","6652","41",""
"1112","10201","43",""
"1112","10202","43",""
"1112","10203","44",""
"1112","10204","45",""
"1112","10205","46",""
"1112","10206","46",""
