項次,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,,
檢驗項目,自由有效餘氯(Free Chlorine Residual),濁度(Turbidity),色度(Color),臭度(Odor),總鹼度(Total Alkalinity),pH值(pH ),氯鹽(Chloride),硫酸鹽(Sulfate),氨氮(Ammonia),亞硝酸鹽氮(Nitrite),硝酸鹽氮(Nitrate),總溶解固體量(Total Dissolved Solids),氟鹽(Fluoride),總硬度(Total Hardness),鐵(Iron),錳(Manganese),總菌落數(Total Bacterial Count),大腸桿菌群(Coliform Group),總三鹵甲烷(Total Trihalomethanes),鉛(Lead),硒(Selenium),砷(Arsenic),汞(Mercury),鋅(Zinc),銀(Silver),銅(Copper),鉻(Chromium),鎳(Nickel),鎘(Cadmium),鋇(Barium),銻(Antimony),陰離子界面活性劑(Anionic Surfactants),靈丹(Lindane),安殺番(Endosulfan),巴拉刈(Paraquat),大利松(Diazinon),巴拉松(Parathion),一品松(EPN),氰鹽(Cyanate),酚(Phenols),達馬松(Methamidophos),丁基拉草(Butachlor),2，4-地(2，4-D),納乃得(Methomyl),滅必蝨(MIPC(Isoprocarb)),加保扶(Carbofuran),亞素靈(Monocrotophos),鋁(Aluminium),溴酸鹽(Bromate),水質合格否(Y/N),
飲用水水質標準,0.2-1.0,2,5,3,－－,6.0-8.5,250,250,0.1,0.1,10.0,500,0.8,300,0.3,0.05,100,6,0.08,0.01,0.01,0.01,0.002,5.0,0.05,1.0,0.05,0.1,0.005,2.0,0.01,0.5,0.0002,0.003,0.01,0.005,0.02,0.005,0.05,0.001,0.02,0.02,0.07,0.01,0.02,0.02,0.003,0.3,0.01,－－,
單位,mg/L,NTU,鉑鈷單位,初嗅數,mg/L,－－,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,CFU/mL,CFU/100mL,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,－－,
="潭頂淨水場(Tanting)台南市新市區潭頂里544號",="0.73",="0.35",="<5",="<1",="133",="7.9",="15.1",="50.1",="0.02",="<0.01",="0.60",="248",="0.19",="165",="0.05",="ND",="<1",="<1",="0.0226",="0.00067",="ND",="0.00151",="ND",="0.00230",="ND",="0.00071",="0.00123",="ND",="ND",="0.0177",="0.00012",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.0886",="ND",="Y",
="南化淨水場(Nanhua)台南市南化區北寮里154號",="0.72",="0.30",="<5",="<1",="125",="7.8",="6.2",="53.8",="0.02",="<0.01",="0.29",="223",="0.17",="145",="0.04",="ND",="<1",="<1",="0.0188",="0.00078",="0.00020",="0.00128",="ND",="0.00136",="ND",="0.00102",="0.00137",="ND",="ND",="0.0194",="0.00011",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.126",="ND",="Y",
="澄清湖淨水場(Chengching Lake)高雄市鳥松區大埤路32號",="0.58",="0.15",="<5",="<1",="102",="7.6",="10.0",="103",="0.03",="ND",="0.43",="290",="0.08",="147",="ND",="ND",="<1",="<1",="0.00354",="0.00060",="0.00037",="0.00178",="ND",="0.00274",="ND",="0.00042",="0.00095",="ND",="ND",="0.0161",="0.00024",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.177",="0.005",="Y",
="鳳山淨水場(Fongshan)高雄市小港區坪頂里天池路一號",="0.63",="0.20",="<5",="<1",="104",="7.6",="6.4",="116",="ND",="ND",="0.53",="301",="0.08",="144",="ND",="ND",="<1",="<1",="0.00387",="0.00076",="0.00045",="0.00145",="0.00011",="0.00143",="ND",="0.00068",="0.00137",="ND",="ND",="0.0134",="0.00029",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.162",="0.002",="Y",
="坪頂淨水場(Pinding)高雄市大樹區小坪里小坪路128號",="0.72",="0.55",="<5",="<1",="138",="7.6",="12.7",="100",="ND",="ND",="0.50",="338",="0.10",="224",="ND",="ND",="<1",="<1",="0.0161",="0.00033",="0.00037",="0.00093",="ND",="ND",="ND",="0.00040",="0.00078",="ND",="ND",="0.0239",="0.00024",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.124",="ND",="Y",
="拷潭淨水場(Kaotan)高雄市大寮區仁德路12號",="0.71",="0.20",="<5",="<1",="97.0",="7.1",="10.1",="47.8",="ND",="ND",="0.36",="205",="0.07",="132",="ND",="ND",="<1",="<1",="0.0141",="0.00028",="0.00021",="0.00099",="ND",="0.00330",="ND",="0.00093",="0.00123",="ND",="0.00002",="0.0239",="0.00007",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.0368",="<0.001",="Y",
="甲仙淨水場(Chiahsien)高雄市甲仙區和安里竹山巷19-1號",="0.48",="0.50",="<5",="<1",="143",="7.9",="3.6",="70.4",="ND",="ND",="0.31",="266",="0.10",="176",="ND",="ND",="<1",="<1",="0.0167",="0.00072",="0.00023",="0.00141",="ND",="0.00872",="ND",="0.00227",="0.00145",="0.00084",="ND",="0.0267",="0.00016",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="<0.01",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.0870",="<0.001",="Y",
="六龜淨水場(Liouguei)高雄市六龜區文武里河邊巷77號",="0.62",="0.20",="<5",="<1",="131",="7.9",="3.8",="88.2",="ND",="ND",="0.22",="264",="0.09",="200",="ND",="ND",="<1",="<1",="0.00529",="0.00037",="0.00045",="0.00077",="ND",="0.00393",="ND",="0.00178",="0.00057",="ND",="ND",="0.0205",="0.00030",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.100",="<0.001",="Y",
="牡丹淨水場(Moodan)屏東縣牡丹鄉石門村石門路35之2號",="0.74",="0.25",="<5",="<1",="119",="7.7",="12.1",="15.0",="ND",="ND",="0.10",="168",="0.09",="117",="ND",="ND",="<1",="<1",="0.0193",="0.00037",="0.00027",="0.00133",="ND",="0.00136",="ND",="0.00062",="0.00101",="ND",="ND",="0.00704",="0.00009",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.156",="<0.001",="Y",
="屏東淨水場(Pingtong)屏東市林森路6號",="0.52",="0.45",="<5",="<1",="163",="7.9",="5.0",="56.8",="ND",="ND",="1.57",="288",="0.08",="189",="ND",="ND",="<1",="<1",="0.00164",="0.00044",="0.00053",="0.00158",="ND",="0.00195",="ND",="0.00096",="0.00076",="ND",="ND",="0.00884",="0.00006",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.0135",="<0.001",="Y",
="深溝淨水場(Shengou)宜蘭縣員山鄉員山路2段236號",="0.48",="0.25",="<5",="<1",="75.1",="7.3",="4.1",="24.5",="ND",="ND",="0.59",="130",="0.08",="88.5",="ND",="ND",="<1",="<1",="0.00202",="ND",="ND",="0.00008",="ND",="0.00547",="ND",="0.00140",="ND",="ND",="ND",="0.00114",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.0179",="ND",="Y",
="廣興淨水場(Kuanhsin)宜蘭縣冬山鄉廣興路63號",="0.47",="0.15",="<5",="<1",="106",="7.0",="4.2",="38.7",="ND",="<0.01",="0.89",="198",="0.09",="121",="ND",="ND",="<1",="<1",="0.00206",="ND",="ND",="0.00031",="ND",="ND",="ND",="0.00419",="ND",="ND",="ND",="0.00119",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.0324",="ND",="Y",
="蘇澳淨水場(Shuao)宜蘭縣蘇澳鎮光明路5號",="0.50",="0.15",="<5",="<1",="95.4",="6.8",="16.7",="23.8",="ND",="<0.01",="0.83",="161",="0.08",="113",="ND",="ND",="1",="<1",="ND",="ND",="0.00102",="0.00088",="ND",="0.0104",="ND",="0.00040",="ND",="ND",="ND",="0.00703",="0.00011",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.0198",="ND",="Y",
="砂婆礑淨水場(Sapotang)花蓮縣秀林鄉水源村金嵐路2之1號",="0.44",="0.20",="<5",="<1",="83.7",="8.1",="3.0",="12.9",="ND",="ND",="0.40",="129",="0.01",="92.9",="ND",="ND",="3",="<1",="0.00282",="0.00184",="0.00034",="0.00126",="ND",="0.00754",="ND",="0.0107",="0.00059",="0.00080",="0.00001",="0.0267",="0.00009",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.0333",="ND",="Y",
="鳳林淨水場(Fonglin)花蓮縣鳳林鎮水源路136號",="0.48",="0.15",="<5",="<1",="49.5",="7.8",="4.5",="9.8",="ND",="ND",="0.34",="101",="0.03",="54.8",="ND",="ND",="2",="<1",="0.00222",="0.00054",="0.00025",="0.00039",="ND",="0.00291",="ND",="0.00108",="ND",="ND",="ND",="0.00199",="0.00003",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.0157",="ND",="Y",
="玉里淨水場(Yuli)花蓮縣玉里鎮玉里段152，217地號內",="0.48",="0.20",="<5",="<1",="107",="7.5",="3.2",="27.4",="ND",="ND",="0.91",="191",="0.07",="127",="0.06",="0.006",="1",="<1",="ND",="0.00049",="0.00044",="0.00123",="ND",="0.00244",="ND",="0.00268",="0.00099",="ND",="ND",="0.00231",="0.00006",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.00518",="ND",="Y",
="壽豐淨水場(Shoufeng)花蓮縣壽豐鄉豐裡村中山路151號",="0.44",="0.10",="<5",="<1",="108",="7.5",="4.8",="10.9",="ND",="ND",="0.52",="149",="0.03",="113",="ND",="ND",="9",="<1",="0.00293",="ND",="0.00041",="0.00158",="ND",="0.00159",="ND",="0.00109",="0.00158",="0.00094",="ND",="0.0173",="0.00007",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.0114",="ND",="Y",
="利嘉淨水場(Leichia)台東縣卑南鄉利嘉路575號",="0.55",="0.30",="<5",="<1",="116",="7.9",="6.4",="79.8",="ND",="ND",="0.29",="276",="0.07",="208",="ND",="ND",="<1",="<1",="ND",="ND",="0.00504",="0.00076",="ND",="0.0260",="ND",="ND",="ND",="0.00436",="0.00035",="0.00449",="0.00027",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.0187",="ND",="Y",
="成功淨水場(Chengkung)台東縣成功鎮高台路60號",="0.75",="0.45",="<5",="<1",="93.4",="7.6",="27.0",="14.9",="ND",="ND",="0.48",="170",="0.10",="75.0",="0.09",="ND",="<1",="<1",="0.00498",="ND",="0.00399",="0.00101",="ND",="0.0119",="ND",="0.00034",="0.00148",="ND",="0.00042",="0.00122",="0.00019",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.0609",="ND",="Y",
="正興淨水場(Chenghsin)台東縣金峰鄉正興村90號",="0.46",="0.25",="<5",="<1",="122",="7.4",="8.8",="44.8",="ND",="ND",="1.23",="248",="0.09",="191",="0.02",="ND",="<1",="<1",="0.00302",="ND",="0.00174",="0.00060",="ND",="ND",="ND",="0.00416",="ND",="0.00085",="0.00123",="0.00554",="0.00061",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.0135",="ND",="Y",
="馬公(Magong)澎湖縣馬公市烏崁里306號",="0.65",="0.20",="<5",="<1",="35.4",="8.2",="145",="22.5",="ND",="ND",="0.06",="310",="0.02",="34.2",="ND",="ND",="<1",="<1",="0.00097",="0.00450",="ND",="0.00055",="ND",="0.00153",="ND",="ND",="0.00182",="ND",="0.00003",="ND",="0.00002",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.0237",="0.001",="Y",
="集集淨水場(Jiji)南投縣集集鎮吳厝里水源巷1號",="0.43",="0.40",="<5",="<1",="129",="8.2",="1.9",="91.5",="ND",="ND",="0.41",="262",="0.14",="191",="ND",="ND",="3",="<1",="0.00236",="ND",="ND",="0.00090",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.00389",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="<0.01",="ND",="ND",="ND",="－－",="－－",="－－",="－－",="ND",="0.113",="ND",="Y",
="埔里第三淨水場(Puli Third)南投縣埔里鎮中山路2段101號",="0.64",="0.25",="<5",="<1",="46.3",="6.7",="2.4",="22.5",="ND",="ND",="1.16",="108",="0.11",="60.8",="ND",="ND",="<1",="<1",="ND",="ND",="ND",="0.00029",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.00693",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="－－",="－－",="－－",="ND",="0.00918",="ND",="Y",
="日月潭淨水場(Rihyuetan)南投縣魚池鄉水社村中山路62號",="0.65",="0.20",="<5",="<1",="128",="8.2",="1.6",="96.6",="ND",="ND",="0.38",="270",="0.13",="195",="ND",="ND",="<1",="<1",="0.00020",="ND",="ND",="0.00116",="ND",="0.00835",="ND",="0.00179",="0.00121",="0.00141",="ND",="0.0114",="0.00052",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="－－",="－－",="－－",="ND",="0.0453",="ND",="Y",
