項次,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,,
檢驗項目,自由有效餘氯(Free Chlorine Residual),濁度(Turbidity),色度(Color),臭度(Odor),總鹼度(Total Alkalinity),pH值(pH ),氯鹽(Chloride),硫酸鹽(Sulfate),氨氮(Ammonia),亞硝酸鹽氮(Nitrite),硝酸鹽氮(Nitrate),總溶解固體量(Total Dissolved Solids),氟鹽(Fluoride),總硬度(Total Hardness),鐵(Iron),錳(Manganese),總菌落數(Total Bacterial Count),大腸桿菌群(Coliform Group),總三鹵甲烷(Total Trihalomethanes),鉛(Lead),硒(Selenium),砷(Arsenic),汞(Mercury),鋅(Zinc),銀(Silver),銅(Copper),鉻(Chromium),鎳(Nickel),鎘(Cadmium),鋇(Barium),銻(Antimony),陰離子界面活性劑(Anionic Surfactants),靈丹(Lindane),安殺番(Endosulfan),巴拉刈(Paraquat),大利松(Diazinon),巴拉松(Parathion),一品松(EPN),氰鹽(Cyanate),酚(Phenols),達馬松(Methamidophos),丁基拉草(Butachlor),2，4-地(2，4-D),納乃得(Methomyl),滅必蝨(MIPC(Isoprocarb)),加保扶(Carbofuran),亞素靈(Monocrotophos),鋁(Aluminium),溴酸鹽(Bromate),水質合格否(Y/N),
飲用水水質標準,0.2-1.0,2,5,3,－－,6.0-8.5,250,250,0.1,0.1,10.0,500,0.8,300,0.3,0.05,100,6,0.08,0.01,0.01,0.01,0.002,5.0,0.05,1.0,0.05,0.1,0.005,2.0,0.01,0.5,0.0002,0.003,0.01,0.005,0.02,0.005,0.05,0.001,0.02,0.02,0.07,0.01,0.02,0.02,0.003,0.3,0.01,－－,
單位,mg/L,NTU,鉑鈷單位,初嗅數,mg/L,－－,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,CFU/mL,CFU/100mL,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,－－,
="龍潭淨水場(Longtan)桃園市龍潭區佳安村文化路209號",="0.73",="0.80",="<5",="<1",="69.3",="7.6",="3.3",="33.3",="0.02",="ND",="0.90",="137",="0.08",="94.7",="0.03",="ND",="<1",="<1",="0.0114",="0.00060",="0.00027",="0.00097",="ND",="0.00084",="ND",="0.00045",="0.00101",="ND",="ND",="0.00873",="0.00019",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.136",="ND",="Y",
="新竹第一淨水場(Hsinchu First)新竹市博愛街1號",="0.71",="0.15",="<5",="<1",="107",="7.6",="7.6",="47.9",="0.04",="<0.01",="1.25",="208",="0.13",="155",="0.02",="ND",="1",="<1",="0.00497",="ND",="0.00103",="0.00015",="ND",="ND",="ND",="0.00181",="ND",="ND",="0.00019",="0.0164",="0.00023",="0.03",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.135",="ND",="Y",
="新竹第二淨水場(Hsinchu Second)新竹市東美路91巷100號",="0.73",="0.10",="<5",="<1",="104",="8.0",="8.8",="42.1",="0.03",="<0.01",="0.70",="211",="0.12",="146",="0.03",="ND",="3",="<1",="0.00958",="ND",="ND",="0.00024",="ND",="ND",="ND",="0.00093",="ND",="ND",="0.00014",="0.0153",="0.00013",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.118",="ND",="Y",
="寶山淨水場(Baoshan)新竹縣竹東鎮柯湖里柯湖路三段305巷130號",="0.70",="0.10",="<5",="1",="87.1",="7.5",="4.9",="61.8",="0.04",="<0.01",="0.33",="232",="0.12",="139",="0.02",="ND",="1",="<1",="0.0101",="ND",="ND",="0.00056",="ND",="0.0108",="ND",="ND",="0.00186",="ND",="ND",="0.0158",="0.00013",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.130",="ND",="Y",
="湳雅淨水場(Nanya)新竹市湳雅街313巷32弄28號",="0.67",="1.0",="<5",="<1",="110",="7.7",="11.3",="47.6",="0.04",="<0.01",="1.06",="208",="0.10",="158",="0.05",="0.008",="<1",="<1",="0.00884",="ND",="0.00130",="0.00018",="ND",="ND",="ND",="0.00228",="ND",="0.00090",="0.00028",="0.0166",="0.00025",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.175",="ND",="Y",
="員崠淨水場(Yuntong)新竹縣竹東鎮員崠淨仔61號",="0.61",="0.25",="<5",="<1",="97.2",="8.1",="4.0",="61.8",="0.03",="<0.01",="0.48",="222",="0.10",="154",="0.03",="ND",="3",="<1",="0.00026",="ND",="ND",="ND",="ND",="0.0166",="ND",="ND",="0.00133",="ND",="ND",="0.0106",="ND",="0.03",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.0840",="ND",="Y",
="東興淨水場(Donsin)苗栗縣頭份鎮上興里水源路417巷14號",="0.79",="0.20",="<5",="<1",="87.8",="7.8",="5.1",="29.2",="0.04",="ND",="0.45",="140",="0.09",="109",="0.04",="ND",="1",="<1",="0.0105",="ND",="0.00219",="0.00032",="ND",="0.00551",="ND",="0.00501",="ND",="0.00070",="0.00025",="0.0181",="0.00021",="0.03",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.134",="ND",="Y",
="明德淨水場(Minde)苗栗縣頭屋鄉明德村明德路151號",="0.84",="0.15",="<5",="2",="96.1",="7.5",="8.9",="25.4",="ND",="ND",="1.10",="166",="0.11",="106",="0.02",="ND",="<1",="<1",="0.0357",="ND",="ND",="0.00153",="ND",="0.0116",="ND",="ND",="ND",="ND",="ND",="0.0111",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.0889",="ND",="Y",
="豐原淨水場(Fongyuan)台中市豐原區豐勢路2段1200巷6號",="0.71",="0.30",="<5",="<1",="78.9",="7.7",="3.3",="35.5",="ND",="ND",="0.69",="160",="0.12",="113",="ND",="ND",="5",="<1",="0.00300",="0.00176",="ND",="0.00019",="0.00049",="ND",="ND",="0.00060",="ND",="0.00098",="ND",="0.00470",="0.00029",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.119",="ND",="Y",
="鯉魚潭淨水場(Liyutan)台中市后里區三豐路352之1號",="0.75",="0.20",="<5",="<1",="95.0",="7.8",="2.5",="80.6",="ND",="ND",="0.41",="220",="0.14",="159",="ND",="ND",="<1",="<1",="0.00522",="0.00347",="ND",="0.00023",="ND",="ND",="ND",="0.00057",="ND",="0.00106",="ND",="0.00488",="0.00027",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.0719",="ND",="Y",
