FacilityID,FacilityName,ReportPeriod,VOCs,UnitsOfVOCs,TSP,UnitsOfTSP,SOx,UnitsOfSOx,NOx,UnitsOfNOx,Status
Z6603001,馬祖酒廠實業股份有限公司(東引酒廠),2016年第2季,2.122,公噸,0,公噸,0.001,公噸,0.069,公噸,完成申報
Z6600019,台灣電力股份有限公司馬祖區營業處-東引電廠,2016年第2季,0.005,公噸,0.85,公噸,0.379,公噸,34.277,公噸,完成申報
Z6503042,台灣電力股份有限公司馬祖區營業處-西莒電廠,2016年第2季,0.002,公噸,0.51,公噸,0.153,公噸,14.642,公噸,完成申報
Z6400019,台灣電力(股)公司協和發電廠馬祖珠山分廠-北竿機組,2016年第2季,0.002,公噸,0,公噸,0,公噸,0.025,公噸,完成申報
Z6303328,台灣電力(股)公司協和發電廠馬祖珠山分廠-珠山機組,2016年第2季,0.005,公噸,4.352,公噸,11.406,公噸,191.618,公噸,完成申報
Z6303006,馬祖酒廠實業股份有限公司,2016年第2季,1.93,公噸,0,公噸,0.001,公噸,0.119,公噸,完成申報
Z6300023,台灣電力股份有限公司馬祖區營業處-南竿電廠,2016年第2季,0.007,公噸,0.81,公噸,0.015,公噸,61.596,公噸,完成申報
X0901036,台灣電力股份有限公司澎湖區營業處七美發電廠,2016年第2季,0.022,公噸,0.526,公噸,0.079,公噸,17.614,公噸,完成核算(粒狀物核算中)
X0801031,台灣電力股份有限公司澎湖區營業處望安發電廠,2016年第2季,0.023,公噸,0.277,公噸,0.066,公噸,20.139,公噸,完成核算(粒狀物核算中)
X0704126,共合造船廠,2016年第2季,0.402,公噸,0,公噸,0,公噸,0,公噸,完成核算
X0704117,金泉泰造船廠,2016年第2季,0.007,公噸,0,公噸,0,公噸,0,公噸,完成核算
X0604130,國福造船廠,2016年第2季,0.262,公噸,0,公噸,0,公噸,0,公噸,完成核算
X0504493,新珊洗衣店,2016年第2季,0,公噸,0,公噸,0,公噸,0,公噸,完成核算
X0504233,豪信預拌混凝土有限公司林投廠,2016年第2季,0.014,公噸,0,公噸,0,公噸,0,公噸,完成核算
X0504180,台灣中油股份有限公司油品行銷事業部嘉南營業處湖西供油服務中心,2016年第2季,1.979,公噸,0,公噸,0,公噸,0,公噸,核算確認中
X0504082,泰永企業行瀝青混凝土廠,2016年第2季,0,公噸,1.188,公噸,0,公噸,0,公噸,完成核算(粒狀物核算中)
X0501527,空軍馬公基地勤務隊,2016年第2季,0,公噸,0,公噸,0,公噸,0.008,公噸,完成核算
X0501447,法務部矯正署澎湖監獄,2016年第2季,0,公噸,0,公噸,0.001,公噸,0.007,公噸,完成核算
X0501241,柄森企業有限公司湖西廠,2016年第2季,0,公噸,3.805,公噸,0,公噸,0,公噸,完成申報
X0501232,臺灣電力股份有限公司尖山發電廠,2016年第2季,0.007,公噸,8.213,公噸,172.911,公噸,352.184,公噸,完成核算(粒狀物核算中)
X04A2871,權耀工程有限公司,2016年第2季,0.028,公噸,1.282,公噸,0.057,公噸,0.055,公噸,完成核算(粒狀物核算中)
X04A1477,展豐保麗龍廠,2016年第2季,0.008,公噸,0,公噸,0.456,公噸,0.316,公噸,完成核算
X04A0726,光美洗衣店,2016年第2季,0,公噸,0,公噸,0,公噸,0,公噸,完成核算
X04A0677,富勝造船廠,2016年第2季,0.17,公噸,0,公噸,0,公噸,0,公噸,完成核算
X04A0667,重光洗衣店,2016年第2季,0.07,公噸,0,公噸,0,公噸,0,公噸,完成核算
X04A0627,明清洗衣店,2016年第2季,0,公噸,0,公噸,0,公噸,0,公噸,完成核算
X04A0617,顏遜造船所,2016年第2季,0,公噸,0,公噸,0,公噸,0,公噸,完成核算
X04A0607,宏興造船廠,2016年第2季,0.022,公噸,0,公噸,0,公噸,0,公噸,完成核算
X04A0598,麗衣坊洗衣店,2016年第2季,0.01,公噸,0,公噸,0,公噸,0,公噸,完成核算
X04A0588,快而潔洗衣店大仁店,2016年第2季,0.01,公噸,0,公噸,0,公噸,0,公噸,完成核算
X04A0578,快而潔洗衣店民生店,2016年第2季,0.01,公噸,0,公噸,0,公噸,0,公噸,完成核算
X04A0558,進泉企業行,2016年第2季,0.381,公噸,0,公噸,0,公噸,0,公噸,完成核算
X04A0548,芳鄰洗衣店,2016年第2季,0,公噸,0,公噸,0,公噸,0,公噸,完成核算
X04A0439,華信洗衣店,2016年第2季,0.01,公噸,0,公噸,0,公噸,0,公噸,完成核算
X04A0429,全統洗衣店,2016年第2季,0.01,公噸,0,公噸,0,公噸,0,公噸,完成核算
X04A0201,藍木商行,2016年第2季,0.005,公噸,0,公噸,0,公噸,0,公噸,完成核算
X04A0172,有志商會印刷廠,2016年第2季,0.003,公噸,0,公噸,0,公噸,0,公噸,完成核算
X04A0162,富國印刷廠,2016年第2季,0.01,公噸,0,公噸,0,公噸,0,公噸,完成核算
X0405824,三軍總醫院澎湖分院附設民眾診療服務處,2016年第2季,0,公噸,0,公噸,0.001,公噸,0.091,公噸,完成核算
X0405735,新來來租賃行,2016年第2季,0,公噸,0,公噸,0.01,公噸,0.007,公噸,完成核算
