SiteName,County,PSI,MajorPollutant,Status,SO2,CO,O3,PM10,PM2.5,NO2,WindSpeed,WindDirec,FPMI,NOx,NO,PublishTime
二林,彰化縣,25,,良好,2.4,0.22,14,33,17,10,2.2,177,2,11.75,1.55,2016-06-14 21:00
三重,新北市,41,,良好,5.7,3.19,,45,16,28,,,2,166.62,138.14,2016-06-14 21:00
三義,苗栗縣,22,,良好,1.2,0.08,26,16,5,1.3,4.8,177,1,1.67,.39,2016-06-14 21:00
土城,新北市,13,,良好,1.7,0.58,1.9,17,3,15,1.1,162,1,35.13,19.9,2016-06-14 21:00
士林,臺北市,23,,良好,1.7,0.56,2,33,9,20,1,130,1,32.74,12.56,2016-06-14 21:00
大同,臺北市,38,,良好,7.2,4.04,,30,23,32,,,2,234.15,201.78,2016-06-14 21:00
大里,臺中市,43,,良好,2.8,1,4.7,36,15,21,1.1,225,2,34.09,13.5,2016-06-14 21:00
大園,桃園市,0,,,,,6.8,,,,,,,,,2016-06-14 12:00
大寮,高雄市,34,,良好,3.9,0.28,12,25,6,11,1.1,210,1,12.52,1.87,2016-06-14 21:00
小港,高雄市,46,,良好,26,0.21,2.3,43,13,24,1.4,70,2,42.98,19.44,2016-06-14 21:00
中山,臺北市,22,,良好,3.8,2.07,1.2,25,,32,1,104,,130.48,98.05,2016-06-14 21:00
中壢,桃園市,37,,良好,5,2.55,3,39,11,20,0.7,187,2,103.41,83.38,2016-06-14 21:00
仁武,高雄市,41,,良好,4.9,0.6,4.1,46,11,21,1.5,98,2,25.74,4.3,2016-06-14 21:00
斗六,雲林縣,31,,良好,3.8,0.5,5,31,15,15,1,103,2,19.1,4.31,2016-06-14 21:00
冬山,宜蘭縣,20,,良好,1.7,0.3,1.4,23,0,15,1,319,1,26.01,11.32,2016-06-14 21:00
古亭,臺北市,15,,良好,2.5,0.88,1,16,7,21,0.8,134,1,57.2,36.57,2016-06-14 21:00
左營,高雄市,36,,良好,2.6,1.18,3,37,16,26,1.4,92,2,42.77,16.93,2016-06-14 21:00
平鎮,桃園市,26,,良好,3.7,0.81,3.8,17,13,19,1.1,149,1,43.91,24.72,2016-06-14 21:00
永和,新北市,16,,良好,1.9,1.02,1.4,16,8,19,1.1,110,1,54.94,36.03,2016-06-14 21:00
安南,臺南市,38,,良好,3.5,0.58,5.7,47,19,20,2.5,129,1,22.78,2.5,2016-06-14 21:00
朴子,嘉義縣,44,,良好,2.4,0.24,10,38,14,14,2.1,171,2,16.33,2.42,2016-06-14 21:00
汐止,新北市,19,,良好,3.1,1.13,0.1,22,5,21,0.8,236,1,75.27,54.23,2016-06-14 21:00
竹山,南投縣,22,,良好,1.7,0.3,5.1,25,4,7.8,0.9,140,1,10.06,2.3,2016-06-14 21:00
竹東,新竹縣,18,,良好,3.8,0.39,3.9,23,3,6.9,2,130,1,13.12,6.23,2016-06-14 21:00
西屯,臺中市,45,,良好,3.4,0.49,3,43,22,23,1.6,205,2,32.9,10.19,2016-06-14 21:00
沙鹿,臺中市,30,,良好,3.9,0.31,11,26,9,16,3.1,159,1,17.51,1.24,2016-06-14 21:00
宜蘭,宜蘭縣,23,,良好,2.3,0.42,5.5,31,1,11,0.8,171,1,13.05,1.69,2016-06-14 21:00
忠明,臺中市,18,,良好,2.8,1.28,2.2,19,10,28,1.3,207,2,52.25,24.52,2016-06-14 21:00
松山,臺北市,21,,良好,2.2,0.91,1.8,23,6,22,0.8,75,1,58.35,36.47,2016-06-14 21:00
板橋,新北市,21,,良好,3.5,1.43,0.9,24,15,20,1.1,139,2,67.1,46.93,2016-06-14 21:00
林口,新北市,18,,良好,7.3,0.79,0.6,29,16,25,2.8,136,2,58.75,33.77,2016-06-14 21:00
林園,高雄市,32,,良好,1.3,0.09,20,30,15,3.6,1.2,44,2,4.84,1.22,2016-06-14 21:00
花蓮,花蓮縣,27,,良好,1.4,0.42,18,26,16,14,0.8,214,1,16.25,2.68,2016-06-14 21:00
金門,金門縣,39,,良好,3.1,0.12,,48,9,7.2,3.9,222,1,8.35,1.16,2016-06-14 21:00
前金,高雄市,44,,良好,5.1,0.72,3.8,40,19,21,1.1,293,2,33.67,12.4,2016-06-14 21:00
前鎮,高雄市,38,,良好,7.3,1.03,2.3,43,9,23,0.8,108,2,40.37,17.12,2016-06-14 21:00
南投,南投縣,25,,良好,4.3,0.59,3.2,28,17,13,1.5,188,2,19.6,7.06,2016-06-14 21:00
屏東,屏東縣,34,,良好,2.8,1.01,7.6,41,17,21,0.9,119,2,25.29,4.7,2016-06-14 21:00
恆春,屏東縣,36,,良好,0.1,0.08,23,40,6,1.9,2.4,273,1,5.1,3.16,2016-06-14 21:00
美濃,高雄市,18,,良好,1.6,0.22,13,18,7,5.6,0.9,88,1,6.23,.68,2016-06-14 21:00
苗栗,苗栗縣,28,,良好,1.5,0.25,18,29,5,7.8,2.9,205,2,9.44,1.65,2016-06-14 21:00
埔里,南投縣,24,,良好,3.1,0.48,4,19,10,14,0.5,317,2,19.56,5.21,2016-06-14 21:00
桃園,桃園市,26,,良好,8.1,1.21,1.4,30,5,24,1.4,125,1,55.12,31.1,2016-06-14 21:00
馬公,澎湖縣,27,,良好,1.3,0.31,14,21,10,7.5,4.1,168,2,9.82,2.35,2016-06-14 21:00
馬祖,連江縣,22,,良好,3,0.17,26,5,0,12,1.8,186,1,15.62,3.64,2016-06-14 21:00
基隆,基隆市,14,,良好,1.4,0.53,2.2,18,8,23,0.9,265,1,31.09,8.38,2016-06-14 21:00
崙背,雲林縣,31,,良好,1.2,0.15,19,31,14,6.5,2.4,182,2,7.38,.84,2016-06-14 21:00
淡水,新北市,16,,良好,1.7,1.04,2.1,19,14,22,,,2,51.41,29.35,2016-06-14 21:00
麥寮,雲林縣,49,,良好,1.5,0.38,16,53,17,8.7,2.5,179,2,12.84,4.12,2016-06-14 21:00
善化,臺南市,34,,良好,1.7,0.16,16,29,17,6.7,1.5,117,1,7.14,.45,2016-06-14 21:00
復興,高雄市,40,,良好,5.5,2.01,1.9,43,16,26,0.8,34,2,55.23,28.78,2016-06-14 21:00
湖口,新竹縣,0,,,2.2,0.23,14,14,7,17,5.3,248,,24.6,8.03,2016-06-14 12:00
菜寮,新北市,17,,良好,3.9,1.68,1.1,13,13,25,1.5,122,1,83.73,58.41,2016-06-14 21:00
陽明,臺北市,18,,良好,1.6,0.12,21,15,6,3.8,,,1,4.78,.95,2016-06-14 21:00
新竹,新竹市,22,,良好,1.9,0.48,14,26,10,14,2.6,242,1,15.79,2.17,2016-06-14 21:00
新店,新北市,11,,良好,1.6,0.54,5.9,11,8,15,3.9,132,1,27.56,12.28,2016-06-14 21:00
新莊,新北市,19,,良好,4.1,2.87,0.3,23,5,24,1.2,15,1,74.51,50.56,2016-06-14 21:00
新港,嘉義縣,32,,良好,0.9,0.24,14,29,15,8.2,2,177,2,10.02,1.8,2016-06-14 21:00
新營,臺南市,28,,良好,1.8,0.24,16,26,8,6.1,1.6,183,1,7.32,1.27,2016-06-14 21:00
楠梓,高雄市,51,懸浮微粒,普通,2,,1,53,8,24,1.7,81,1,39.55,15.39,2016-06-14 21:00
萬里,新北市,14,,良好,1.4,0.19,15,18,2,7.5,0.8,208,1,9.67,2.18,2016-06-14 21:00
萬華,臺北市,18,,良好,3.5,1.04,1,20,2,23,1.2,143,1,64.82,42.03,2016-06-14 21:00
嘉義,嘉義市,29,,良好,2.7,0.51,5.7,31,6,16,1.4,215,1,20.53,4.55,2016-06-14 21:00
彰化,彰化縣,26,,良好,5.9,0.52,13,28,14,13,1.3,164,2,13.65,.97,2016-06-14 21:00
臺西,雲林縣,32,,良好,1.7,0.12,19,34,11,4.4,3.3,173,1,4.83,.45,2016-06-14 21:00
臺東,臺東縣,21,,良好,1.7,0.33,25,20,8,7.8,0.9,309,1,8.75,.91,2016-06-14 21:00
臺南,臺南市,30,,良好,3,0.54,5.7,32,13,18,2,145,2,19.45,1.74,2016-06-14 21:00
鳳山,高雄市,50,,良好,2.3,1.37,2.3,46,7,26,1.5,109,2,38.28,12.64,2016-06-14 21:00
潮州,屏東縣,48,,良好,1,0.2,19,42,14,5,2.5,89,2,7.25,2.26,2016-06-14 21:00
線西,彰化縣,35,,良好,1.7,0.35,11,34,12,14,2.6,163,2,14.95,.72,2016-06-14 21:00
橋頭,高雄市,26,,良好,2.2,0.54,5.1,28,9,20,2,101,1,25.33,5.79,2016-06-14 21:00
頭份,苗栗縣,24,,良好,3.1,0.21,21,21,6,7.2,3.8,236,1,8.94,1.78,2016-06-14 21:00
龍潭,桃園市,26,,良好,2,0.62,2.4,28,9,13,1.5,152,1,43.37,30.36,2016-06-14 21:00
豐原,臺中市,20,,良好,1.6,0.15,24,10,7,3.1,2.7,157,2,4.33,1.23,2016-06-14 21:00
關山,臺東縣,18,,良好,,,21,17,4,,1.2,195,1,,,2016-06-14 21:00
觀音,桃園市,26,,良好,1,0.14,22,30,13,3.3,4.5,248,1,4.42,1.1,2016-06-14 21:00
