SiteName,County,PSI,MajorPollutant,Status,SO2,CO,O3,PM10,PM2.5,NO2,WindSpeed,WindDirec,FPMI,NOx,NO,PublishTime
二林,彰化縣,21,,良好,2.8,0.24,25,14,,12,1.3,117,,12.69,.94,2016-06-08 23:00
三重,新北市,41,,良好,2.3,2.08,,37,17,30,,,2,140.16,109.8,2016-06-08 23:00
三義,苗栗縣,30,,良好,2.1,0.23,36,28,7,7.5,1.5,212,2,8.78,1.29,2016-06-08 23:00
土城,新北市,18,,良好,3.6,0.7,4.6,27,13,28,1,160,1,39.28,11.72,2016-06-08 23:00
士林,臺北市,22,,良好,1.8,0.64,3.5,18,13,26,0.9,122,2,31.14,5.65,2016-06-08 23:00
大同,臺北市,37,,良好,4.6,3.68,,37,16,33,,,2,155.39,122.13,2016-06-08 23:00
大里,臺中市,47,,良好,2.2,0.5,22,47,15,19,0.8,49,2,20.37,1.37,2016-06-08 23:00
大園,桃園市,30,,良好,7.4,0.33,21,37,16,26,0.7,246,2,27.02,1.19,2016-06-08 23:00
大寮,高雄市,24,,良好,1.2,0.13,29,14,0,2.8,0.9,20,1,3.67,.86,2016-06-08 23:00
小港,高雄市,22,,良好,8.9,0.36,26,21,0,10,2.1,165,1,12.02,2,2016-06-08 23:00
中山,臺北市,16,,良好,1.7,0.67,5.7,18,11,27,1.2,178,,33.53,6.95,2016-06-08 23:00
中壢,桃園市,52,懸浮微粒,普通,6.6,2.13,8.2,65,23,45,1,156,2,86.73,42.18,2016-06-08 23:00
仁武,高雄市,32,,良好,1.9,0.21,29,30,7,6.3,2.6,134,1,7.96,1.67,2016-06-08 23:00
斗六,雲林縣,24,,良好,2.6,0.29,23,21,9,13,1.3,118,1,13.04,.04,2016-06-08 23:00
冬山,宜蘭縣,24,,良好,0.6,0.23,13,20,9,6.3,1.3,298,1,7.81,1.5,2016-06-08 23:00
古亭,臺北市,18,,良好,0.7,0.43,14,18,6,13,1.7,171,1,17.81,4.49,2016-06-08 23:00
左營,高雄市,29,,良好,4.3,0.27,25,31,6,13,3,163,1,13.13,.53,2016-06-08 23:00
平鎮,桃園市,46,,良好,4.5,0.61,14,53,30,33,1.2,283,2,34.84,1.53,2016-06-08 23:00
永和,新北市,21,,良好,1.1,0.52,15,18,3,12,1.3,113,1,19.33,7.76,2016-06-08 23:00
安南,臺南市,26,,良好,3.1,0.47,4.7,28,19,23,2.2,141,1,26.7,3.33,2016-06-08 23:00
朴子,嘉義縣,41,,良好,2.7,0.27,16,37,10,15,1.7,195,2,15.76,1.22,2016-06-08 23:00
汐止,新北市,24,,良好,2.6,0.69,1.6,26,9,21,0.5,237,1,42.93,22.03,2016-06-08 23:00
竹山,南投縣,26,,良好,1.8,0.19,24,28,7,5.5,1.3,255,1,5.61,.09,2016-06-08 23:00
竹東,新竹縣,35,,良好,2.6,0.31,13,35,26,6.5,1.6,130,2,7.04,.51,2016-06-08 23:00
西屯,臺中市,41,,良好,2.9,0.28,31,32,10,19,1.5,219,2,20.23,1.13,2016-06-08 23:00
沙鹿,臺中市,31,,良好,2.4,0.35,37,25,14,17,2,211,2,18.95,1.48,2016-06-08 23:00
宜蘭,宜蘭縣,28,,良好,1.6,0.34,13,36,6,8.7,1.3,296,1,10.2,1.5,2016-06-08 23:00
忠明,臺中市,37,,良好,1.8,0.43,32,35,11,18,2.1,199,2,19.17,1.45,2016-06-08 23:00
松山,臺北市,23,,良好,1.8,0.5,15,13,5,17,1.1,206,1,25.49,8.08,2016-06-08 23:00
板橋,新北市,23,,良好,5,0.91,0.8,25,18,33,1.4,224,2,48.12,14.93,2016-06-08 23:00
