SiteName,County,PSI,MajorPollutant,Status,SO2,CO,O3,PM10,PM2.5,NO2,WindSpeed,WindDirec,FPMI,NOx,NO,PublishTime
麥寮,雲林縣,52,懸浮微粒,普通,1.8,0.24,15,55,31,10,1,75,2,12.17,2.12,2016-05-04 23:00
關山,臺東縣,37,,良好,1,,20,39,12,3.3,1.1,81,2,4.8,1.47,2016-05-04 23:00
馬公,澎湖縣,18,,良好,1.5,0.28,15,18,18,7.3,1.8,117,2,9.68,2.43,2016-05-04 23:00
金門,金門縣,64,懸浮微粒,普通,3.3,0.26,36,73,30,9.7,0.8,126,3,10.51,.85,2016-05-04 23:00
馬祖,連江縣,66,懸浮微粒,普通,4.1,0.19,49,85,28,8.6,1.2,23,3,10.13,1.52,2016-05-04 23:00
埔里,南投縣,44,,良好,3.8,0.37,16,44,20,10,0.6,146,3,11.05,1.08,2016-05-04 23:00
復興,高雄市,35,,良好,3,0.69,10,30,9,18,1,120,2,21.46,3.38,2016-05-04 23:00
永和,新北市,50,,良好,1.6,0.7,8.8,39,21,21,0.7,135,3,24.85,4.3,2016-05-04 23:00
竹山,南投縣,45,,良好,3.7,0.29,6.1,48,28,14,0.9,326,2,15.49,1.18,2016-05-04 23:00
中壢,桃園市,70,懸浮微粒,普通,6.9,2.03,9.2,90,56,42,0.8,234,5,66.69,25,2016-05-04 23:00
三重,新北市,64,懸浮微粒,普通,5.2,1.61,,72,27,37,,,3,93.47,56.42,2016-05-04 23:00
冬山,宜蘭縣,57,懸浮微粒,普通,2.8,0.34,18,51,14,6.9,0.7,19,3,7.52,.64,2016-05-04 23:00
宜蘭,宜蘭縣,52,懸浮微粒,普通,2,0.36,16,40,16,9.6,1.1,321,2,10.74,1.14,2016-05-04 23:00
陽明,臺北市,30,,良好,2.5,0.23,36,21,17,3.3,,,2,3.84,.54,2016-05-04 23:00
花蓮,花蓮縣,51,懸浮微粒,普通,2,0.32,17,44,19,13,0.8,36,2,14.6,1.36,2016-05-04 23:00
臺東,臺東縣,46,,良好,1.6,0.39,18,32,18,7.1,0.6,317,2,8.54,1.43,2016-05-04 23:00
恆春,屏東縣,42,,良好,1,0.14,30,37,10,0.4,3.3,24,1,3.34,2.97,2016-05-04 23:00
潮州,屏東縣,45,,良好,2.1,0.23,20,35,20,4.8,1.9,121,3,6.21,1.45,2016-05-04 23:00
屏東,屏東縣,44,,良好,4.5,0.48,8.1,39,10,17,1.2,136,2,19.68,2.26,2016-05-04 23:00
前鎮,高雄市,29,,良好,1.6,0.68,8.2,28,11,19,0.9,165,2,21.44,2.73,2016-05-04 23:00
前金,高雄市,37,,良好,2.3,0.3,20,26,15,8.4,2,314,2,9.44,1.02,2016-05-04 23:00
左營,高雄市,38,,良好,2.2,0.24,23,32,19,9.3,1,349,2,9.75,.45,2016-05-04 23:00
楠梓,高雄市,50,,良好,3.2,0.37,6.8,52,20,17,0.7,303,2,18.58,1.97,2016-05-04 23:00
林園,高雄市,28,,良好,1.9,0.27,12,29,21,14,1.6,201,2,14.94,.9,2016-05-04 23:00
大寮,高雄市,33,,良好,3.8,0.39,3.4,35,13,16,0.5,37,2,19.03,3.35,2016-05-04 23:00
鳳山,高雄市,54,懸浮微粒,普通,2.6,0.51,7.9,38,9,19,1.5,86,2,20.63,1.42,2016-05-04 23:00
仁武,高雄市,40,,良好,2.7,0.33,11,38,8,16,1.3,98,2,17.13,1.33,2016-05-04 23:00
橋頭,高雄市,30,,良好,2.7,0.33,7.3,33,12,16,1,76,1,17.92,1.98,2016-05-04 23:00
美濃,高雄市,31,,良好,1.7,0.25,11,27,20,8.4,0.6,68,2,9.55,1.2,2016-05-04 23:00
臺南,臺南市,30,,良好,0.1,0.28,14,33,10,7.9,0.8,186,2,8.97,1.1,2016-05-04 23:00
安南,臺南市,34,,良好,0.8,0.23,14,30,16,3.8,0.9,89,2,4.67,.91,2016-05-04 23:00
善化,臺南市,37,,良好,2.3,0.26,6.6,44,11,12,1.5,123,2,13.12,1.29,2016-05-04 23:00
新營,臺南市,34,,良好,2.2,0.23,6.6,35,17,13,1.5,107,2,14.38,1.57,2016-05-04 23:00
嘉義,嘉義市,41,,良好,1.7,0.36,12,38,20,11,0.9,99,2,11.84,.98,2016-05-04 23:00
臺西,雲林縣,32,,良好,2.8,0.19,15,37,21,9.5,1.5,128,2,9.94,.43,2016-05-04 23:00
朴子,嘉義縣,47,,良好,2.3,0.16,18,60,18,8.3,1,84,2,8.98,.73,2016-05-04 23:00
新港,嘉義縣,44,,良好,2.3,0.24,17,49,23,6.4,1.3,102,2,7.02,.59,2016-05-04 23:00
崙背,雲林縣,45,,良好,1.9,0.24,20,54,44,6.1,0.8,82,3,7.83,1.7,2016-05-04 23:00
