"lineid","car","time","location"
"238022","312-TH","2016/08/19 17:29:16","新北市樹林區和平街73號附近"
"238015","755-BX","2016/08/19 17:29:17","新北市樹林區大安路257號附近"
"238021","311-TH","2016/08/19 17:29:11","新北市樹林區西圳街一段26號附近"
"238014","282-BY","2016/08/19 17:29:19","新北市樹林區文化街120巷9號附近"
"238025","303-VK","2016/08/19 17:29:24","新北市樹林區中山路一段65號附近"
"238018","571-TV","2016/08/19 17:29:06","新北市樹林區博愛街233號附近"
"238024","5061-A6","2016/08/19 17:29:09","新北市樹林區鎮前街29巷2號附近"
"238020","268-VK","2016/08/19 17:29:18","新北市樹林區中正路280-2號附近"
"238026","172-UY","2016/08/19 17:29:12","新北市樹林區東順街87號附近"
"238019","599-UM","2016/08/19 17:29:19","新北市樹林區八德街102號附近"
"238017","283-BY","2016/08/19 17:29:16","新北市樹林區大安路179號附近"
"238023","601-UM","2016/08/19 17:29:25","新北市樹林區大安路251號附近"
"238016","169-UY","2016/08/19 17:29:25","新北市樹林區中山路一段197號附近"
