"lineid","car","time","location","longitude","latitude"
"248005","653-BX","2016/10/25 07:07:21","新北市五股區明德路8號","121.433345","25.0715516666667"
"232013","076-UY","2016/10/25 07:08:28","新北市坪林區北宜路七段338號","121.696971666667","24.934905"
"232006","290-BY","2016/10/25 07:08:32","新北市坪林區北宜路八段438號","121.707623333333","24.9243333333333"
"232002","291-BY","2016/10/25 07:08:40","新北市坪林區大粗坑17-4號","121.713571666667","24.952075"
"244002","248-BX","2016/10/25 07:08:48","新北市林口區中山路285號","121.384335","25.0801683333333"
"222004","289-BY","2016/10/25 07:08:49","新北市深坑區平埔街22巷19號","121.614675","25.000895"
"235072","301-VK","2016/10/25 07:08:26","新北市中和區廟美街5號","121.500816666667","25.0014866666667"
"226002","7418-A5","2016/10/25 07:08:46","新北市平溪區石底里石筍尖21號","121.730336666667","25.02564"
"226003","ADG-0702","2016/10/25 07:08:52","新北市平溪區石底里石筍尖23號","121.728655","25.0247966666667"
"223006","022-BY","2016/10/25 07:08:40","新北市石碇區雙溪33-6號","121.649796666667","25.008555"
"223004","372-SR","2016/10/25 07:08:51","新北市石碇區靜安路一段94號","121.647625","25.0105383333333"
"223008","406-TH","2016/10/25 07:06:08","新北市石碇區靜安路一段262號","121.680403333333","25.01083"
"223005","677-TV","2016/10/25 07:08:43","新北市石碇區靜安路一段61號","121.648013333333","25.0102416666667"
"227006","282-VK","2016/10/25 06:48:55","新北市雙溪區新基里自強路5號","121.866371666667","25.0390783333333"
"252004","249-BX","2016/10/25 07:08:29","新北市三芝區錫板里小坑子11-1號","121.50177","25.2359733333333"
"252007","AAC-283","2016/10/25 01:39:31","新北市三芝區埔坪里埔頭坑41號","121.504513333333","25.2644183333333"
"236008","165-UM","2016/10/25 07:08:36","新北市土城區中華路一段201號","121.442988333333","24.9850166666667"
"236002","339-SR","2016/10/25 07:08:47","新北市土城區永平街51號","121.427643333333","24.9591616666667"
