"lineid","car","time","location"
"220090","288-VK","2016/08/16 19:59:43","新北市板橋區龍泉街72巷13號附近"
"220081","287-VK","2016/08/16 19:59:58","新北市板橋區僑中一街124巷18弄20號附近"
"220101","245-BX","2016/08/16 19:52:38","新北市板橋區莒光路180巷21號附近"
"220089","487-VK","2016/08/16 19:59:49","新北市板橋區互助街58號附近"
"220053","285-VK","2016/08/16 19:59:50","新北市板橋區中山路二段139號附近"
"235067","255-BX","2016/08/16 19:59:54","新北市中和區新生街235號附近"
"221025","623-UM","2016/08/16 19:59:55","新北市汐止區秀峰路118號附近"
"221008","129-UY","2016/08/16 19:59:52","台北市內湖區康樂街125巷2號附近"
"221038","297-VK","2016/08/16 19:59:56","新北市汐止區忠孝東路428號附近"
"221031","353-TW","2016/08/16 19:59:48","新北市汐止區福德一路176巷7弄2號附近"
"221023","279-VK","2016/08/16 19:59:49","新北市汐止區明峰街201號附近"
"221021","299-VK","2016/08/16 19:59:53","新北市汐止區水源路一段143號附近"
"220084","209-TC","2016/08/16 19:58:09","新北市板橋區滿平二街9號附近"
"237005","AKY-6261","2016/08/16 19:59:47","新北市三峽區中山路459巷137號附近"
"221036","130-UY","2016/08/16 19:59:54","新北市汐止區新台五路二段85巷8號附近"
"221015","131-UY","2016/08/16 19:59:57","新北市汐止區橋東街1號附近"
"220096","831-TW","2016/08/16 19:57:37","新北市板橋區莊敬路127號附近"
"220106","075-UY","2016/08/16 19:59:54","新北市板橋區民治街50號附近"
"221035","622-UM","2016/08/16 19:59:57","新北市汐止區長江街39巷22號附近"
"220067","829-TW","2016/08/16 19:59:48","新北市板橋區中山路一段282-1號附近"
"238014","282-BY","2016/08/16 19:59:54","新北市樹林區中山路一段406號附近"
"238025","303-VK","2016/08/16 19:59:36","新北市樹林區中山路二段209號附近"
"220068","013-TV","2016/08/16 19:59:45","新北市板橋區中山路二段318巷4號附近"
"220088","145-RM","2016/08/16 19:59:53","新北市板橋區仁化街186號附近"
"220055","827-TW","2016/08/16 19:59:54","新北市板橋區仁愛路62巷18-1號附近"
"220065","072-UY","2016/08/16 19:59:20","新北市板橋區國泰街39巷9弄1號附近"
"220082","806-UM","2016/08/16 19:59:52","新北市板橋區篤行路一段37號附近"
"220080","200-UY","2016/08/16 19:53:05","新北市板橋區大觀路二段37巷332號附近"
"220086","073-UY","2016/08/16 19:59:48","新北市板橋區南雅西路二段38巷2號附近"
"220061","293-UM","2016/08/16 19:59:47","新北市板橋區縣民大道二段200巷18號附近"
"220102","830-TW","2016/08/16 19:59:54","新北市板橋區民治街126巷3號附近"
"220074","895-R6","2016/08/16 19:59:40","新北市板橋區府中路42號附近"
"220071","303-R5","2016/08/16 19:59:43","新北市板橋區五權街30巷11號附近"
"238020","268-VK","2016/08/16 19:59:49","新北市樹林區俊保路60號附近"
"238019","599-UM","2016/08/16 19:59:40","新北市樹林區中山路三段204號附近"
"238017","283-BY","2016/08/16 19:59:50","新北市樹林區保安街一段402號附近"
"238023","601-UM","2016/08/16 19:59:42","新北市樹林區中正路747號附近"
"220054","741-BX","2016/08/16 19:59:58","新北市板橋區忠孝路忠義巷15弄36號附近"
"221018","753-BX","2016/08/16 19:59:46","新北市汐止區茄苳路252號附近"
"220092","307-R5","2016/08/16 19:59:54","新北市板橋區四維路259巷93號附近"
"220079","145-BY","2016/08/16 19:59:56","新北市板橋區南雅西路二段147號附近"
"220091","637-BX","2016/08/16 19:59:56","新北市板橋區文聖街78號附近"
"220075","297-UM","2016/08/16 19:59:50","新北市板橋區金華街10巷48弄36號附近"
"220098","317-R6","2016/08/16 19:59:49","新北市板橋區新海路160號附近"
"220103","561-BX","2016/08/16 19:59:40","新北市板橋區陽明街29巷1弄6號附近"
"220072","461-BY","2016/08/16 19:58:57","新北市板橋區金門街215巷41號附近"
"220097","AAC-210","2016/08/16 19:59:02","新北市板橋區光正街45巷6弄19號附近"
"221032","280-BY","2016/08/16 19:59:45","新北市汐止區橫科路18巷15號附近"
"221010","269-BY","2016/08/16 19:59:41","新北市汐止區八連路一段72號附近"
"220035","560-BX","2016/08/16 19:59:40","新北市板橋區新生街31號附近"
"220073","985-R7","2016/08/16 19:59:57","新北市板橋區大仁街112號附近"
"220093","689-BX","2016/08/16 19:59:57","新北市板橋區長江路二段59號附近"
"220077","687-BX","2016/08/16 19:59:41","新北市板橋區僑中一街124巷70-5號附近"
"220083","277-BY","2016/08/16 19:59:41","新北市板橋區龍興街65巷45號附近"
"220062","305-R5","2016/08/16 19:55:18","新北市板橋區光復街33巷13弄3號附近"
"220057","686-BX","2016/08/16 19:59:46","新北市板橋區四川路二段1-12號附近"
