"lineid","car","time","location"
"220039","288-VK","2016/08/16 14:08:19","新北市板橋區裕民街45巷3-1號附近"
"220031","286-VK","2016/08/16 14:08:44","新北市板橋區龍興街97巷6號附近"
"220029","287-VK","2016/08/16 14:08:34","新北市板橋區南雅西路二段156巷4號附近"
"220050","245-BX","2016/08/16 14:07:24","新北市板橋區縣民大道三段121巷22號附近"
"220038","487-VK","2016/08/16 14:08:37","新北市板橋區文化路二段486號附近"
"220001","285-VK","2016/08/16 14:08:39","新北市板橋區懷仁街10巷14號附近"
"220032","209-TC","2016/08/16 14:08:41","新北市板橋區篤行路二段123-2號附近"
"220045","831-TW","2016/08/16 14:08:39","新北市板橋區雙十路二段41巷11號附近"
"220043","283-UM","2016/08/16 14:08:49","新北市板橋區光武街125巷1號附近"
"220105","075-UY","2016/08/16 14:05:16","新北市板橋區雙十路三段10巷16號附近"
"220017","258-TC","2016/08/16 14:08:49","新北市板橋區縣民大道一段110號附近"
"220014","829-TW","2016/08/16 14:08:34","新北市板橋區中山路二段90巷43弄2號附近"
"220016","013-TV","2016/08/16 14:08:41","新北市板橋區翠華街6巷27號附近"
"220037","145-RM","2016/08/16 13:57:23","新北市板橋區莒光路40巷7弄12-1號附近"
"220003","827-TW","2016/08/16 14:08:45","新北市板橋區新民街2號附近"
"220013","072-UY","2016/08/16 14:08:50","新北市板橋區民族路247巷3弄2號附近"
"220030","806-UM","2016/08/16 14:08:33","新北市板橋區大觀路三段275號附近"
"220028","200-UY","2016/08/16 14:08:12","新北市板橋區大觀路二段153巷44弄11號附近"
"220034","073-UY","2016/08/16 14:08:42","新北市板橋區中正路236巷30號附近"
"220009","293-UM","2016/08/16 14:08:33","新北市板橋區三民路二段21巷12號附近"
"220051","830-TW","2016/08/16 14:08:37","新北市板橋區萬板路818巷9號附近"
"220022","895-R6","2016/08/16 14:08:47","新北市板橋區林園街54號附近"
"220019","303-R5","2016/08/16 14:08:37","新北市板橋區忠孝路132巷1號附近"
"220002","741-BX","2016/08/16 14:08:39","新北市板橋區重慶路93巷32號附近"
"220041","307-R5","2016/08/16 14:05:08","新北市板橋區文化路二段252號附近"
"220036","146-RM","2016/08/16 14:07:22","新北市板橋區文化路二段182巷1弄2號附近"
"220027","145-BY","2016/08/16 14:04:07","新北市板橋區光正街23巷48號附近"
"220004","276-BY","2016/08/16 14:08:33","新北市板橋區信義路161號附近"
"220040","637-BX","2016/08/16 14:08:21","新北市板橋區縣民大道三段247巷32-2號附近"
"220023","297-UM","2016/08/16 14:06:43","新北市板橋區大仁街108-2號附近"
"220047","317-R6","2016/08/16 14:08:47","新北市板橋區自由路51巷8號附近"
"220011","609-BX","2016/08/16 14:08:40","新北市板橋區三民路二段111號附近"
"220052","561-BX","2016/08/16 14:08:40","新北市板橋區文化路一段188巷9弄50號附近"
"220020","461-BY","2016/08/16 14:07:19","新北市板橋區大觀路三段50巷57號附近"
"220046","AAC-210","2016/08/16 14:08:44","新北市板橋區新海路174號附近"
"220104","560-BX","2016/08/16 14:08:12","新北市板橋區中正路330號附近"
"220021","985-R7","2016/08/16 14:08:48","新北市板橋區中正路178號附近"
"220042","689-BX","2016/08/16 14:08:41","新北市板橋區文化路一段304號附近"
"220025","687-BX","2016/08/16 14:08:49","新北市板橋區大觀路二段145號附近"
"220010","305-R5","2016/08/16 14:08:32","新北市板橋區三民路二段居仁巷1弄48-1號附近"
"220005","686-BX","2016/08/16 14:08:36","新北市板橋區重慶路219號附近"
