SiteName,County,PSI,MajorPollutant,Status,SO2,CO,O3,PM10,PM2.5,NO2,WindSpeed,WindDirec,FPMI,NOx,NO,PublishTime
麥寮,雲林縣,73,懸浮微粒,普通,3.6,0.4,45,97,43,,2.5,46,5,,,2016-03-21 05:00
關山,臺東縣,30,,良好,1.4,,36,40,23,2.2,1.2,63,2,3.13,.89,2016-03-21 05:00
馬公,澎湖縣,60,懸浮微粒,普通,1,0.26,53,71,27,4.4,6.4,83,3,6.17,1.82,2016-03-21 05:00
金門,金門縣,56,懸浮微粒,普通,1.7,0.3,64,57,34,6.3,3.6,61,4,7.07,.75,2016-03-21 05:00
馬祖,連江縣,42,,良好,2.4,0.26,50,37,22,3.4,0.5,201,2,5.5,2.15,2016-03-21 05:00
埔里,南投縣,36,,良好,0.5,0.35,9.1,32,15,9.2,0.6,195,2,9.73,.57,2016-03-21 05:00
復興,高雄市,60,懸浮微粒,普通,2.3,0.55,10,88,53,17,1.2,96,4,19.51,2.14,2016-03-21 05:00
永和,新北市,52,懸浮微粒,普通,1.2,0.28,55,58,19,4.6,2.6,93,2,7.09,2.51,2016-03-21 05:00
竹山,南投縣,64,懸浮微粒,普通,2.1,0.48,11,100,50,14,0.5,360,4,15.1,1.08,2016-03-21 05:00
中壢,桃園市,61,懸浮微粒,普通,2.9,0.48,38,72,19,18,1,253,3,20.06,2.13,2016-03-21 05:00
三重,新北市,64,懸浮微粒,普通,1.1,0.49,,79,25,20,,,3,31.65,11.63,2016-03-21 05:00
冬山,宜蘭縣,58,懸浮微粒,普通,1.5,0.27,47,54,17,11,1.4,102,2,11.96,1.26,2016-03-21 05:00
宜蘭,宜蘭縣,62,懸浮微粒,普通,1.1,0.29,42,75,27,1.9,0.9,202,3,2.77,.91,2016-03-21 05:00
陽明,臺北市,48,,良好,1.4,0.24,57,15,9,2.1,,,2,3.02,.91,2016-03-21 05:00
花蓮,花蓮縣,58,懸浮微粒,普通,1.4,0.36,42,67,35,3.3,1.8,235,3,3.98,.65,2016-03-21 05:00
臺東,臺東縣,24,,良好,2.1,0.42,11,28,16,6.3,2.1,302,2,15.1,8.85,2016-03-21 05:00
恆春,屏東縣,54,臭氧,普通,1.3,0.31,65,49,25,2.8,6.6,52,2,4.19,1.44,2016-03-21 05:00
潮州,屏東縣,66,懸浮微粒,普通,1.9,0.49,8.2,91,58,12,0.7,267,6,13.07,1.49,2016-03-21 05:00
屏東,屏東縣,64,懸浮微粒,普通,1.6,0.5,12,70,57,12,0.9,338,7,13.81,2.17,2016-03-21 05:00
小港,高雄市,58,懸浮微粒,普通,4.9,0.55,3.5,83,71,27,1.1,39,6,28.73,2,2016-03-21 05:00
前鎮,高雄市,58,懸浮微粒,普通,1.1,0.53,11,78,44,13,1.9,69,4,14.69,1.8,2016-03-21 05:00
前金,高雄市,64,懸浮微粒,普通,1.8,0.54,13,111,58,14,1.6,51,6,14.7,1.2,2016-03-21 05:00
