SiteName,County,PSI,MajorPollutant,Status,SO2,CO,O3,PM10,PM2.5,NO2,WindSpeed,WindDirec,FPMI,NOx,NO,PublishTime
二林,彰化縣,52,懸浮微粒,普通,3.5,0.38,22,71,56,16,1.5,169,4,17.3,.89,2016-07-06 20:00
三重,新北市,28,,良好,1.4,1.78,,29,8,18,,,1,95.47,77.57,2016-07-06 20:00
三義,苗栗縣,61,懸浮微粒,普通,2.5,0.28,48,113,34,7.3,2,194,3,8.13,.86,2016-07-06 20:00
土城,新北市,8,,良好,1.3,0.27,8.5,10,2,9.1,1.4,234,1,11.36,2.3,2016-07-06 20:00
士林,臺北市,22,,良好,1.7,0.17,12,24,10,6.4,3.1,116,1,8.85,2.46,2016-07-06 20:00
大同,臺北市,40,,良好,3.1,1.76,,41,12,15,,,1,79.72,64.56,2016-07-06 20:00
大里,臺中市,55,懸浮微粒,普通,1.7,0.49,34,59,26,15,1,172,3,16.44,1.85,2016-07-06 20:00
大園,桃園市,27,,良好,3.3,0.23,6.7,31,5,13,6.7,86,1,22.8,10.12,2016-07-06 20:00
大寮,高雄市,34,,良好,11,0.51,12,34,22,22,0.5,35,2,23.7,1.83,2016-07-06 20:00
小港,高雄市,37,,良好,3.5,0.55,9.6,35,12,27,1.5,59,1,28.7,1.67,2016-07-06 20:00
中山,臺北市,19,,良好,1.4,0.65,3.1,17,8,15,2.7,103,1,38.17,22.93,2016-07-06 20:00
中壢,桃園市,41,,良好,2.8,1.28,4.9,31,10,15,1.8,255,1,50.72,35.61,2016-07-06 20:00
仁武,高雄市,58,懸浮微粒,普通,5.1,0.46,22,64,15,20,1.7,115,2,21.63,1.99,2016-07-06 20:00
斗六,雲林縣,49,,良好,1.9,0.5,13,47,26,14,0.6,145,2,14.46,.16,2016-07-06 20:00
冬山,宜蘭縣,20,,良好,2.8,0.33,2.8,19,6,14,1.8,120,,30.09,16.05,2016-07-06 20:00
古亭,臺北市,13,,良好,1.7,0.32,8.3,14,4,8.5,3.1,91,1,14.61,6.12,2016-07-06 20:00
左營,高雄市,38,,良好,2.4,0.2,22,41,14,12,1.3,333,2,13.2,.92,2016-07-06 20:00
平鎮,桃園市,25,,良好,2.9,0.23,7.1,23,5,9,3,79,1,11.89,2.85,2016-07-06 20:00
永和,新北市,10,,良好,1.6,0.47,7.5,16,1,8.4,2.9,90,1,15.48,7.06,2016-07-06 20:00
安南,臺南市,35,,良好,2.6,0.18,38,38,4,5.5,1.1,52,2,7.01,1.56,2016-07-06 20:00
