"lineid","car","time","location"
"220029","287-VK","2016/08/18 15:00:04","新北市板橋區僑中一街80巷10弄3-2號附近"
"235031","255-BX","2016/08/18 14:59:55","新北市中和區新生街186巷1弄2號附近"
"220032","209-TC","2016/08/18 15:00:01","新北市板橋區滿平街84巷45弄3號附近"
"220030","806-UM","2016/08/18 14:59:58","新北市板橋區溪崑二街16號附近"
"220028","200-UY","2016/08/18 14:49:57","新北市板橋區大觀路二段153巷46弄60號附近"
"220034","073-UY","2016/08/18 15:00:00","新北市板橋區南雅西路二段7巷25號附近"
"220022","895-R6","2016/08/18 14:59:36","新北市板橋區民權路65號附近"
"220027","145-BY","2016/08/18 15:00:00","新北市板橋區南雅西路二段145巷4號附近"
"220023","297-UM","2016/08/18 14:59:44","新北市板橋區金華街10巷48弄69號附近"
"220020","461-BY","2016/08/18 14:55:31","新北市板橋區金門街151巷36號附近"
"220104","560-BX","2016/08/18 15:00:02","新北市板橋區新生街87巷20號附近"
"220025","687-BX","2016/08/18 14:59:55","新北市板橋區僑中一街124巷70-5號附近"
"220031","277-BY","2016/08/18 14:59:56","新北市板橋區僑中二街102巷1號附近"
