"lineid","car","time","location"
"220083","286-VK","2016/08/18 19:38:43","新北市板橋區龍興街73巷39號附近"
"220081","287-VK","2016/08/18 19:38:38","新北市板橋區大觀路一段75巷45號附近"
"235067","255-BX","2016/08/18 19:38:38","新北市中和區連城路340巷10弄12號附近"
"221008","129-UY","2016/08/18 19:38:49","新北市汐止區康寧街145號附近"
"221038","297-VK","2016/08/18 19:38:51","新北市汐止區忠孝東路201號附近"
"221023","279-VK","2016/08/18 19:38:47","新北市汐止區中興路282號附近"
"220084","209-TC","2016/08/18 19:38:34","新北市板橋區篤行路三段20-1號附近"
"221012","278-VK","2016/08/18 19:38:49","新北市汐止區汐平路一段3號附近"
"237005","AKY-6261","2016/08/18 19:36:36","新北市三峽區中山路459巷137號附近"
"238025","303-VK","2016/08/18 19:38:38","新北市樹林區中山路一段115號附近"
"238018","571-TV","2016/08/18 19:38:51","新北市樹林區中華路11號附近"
"220082","806-UM","2016/08/18 19:38:43","新北市板橋區金門街215號附近"
"220080","200-UY","2016/08/18 19:38:21","新北市板橋區大觀路二段37巷64號附近"
"220086","073-UY","2016/08/18 19:36:52","新北市板橋區中正路236巷37號附近"
"220074","895-R6","2016/08/18 19:38:51","新北市板橋區北門街54號附近"
"238026","172-UY","2016/08/18 19:38:40","新北市樹林區佳園路三段7號附近"
"238023","601-UM","2016/08/18 19:38:49","新北市樹林區三福街13號附近"
"238016","169-UY","2016/08/18 19:38:46","新北市樹林區東和街47巷2號附近"
"221025","567-BX","2016/08/18 19:38:47","新北市汐止區福安街20巷2號附近"
"220079","145-BY","2016/08/18 19:35:52","新北市板橋區復興街60號附近"
"220075","297-UM","2016/08/18 19:38:32","新北市板橋區大勇街79號附近"
"220072","461-BY","2016/08/18 19:38:48","新北市板橋區篤行路二段141巷23號附近"
"221032","280-BY","2016/08/18 19:38:47","新北市汐止區汐萬路一段204號附近"
"221010","269-BY","2016/08/18 19:38:36","新北市汐止區連峰街3巷1號附近"
"221027","281-BY","2016/08/18 19:38:41","新北市汐止區忠孝東路9號附近"
"220035","560-BX","2016/08/18 19:38:38","新北市板橋區中正路401號附近"
"220073","985-R7","2016/08/18 19:38:40","新北市板橋區瑞安街21號附近"
"220077","687-BX","2016/08/18 19:38:45","新北市板橋區僑中三街19號附近"
