"lineid","car","time","location"
"220083","286-VK","2016/08/18 19:29:49","新北市板橋區大觀路二段174巷166弄10號附近"
"220081","287-VK","2016/08/18 19:30:02","新北市板橋區南雅西路一段10巷7弄16號附近"
"235067","255-BX","2016/08/18 19:29:43","新北市中和區中正路803號附近"
"221008","129-UY","2016/08/18 19:29:55","新北市汐止區明峰街317號附近"
"221038","297-VK","2016/08/18 19:29:57","新北市汐止區汐萬路一段273號附近"
"221023","279-VK","2016/08/18 19:29:54","新北市汐止區康寧街901號附近"
"220084","209-TC","2016/08/18 19:29:59","新北市板橋區溪北路97號附近"
"221012","278-VK","2016/08/18 19:29:50","新北市汐止區大同路三段178號附近"
"237005","AKY-6261","2016/08/18 19:30:01","新北市三峽區中山路459巷137號附近"
"238025","303-VK","2016/08/18 19:29:42","新北市樹林區中山路一段179-1號附近"
"238018","571-TV","2016/08/18 19:29:52","新北市樹林區中華路96號附近"
"220082","806-UM","2016/08/18 19:29:50","新北市板橋區金門街378號附近"
"220080","200-UY","2016/08/18 18:46:17","新北市板橋區大觀路二段265巷76弄37號附近"
"220086","073-UY","2016/08/18 19:29:57","新北市板橋區國光路31巷17號附近"
"220074","895-R6","2016/08/18 19:29:55","新北市板橋區中正路1巷14號附近"
"238026","172-UY","2016/08/18 19:29:48","新北市樹林區佳園路三段20-3號附近"
"238023","601-UM","2016/08/18 19:29:56","桃園市龜山區萬壽路一段791-2號附近"
"238016","169-UY","2016/08/18 19:29:53","新北市樹林區復興路428號附近"
"221025","567-BX","2016/08/18 19:29:54","新北市汐止區新台五路二段10號附近"
"220079","145-BY","2016/08/18 19:29:55","新北市板橋區建國街10號附近"
"220075","297-UM","2016/08/18 19:30:00","新北市板橋區中正路253巷13號附近"
"220072","461-BY","2016/08/18 19:29:32","新北市板橋區金門街337巷5弄1號附近"
"221027","281-BY","2016/08/18 19:29:48","新北市汐止區水源路一段6號附近"
"220035","560-BX","2016/08/18 19:30:02","新北市板橋區中正路433巷25號附近"
"220073","985-R7","2016/08/18 19:30:01","新北市板橋區新生街49號附近"
"220077","687-BX","2016/08/18 19:29:48","新北市板橋區僑中二街104巷1號附近"
