SiteName,County,PSI,MajorPollutant,Status,SO2,CO,O3,PM10,PM2.5,NO2,WindSpeed,WindDirec,FPMI,NOx,NO,PublishTime
二林,彰化縣,41,,良好,3.3,0.1,29,45,14,2.4,1.5,317,2,2.68,.33,2016-08-21 19:00
三重,新北市,49,,良好,5.1,1.86,,43,14,35,,,2,126.51,91.52,2016-08-21 19:00
三義,苗栗縣,40,,良好,2,0.14,26,34,16,7,2,40,2,7.85,.85,2016-08-21 19:00
土城,新北市,35,,良好,3.4,0.4,21,23,9,13,1.4,136,2,14.62,1.35,2016-08-21 19:00
士林,臺北市,37,,良好,5.6,0.2,22,23,19,11,2.6,109,2,11.9,1.28,2016-08-21 19:00
大同,臺北市,51,懸浮微粒,普通,7.3,0.93,,41,16,26,,,3,59.12,33.48,2016-08-21 19:00
大里,臺中市,51,懸浮微粒,普通,2.7,0.35,29,43,22,10,1.6,319,3,11.26,.9,2016-08-21 19:00
大園,桃園市,39,,良好,3,0.31,,31,17,17,2.7,54,2,20,3.18,2016-08-21 19:00
大寮,高雄市,0,,,1.8,0.12,20,17,7,4.8,1,222,,7.77,2.98,2016-08-17 10:00
小港,高雄市,52,懸浮微粒,普通,5,0.17,39,56,16,6.5,1.1,287,2,6.37,-.16,2016-08-21 19:00
中山,臺北市,43,,良好,9.1,0.56,11,35,15,24,2,104,2,31.57,7.27,2016-08-21 19:00
中壢,桃園市,54,懸浮微粒,普通,6.9,1.82,10,51,30,34,1.2,279,3,64.04,30.31,2016-08-21 19:00
仁武,高雄市,43,,良好,4.2,0.25,21,41,36,13,1.5,30,2,13.86,1.3,2016-08-21 19:00
斗六,雲林縣,43,,良好,4.5,0.28,35,45,21,7.4,1.7,25,2,9.01,1.57,2016-08-21 19:00
冬山,宜蘭縣,32,,良好,4.1,0.22,36,25,11,6.7,1.3,117,2,8.47,1.81,2016-08-21 19:00
古亭,臺北市,38,,良好,5,0.34,17,26,15,17,2.6,93,2,21.04,3.93,2016-08-21 19:00
左營,高雄市,50,,良好,0.8,0.17,29,47,29,4.7,1.4,314,3,5.09,.37,2016-08-21 19:00
平鎮,桃園市,50,,良好,5.7,0.39,27,47,22,15,3.1,86,2,15.18,.26,2016-08-21 19:00
永和,新北市,33,,良好,3.7,0.52,18,28,14,15,2.5,95,2,19.6,4.82,2016-08-21 19:00
安南,臺南市,38,,良好,2.3,0.13,21,33,17,4.6,2.3,302,2,6.43,1.81,2016-08-21 19:00
朴子,嘉義縣,46,,良好,3.2,0.21,25,46,20,6.3,1.7,310,2,7.91,1.64,2016-08-21 19:00
汐止,新北市,28,,良好,5.5,0.29,13,21,11,14,1.6,47,2,16.83,2.4,2016-08-21 19:00
竹山,南投縣,43,,良好,3.2,0.32,27,41,21,11,1.3,190,2,12.36,1.12,2016-08-21 19:00
竹東,新竹縣,46,,良好,2.3,0.31,29,45,31,9.8,0.6,112,3,11.94,2.11,2016-08-21 19:00
西屯,臺中市,49,,良好,2,0.15,22,42,18,9.2,1.7,307,3,10.73,1.52,2016-08-21 19:00
沙鹿,臺中市,52,懸浮微粒,普通,1.2,0.18,21,43,22,5.8,3,359,2,6.78,1.03,2016-08-21 19:00
宜蘭,宜蘭縣,34,,良好,1.5,0.21,30,30,11,3.6,1.8,131,2,4.07,.49,2016-08-21 19:00
忠明,臺中市,42,,良好,1.6,0.27,23,31,14,9.8,2,345,3,11.66,1.89,2016-08-21 19:00
松山,臺北市,39,,良好,7.3,0.31,15,27,11,18,2.2,51,2,21.69,3.79,2016-08-21 19:00
板橋,新北市,37,,良好,6,0.52,13,26,9,22,2.5,81,2,27.64,5.53,2016-08-21 19:00
林口,新北市,47,,良好,3.1,0.26,22,20,14,10,2.9,91,3,12.46,2.37,2016-08-21 19:00
林園,高雄市,35,,良好,1.8,0.12,42,35,28,3.1,2.1,208,2,4.29,1.23,2016-08-21 19:00
花蓮,花蓮縣,36,,良好,1.2,0.29,44,32,17,5.4,1.4,56,2,5.86,.46,2016-08-21 19:00
金門,金門縣,66,懸浮微粒,普通,4,0.27,76,62,25,12,1.8,141,4,12.93,1,2016-08-21 19:00
前金,高雄市,50,,良好,1.7,0.23,36,41,17,5.1,1.9,316,3,5.47,.41,2016-08-21 19:00
前鎮,高雄市,53,懸浮微粒,普通,2.7,0.29,40,46,19,7.5,1.4,277,2,7.9,.42,2016-08-21 19:00
南投,南投縣,52,懸浮微粒,普通,2.8,0.38,32,56,25,,1.2,291,3,,,2016-08-21 19:00
屏東,屏東縣,41,,良好,2.5,0.53,30,48,24,16,2.1,49,,18.04,1.8,2016-08-21 19:00
恆春,屏東縣,23,,良好,0.7,0.08,28,22,4,1.2,3.6,24,1,3.23,2.02,2016-08-21 19:00
美濃,高雄市,38,,良好,1.3,0.27,46,20,13,6.1,0.7,39,2,6.18,.09,2016-08-21 19:00
苗栗,苗栗縣,50,,良好,5.5,0.28,29,62,26,22,1.5,37,2,26.76,4.29,2016-08-21 19:00
埔里,南投縣,46,,良好,2.4,0.3,43,56,31,9.5,1.9,314,3,10.25,.74,2016-08-21 19:00
桃園,桃園市,39,,良好,8.3,0.52,16,28,8,20,1.9,80,2,22.88,2.97,2016-08-21 19:00
馬公,澎湖縣,39,,良好,1.6,0.17,40,41,22,3.9,1.2,326,2,5.57,1.66,2016-08-21 19:00
馬祖,連江縣,46,,良好,2.1,0.19,40,44,23,,1.1,51,2,,,2016-08-21 19:00
基隆,基隆市,23,,良好,1.6,0.18,28,16,13,4.6,2.4,90,2,6.42,1.85,2016-08-21 19:00
崙背,雲林縣,41,,良好,1.5,0.15,31,45,24,3.5,1.9,316,2,4.09,.55,2016-08-21 19:00
淡水,新北市,31,,良好,3.2,0.15,20,19,14,4.6,,,2,5.67,1.1,2016-08-21 19:00
麥寮,雲林縣,56,懸浮微粒,普通,3.5,0.18,24,58,15,4.5,1.2,306,2,6.04,1.56,2016-08-21 19:00
善化,臺南市,34,,良好,1.6,0.17,30,28,14,3.9,1.4,303,2,4.97,1.07,2016-08-21 19:00
復興,高雄市,43,,良好,3.4,0.4,40,35,16,12,0.6,210,2,12.64,.45,2016-08-21 19:00
湖口,新竹縣,45,,良好,3.8,0.23,43,50,27,4.5,1,37,3,5.18,.72,2016-08-21 19:00
菜寮,新北市,32,,良好,4.4,0.46,15,22,13,18,2.8,93,2,19.97,2.01,2016-08-21 19:00
陽明,臺北市,20,,良好,1.7,0.09,24,3,2,1.5,,,1,2.23,.77,2016-08-21 19:00
新竹,新竹市,46,,良好,2,0.32,39,46,23,8.7,1.7,46,2,9.66,.99,2016-08-21 19:00
新店,新北市,34,,良好,1.3,0.24,24,19,11,8.4,2.9,123,2,10.22,1.85,2016-08-21 19:00
新莊,新北市,39,,良好,7.8,0.42,17,29,7,17,3.8,70,2,18.79,1.81,2016-08-21 19:00
新港,嘉義縣,43,,良好,2,0.14,20,37,19,2.7,1.4,310,2,3.9,1.19,2016-08-21 19:00
新營,臺南市,41,,良好,1.7,0.26,20,36,18,7.2,1.8,91,2,8.04,.83,2016-08-21 19:00
楠梓,高雄市,55,懸浮微粒,普通,5.1,0.33,15,56,23,16,1.7,76,2,19.1,2.64,2016-08-21 19:00
萬里,新北市,43,,良好,3.8,0.16,28,36,11,10,1.9,134,2,12.08,1.88,2016-08-21 19:00
萬華,臺北市,39,,良好,7.4,0.42,8.8,27,25,25,2.4,94,3,34.22,8.89,2016-08-21 19:00
嘉義,嘉義市,44,,良好,2.7,0.31,25,31,21,7.9,1,85,2,9.02,1.16,2016-08-21 19:00
彰化,彰化縣,48,,良好,1.6,0.34,24,54,34,9.3,2.9,329,3,9.32,.07,2016-08-21 19:00
臺西,雲林縣,33,,良好,9.6,0.15,18,32,17,14,2.7,33,2,19.79,5.86,2016-08-21 19:00
臺東,臺東縣,19,,良好,1.1,0.33,20,22,7,8.5,1.4,23,1,12.45,3.92,2016-08-21 19:00
臺南,臺南市,36,,良好,1.6,0.2,19,30,19,6.1,1.7,323,2,8.12,2.04,2016-08-21 19:00
鳳山,高雄市,54,懸浮微粒,普通,2.5,0.45,46,42,22,9.1,1.7,12,2,9.85,.74,2016-08-21 19:00
潮州,屏東縣,52,懸浮微粒,普通,2.3,0.24,42,47,30,,2,100,3,,,2016-08-21 19:00
線西,彰化縣,45,,良好,1.4,0.15,32,47,25,1.5,2.9,89,2,2.23,.73,2016-08-21 19:00
橋頭,高雄市,41,,良好,6.2,0.34,13,34,12,16,2.1,85,2,20.01,3.56,2016-08-21 19:00
頭份,苗栗縣,49,,良好,1.9,0.31,48,56,24,7,2,340,2,8,1.06,2016-08-21 19:00
龍潭,桃園市,49,,良好,8.8,0.53,22,51,27,24,2.5,67,3,26.16,2.05,2016-08-21 19:00
豐原,臺中市,46,,良好,3,0.21,37,48,30,5.5,1.3,82,3,6.06,.6,2016-08-21 19:00
關山,臺東縣,19,,良好,1.3,,23,19,6,3.2,1.1,189,1,4.12,.9,2016-08-21 19:00
觀音,桃園市,48,,良好,5.3,0.18,24,43,18,8.4,2.5,57,2,8.82,.46,2016-08-21 19:00
