"lineid","car","time","location","longitude","latitude"
"249002","305-UY","2016/12/30 16:38:18","新北市八里區博物館路23號","121.41448","25.1631066666667"
"244007","080-UY","2016/12/30 16:38:15","新北市林口區粉寮69號","121.405118333333","25.090815"
"231046","110-UY","2016/12/30 16:38:39","新北市新店區灣潭路82號","121.538148333333","24.94137"
"241011","013-R5","2016/12/30 16:38:40","新北市三重區秀江街207號","121.497568333333","25.071795"
"241028","022-UY","2016/12/30 16:38:29","新北市三重區中正南路50號","121.493938333333","25.05987"
"241008","059-VK","2016/12/30 16:38:23","新北市三重區永安北路一段31號","121.476683333333","25.0758833333333"
"241009","060-VK","2016/12/30 16:38:37","新北市三重區三和路四段203巷84號","121.48394","25.0799816666667"
"241031","061-VK","2016/12/30 16:38:23","新北市三重區重新路四段41巷4號","121.487818333333","25.057705"
"241017","063-VK","2016/12/30 16:38:21","新北市三重區中正北路25巷17號","121.493011666667","25.062455"
"241024","065-VK","2016/12/30 16:38:32","新北市三重區中正北路315巷6弄70號","121.476583333333","25.072575"
"241026","066-VK","2016/12/30 16:38:37","新北市三重區中央南路62-1號","121.501551666667","25.0614616666667"
"241002","090-VK","2016/12/30 16:38:24","新北市三重區五華街55巷69號","121.49603","25.082385"
"241007","156-TC","2016/12/30 16:38:27","新北市三重區三和路四段167巷98號","121.485675","25.079595"
"241005","262-UM","2016/12/30 16:38:26","新北市三重區仁華街107號","121.486266666667","25.0830516666667"
"241016","266-UM","2016/12/30 16:38:37","新北市三重區自強路一段160巷3弄17號","121.494756666667","25.0655283333333"
"241022","267-UM","2016/12/30 16:38:30","新北市三重區新北大道一段100巷16號","121.485438333333","25.0621"
"241018","268-UM","2016/12/30 16:38:28","新北市三重區正義北路338巷27號","121.49366","25.070535"
"241032","269-UM","2016/12/30 16:38:28","新北市三重區新北大道一段93號","121.48456","25.0613633333333"
"241013","270-UM","2016/12/30 16:38:33","新北市三重區三和路三段101巷24號","121.495013333333","25.0727166666667"
"241025","271-UM","2016/12/30 16:38:20","新北市三重區中正北路428巷17號","121.474538333333","25.0699616666667"
"241006","398-BY","2016/12/30 16:38:34","新北市三重區車路頭街134號","121.484003333333","25.0755116666667"
"241020","413-TH","2016/12/30 16:38:37","新北市三重區後竹圍街205巷17號","121.484868333333","25.0720516666667"
"241004","475-VK","2016/12/30 16:38:39","新北市三重區五福街10號","121.492983333333","25.0816333333333"
"241019","478-VK","2016/12/30 16:38:32","新北市三重區安慶街295號","121.488758333333","25.0673083333333"
"241030","480-VK","2016/12/30 16:38:35","新北市三重區成功路50巷37號","121.488168333333","25.0496083333333"
