更新日期：2016/10/17
項次,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,,
檢驗項目,自由有效餘氯(Free Chlorine Residual),濁度(Turbidity),色度(Color),臭度(Odor),總鹼度(Total Alkalinity),pH值(pH ),氯鹽(Chloride),硫酸鹽(Sulfate),氨氮(Ammonia),亞硝酸鹽氮(Nitrite),硝酸鹽氮(Nitrate),總溶解固體量(Total Dissolved Solids),氟鹽(Fluoride),總硬度(Total Hardness),鐵(Iron),錳(Manganese),總菌落數(Total Bacterial Count),大腸桿菌群(Coliform Group),總三鹵甲烷(Total Trihalomethanes),鉛(Lead),硒(Selenium),砷(Arsenic),汞(Mercury),鋅(Zinc),銀(Silver),銅(Copper),鉻(Chromium),鎳(Nickel),鎘(Cadmium),鋇(Barium),銻(Antimony),陰離子界面活性劑(Anionic Surfactants),靈丹(Lindane),安殺番(Endosulfan),巴拉刈(Paraquat),大利松(Diazinon),巴拉松(Parathion),一品松(EPN),氰鹽(Cyanate),酚(Phenols),達馬松(Methamidophos),丁基拉草(Butachlor),2，4-地(2，4-D),納乃得(Methomyl),滅必蝨(MIPC(Isoprocarb)),加保扶(Carbofuran),亞素靈(Monocrotophos),鋁(Aluminium),溴酸鹽(Bromate),水質合格否(Y/N),
飲用水水質標準,0.2-1.0,2,5,3,－－,6.0-8.5,250,250,0.1,0.1,10.0,500,0.8,300,0.3,0.05,100,6,0.08,0.01,0.01,0.01,0.002,5.0,0.05,1.0,0.05,0.1,0.005,2.0,0.01,0.5,0.0002,0.003,0.01,0.005,0.02,0.005,0.05,0.001,0.02,0.02,0.07,0.01,0.02,0.02,0.003,0.3,0.01,－－,
單位,mg/L,NTU,鉑鈷單位,初嗅數,mg/L,－－,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,CFU/mL,CFU/100mL,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,－－,
="新山淨水場(Sinshan)基隆市麥金路720號",="0.78",="0.50",="<5",="<1",="45.3",="7.0",="22.5",="21.8",="ND",="ND",="1.56",="161",="0.04",="58.3",="0.02",="ND",="<1",="<1",="0.00860",="0.00062",="ND",="ND",="ND",="0.00265",="ND",="0.00093",="0.00078",="ND",="ND",="0.0215",="0.00009",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.0964",="ND",="Y",
="貢寮淨水場(Gongliau)新北市貢寮區下雙溪街20號",="0.71",="0.45",="<5",="<1",="28.4",="7.2",="17.0",="9.2",="ND",="ND",="0.58",="92.2",="0.03",="32.6",="0.06",="ND",="<1",="<1",="0.0171",="0.00299",="ND",="0.00034",="ND",="0.00273",="0.00003",="0.00069",="0.00145",="ND",="ND",="0.0347",="0.00004",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.119",="ND",="Y",
="板新淨水場(Bansin)新北市三峽區中山路551號",="0.73",="0.20",="<5",="<1",="51.6",="7.3",="9.4",="27.4",="0.03",="ND",="0.78",="143",="0.07",="76.7",="ND",="ND",="<1",="<1",="0.00956",="ND",="0.00098",="0.00026",="ND",="0.00629",="ND",="0.00057",="ND",="ND",="0.00012",="0.0133",="0.00023",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.0803",="ND",="Y",
="員山淨水場(Yuanshan)新北市瑞芳區員山路19-1號",="0.65",="0.40",="<5",="<1",="39.6",="7.6",="14.2",="18.3",="ND",="ND",="0.91",="119",="0.04",="46.5",="0.02",="ND",="<1",="<1",="0.0160",="0.00105",="ND",="0.00045",="ND",="0.00182",="ND",="0.00070",="0.00078",="ND",="ND",="0.0169",="0.00003",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.0929",="ND",="Y",
="平鎮淨水場(Pingjen)桃園市平鎮區南豐路267號",="0.67",="0.45",="<5",="<1",="62.2",="7.7",="2.7",="34.8",="ND",="ND",="0.37",="116",="0.08",="98.1",="0.06",="ND",="<1",="<1",="0.00379",="ND",="0.00030",="0.00068",="ND",="0.00136",="ND",="0.00063",="0.00082",="ND",="ND",="0.00746",="0.00022",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.115",="ND",="Y",
="大湳淨水場(Danan)桃園市桃園區國際路一段485巷101號",="0.66",="0.40",="<5",="<1",="72.5",="7.5",="6.0",="31.9",="ND",="ND",="0.48",="152",="0.09",="98.4",="0.06",="ND",="<1",="<1",="0.00531",="ND",="0.00021",="0.00063",="ND",="0.00081",="ND",="ND",="0.00059",="ND",="ND",="0.00854",="0.00023",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.00008",="ND",="ND",="ND",="ND",="ND",="0.115",="ND",="Y",
="石門淨水場(Shihmen)桃園市平鎮區水廠路150號",="0.69",="0.35",="<5",="<1",="69.1",="7.7",="3.5",="34.0",="ND",="ND",="0.44",="117",="0.08",="98.6",="0.05",="ND",="<1",="<1",="0.00641",="ND",="0.00020",="0.00067",="ND",="ND",="ND",="ND",="0.00094",="ND",="ND",="0.00657",="0.00017",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.0938",="ND",="Y",
="龍潭淨水場(Longtan)桃園市龍潭區佳安村文化路209號",="0.70",="0.80",="<5",="<1",="71.7",="7.6",="3.3",="33.8",="0.02",="ND",="1.09",="132",="0.10",="93.1",="0.04",="ND",="<1",="<1",="0.00753",="0.00051",="0.00031",="0.00094",="ND",="0.00072",="ND",="0.00036",="0.00094",="ND",="ND",="0.00896",="0.00019",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.134",="ND",="Y",
="新竹第一淨水場(Hsinchu First)新竹市博愛街1號",="0.67",="0.15",="<5",="<1",="111",="7.6",="8.0",="46.2",="0.03",="<0.01",="1.22",="225",="0.14",="153",="0.02",="ND",="1",="<1",="0.00809",="ND",="ND",="0.00033",="ND",="ND",="ND",="0.00120",="ND",="ND",="0.00013",="0.0186",="0.00020",="0.03",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.125",="ND",="Y",
