SiteName,County,PSI,MajorPollutant,Status,SO2,CO,O3,PM10,PM2.5,NO2,WindSpeed,WindDirec,FPMI,NOx,NO,PublishTime
二林,彰化縣,58,懸浮微粒,普通,3.3,0.19,31,71,34,4.4,0.6,289,3,6.01,1.6,2016-08-26 01:00
三重,新北市,41,,良好,1.9,0.52,,36,10,24,,,2,53.09,28.71,2016-08-26 01:00
三義,苗栗縣,54,懸浮微粒,普通,1.7,0.34,22,54,35,9.3,0.5,174,3,10.46,1.12,2016-08-26 01:00
土城,新北市,38,,良好,5.7,0.54,2,42,18,26,1.2,174,2,40.36,14.17,2016-08-26 01:00
士林,臺北市,28,,良好,2.8,0.39,16,26,16,15,1.6,122,2,16.79,1.96,2016-08-26 01:00
大同,臺北市,41,,良好,2.7,0.39,,37,16,12,,,2,18.16,5.73,2016-08-26 01:00
大里,臺中市,69,懸浮微粒,普通,2.7,0.58,25,90,48,12,0.6,110,5,13.33,.94,2016-08-26 01:00
大園,桃園市,38,,良好,5.5,0.19,14,37,19,26,0.7,87,2,30.03,4.43,2016-08-26 01:00
大寮,高雄市,0,,,1.8,0.12,20,17,7,4.8,1,222,,7.77,2.98,2016-08-17 10:00
小港,高雄市,42,,良好,11,0.18,43,37,25,13,1.8,251,2,15.65,2.31,2016-08-26 01:00
中山,臺北市,28,,良好,2,0.36,18,19,,15,1.8,333,,18.77,3.45,2016-08-26 01:00
中壢,桃園市,50,,良好,7,0.51,3.8,50,23,34,0.5,18,2,41.05,6.91,2016-08-26 01:00
仁武,高雄市,52,懸浮微粒,普通,4.3,0.27,47,54,29,9.2,0.7,295,3,10.52,1.3,2016-08-26 01:00
斗六,雲林縣,57,懸浮微粒,普通,3.6,0.29,35,61,40,6.2,0.7,145,5,5.71,-.46,2016-08-26 01:00
冬山,宜蘭縣,30,,良好,1.9,0.19,17,31,2,7.9,1,241,1,8.91,1.01,2016-08-26 01:00
