"lineid","car","time","location"
"236054","AAC-216","2016/08/12 15:47:14","新北市土城區中央路一段45巷2弄3號附近"
"236019","401-BY","2016/08/12 15:47:07","新北市土城區延吉街165巷5號附近"
"220029","287-VK","2016/08/12 15:47:21","新北市土城區台65附近"
"236067","105-UM","2016/08/12 15:47:19","新北市土城區亞洲路59號附近"
"236046","913-UM","2016/08/12 15:47:23","新北市土城區清水路257號附近"
"236013","270-VK","2016/08/12 15:47:10","新北市板橋區四川路二段245巷95號附近"
"220013","072-UY","2016/08/12 15:26:31","新北市板橋區八里新店快速公路附近"
"220019","303-R5","2016/08/12 15:25:23","新北市板橋區民生路一段87號附近"
"236025","269-VK","2016/08/12 15:47:10","新北市土城區裕生路83巷29弄5號附近"
"236077","166-UM","2016/08/12 15:47:07","新北市土城區德安街12號附近"
"236057","912-UM","2016/08/12 15:47:12","新北市土城區中央路一段128號附近"
