"lineid","car","time","location"
"220039","288-VK","2016/08/12 14:07:33","新北市板橋區四維路291巷4弄1號附近"
"236054","AAC-216","2016/08/12 14:08:18","新北市土城區中華路二段92號附近"
"236019","401-BY","2016/08/12 14:08:08","新北市土城區明德路一段183號附近"
"220031","286-VK","2016/08/12 14:08:26","新北市板橋區龍興街97巷5號附近"
"236061","915-UM","2016/08/12 14:08:18","新北市土城區中華路二段2號附近"
"220029","287-VK","2016/08/12 14:08:10","新北市板橋區南雅西路二段156巷1號附近"
"220050","245-BX","2016/08/12 14:06:08","新北市板橋區八里新店快速公路附近"
"220038","487-VK","2016/08/12 14:08:10","新北市板橋區文化路二段543號附近"
"236067","105-UM","2016/08/12 14:08:25","新北市土城區金城路二段23-1號附近"
"220001","285-VK","2016/08/12 14:08:23","新北市板橋區懷仁街35巷1號附近"
"220032","209-TC","2016/08/12 14:08:12","新北市板橋區篤行路二段88號附近"
"220045","831-TW","2016/08/12 14:08:11","新北市板橋區大同街7號附近"
"220043","283-UM","2016/08/12 14:08:20","新北市板橋區光武街127巷1號附近"
"220105","075-UY","2016/08/12 14:08:12","新北市板橋區雙十路三段10巷10號附近"
"220017","258-TC","2016/08/12 14:08:20","新北市板橋區華興街91巷4號附近"
"220014","829-TW","2016/08/12 14:08:20","新北市板橋區民生路一段32號附近"
"236046","913-UM","2016/08/12 14:08:14","新北市土城區明德路一段398號附近"
"236029","253-BX","2016/08/12 14:07:31","新北市土城區城林路6巷80號附近"
"236035","271-VK","2016/08/12 14:08:17","新北市土城區中正路82-1號附近"
"236013","270-VK","2016/08/12 14:08:23","新北市土城區學府路一段195號附近"
"220016","013-TV","2016/08/12 14:08:09","新北市板橋區翠華街6巷55號附近"
"220037","145-RM","2016/08/12 13:58:29","新北市板橋區莊敬路40號附近"
"220003","827-TW","2016/08/12 14:08:11","新北市板橋區新民街6巷3號附近"
"220013","072-UY","2016/08/12 14:08:22","新北市板橋區民族路247巷3弄2號附近"
"220030","806-UM","2016/08/12 14:08:29","新北市板橋區溪北路54號附近"
"220028","200-UY","2016/08/12 13:54:12","新北市板橋區大觀路二段375巷13號附近"
"220034","073-UY","2016/08/12 14:08:25","新北市板橋區中正路216巷63號附近"
"220009","293-UM","2016/08/12 14:08:26","新北市板橋區三民路二段21巷8號附近"
"236041","107-UM","2016/08/12 14:08:26","新北市土城區裕生路61號附近"
"220051","830-TW","2016/08/12 14:08:03","新北市板橋區田單街49巷1弄1號附近"
"220022","895-R6","2016/08/12 14:08:10","新北市板橋區林園街58號附近"
"220019","303-R5","2016/08/12 14:08:15","新北市板橋區重慶路223巷13號附近"
"236025","269-VK","2016/08/12 14:08:19","新北市土城區國道三號41.7K附近"
"236077","166-UM","2016/08/12 14:08:16","新北市土城區永寧路18號附近"
"236057","912-UM","2016/08/12 14:08:24","新北市土城區中央路四段46號附近"
"220002","741-BX","2016/08/12 14:08:21","新北市板橋區重慶路93巷45號附近"
"220041","307-R5","2016/08/12 14:08:16","新北市板橋區文化路一段435巷31弄20號附近(基地台定位)"
"220036","146-RM","2016/08/12 14:08:10","新北市板橋區文化路二段28號附近"
"220027","145-BY","2016/08/12 13:58:14","新北市板橋區民權路202巷9弄20號附近"
"220004","276-BY","2016/08/12 14:08:14","新北市板橋區信義路74巷1弄14號附近"
"220040","637-BX","2016/08/12 14:08:21","新北市板橋區縣民大道三段209號附近"
"220023","297-UM","2016/08/12 14:07:14","新北市板橋區大智街71巷3弄3號附近"
"220047","317-R6","2016/08/12 14:08:13","新北市板橋區四維路103巷12號附近"
"220011","609-BX","2016/08/12 14:07:55","新北市板橋區三民路二段33號附近"
"220052","561-BX","2016/08/12 14:08:22","新北市板橋區介壽街84巷50號附近"
"220020","461-BY","2016/08/12 13:56:30","新北市板橋區大觀路三段18號附近"
"220046","AAC-210","2016/08/12 14:08:12","新北市板橋區英士路76號附近"
"220018","AAC-253","2016/08/12 14:08:01","新北市板橋區四川路一段467號附近"
"220104","560-BX","2016/08/12 14:08:17","新北市板橋區中正路332號附近"
"220021","985-R7","2016/08/12 14:08:11","新北市板橋區中正路170號附近"
"220042","689-BX","2016/08/12 14:08:20","新北市板橋區民生路三段95號附近"
"220025","687-BX","2016/08/12 14:07:33","新北市板橋區大觀路二段175號附近"
"220010","305-R5","2016/08/12 14:08:21","新北市板橋區三民路二段居仁巷2號附近"
"220005","686-BX","2016/08/12 14:08:19","新北市板橋區重慶路153號附近"
