"lineid","car","time","location"
"238022","312-TH","2016/08/12 17:17:27","新北市樹林區環河路2-2號附近"
"238015","755-BX","2016/08/12 17:17:27","新北市樹林區中山路三段125-5號附近"
"238021","311-TH","2016/08/12 17:17:22","新北市樹林區西圳街165巷20弄26號附近"
"238014","282-BY","2016/08/12 17:17:18","新北市樹林區中山路三段125-10號附近"
"238025","303-VK","2016/08/12 17:16:59","新北市樹林區東佳路8-2號附近"
"238018","571-TV","2016/08/12 17:17:29","新北市樹林區水源街27號附近"
"220013","072-UY","2016/08/12 15:26:31","新北市板橋區八里新店快速公路附近"
"238024","5061-A6","2016/08/12 17:17:28","新北市樹林區中山路二段161號附近"
"220019","303-R5","2016/08/12 15:25:23","新北市板橋區民生路一段87號附近"
"238020","268-VK","2016/08/12 17:17:30","新北市樹林區光武街52號附近"
"238026","172-UY","2016/08/12 17:16:54","新北市樹林區八德街368號附近"
"238019","599-UM","2016/08/12 17:17:28","新北市樹林區太平路247巷28號附近"
"238017","283-BY","2016/08/12 17:17:18","新北市樹林區中山路三段125-9號附近"
"236077","166-UM","2016/08/12 16:01:14","新北市土城區城林路6巷80號附近"
"238023","601-UM","2016/08/12 17:17:12","新北市樹林區中山路二段209號附近"
"238016","169-UY","2016/08/12 17:17:12","新北市樹林區八德街1號附近"
