"序號","統一編號","公司名稱","公司所在地","代表人","資本額","核准設立日期"
"1","24802705","富崐冷凍倉儲股份有限公司","臺中市南屯區工業區二十路39之1號2樓","曾文耀","508620000","1041202"
"2","24802711","英屬維京群島商博創有限公司","臺北市士林區中山北路7段77號14樓","林蓉芬","0","1041203"
"3","24802769","英屬維京群島商班諾有限公司","臺北市信義區松隆路102號16樓之1","李美惠","0","1041130"
"4","24802796","馬來西亞商普捷工程管理有限公司","臺北市中山區長春路378號6樓","何翠萍","0","1041130"
"5","24802803","薩摩亞商台灣游惠寶網路股份有限公司","臺北市中山區合江街73巷37號1樓","陳思維","5000000","1041130"
"6","24802819","英屬維京群島商庚靚有限公司","新北市新店區民權路95號8樓","王晨妤","500000","1041201"
"7","24802830","基鉅營造有限公司","金門縣金城鎮珠浦西路50巷3弄5號","陳銘錫","3000000","1041201"
"8","24802867","英屬開曼群島商現觀股份有限公司","臺北市中正區羅斯福路2段100號19樓之1","邱大剛","1000000","1041201"
"9","24802873","香港商銀貿顧問國際有限公司","高雄市苓雅區福東里15鄰三多一路95巷1弄4號5樓","韋達雅","0","1041201"
"10","24802923","馬紹爾群島商東佾陽興業股份有限公司","彰化縣彰化市大埔路2巷101-8號","姚麗娟","0","1041202"
"11","24802959","塞席爾商美房顧問股份有限公司","臺北市大安區信義路4段6號6樓","周珮祺","3000000","1041202"
"12","24802965","賽普勒斯商馬迪克科技股份有限公司","臺北市信義區基隆路1段333號24樓","畢摩西","300000","1041221"
"13","24802971","貝里斯商保瀚國際數位行銷有限公司","臺北市內湖區西湖里瑞光路588號5樓","林文君","5000000","1041202"
"14","24802992","焱元投資股份有限公司","臺北市大安區敦化南路2段105號9樓","林文伯","1440000000","1041203"
"15","24803009","香港商大朝金合投資控股有限公司","臺中市西區華美西街1段137號11樓之1","巴特瑞","0","1041203"
"16","24803015","鼎珩工程有限公司","金門縣金城鎮東門里金山路2巷3弄3號","楊凱仲","3000000","1041211"
"17","24803042","塞席爾商貝索生物技術股份有限公司","新北市土城區中華路1段56巷23號","吳美荷","10000000","1041203"
"18","24803057","日商新宅股份有限公司","臺北市中山區長安東路2段178之5號4樓之3","吉田裕二","0","1041203"
"19","24803129","貝里斯商振嵄建設股份有限公司","高雄市前鎮區中華五路768號","翁國振","1000000","1041204"
"20","24803134","香港商卡拓雅品牌策劃有限公司","臺北市內湖區瑞光路70號3樓","劉秋分","6350000","1041207"
"21","24803155","英屬安圭拉商樂走走股份有限公司","臺北市大安區敦化南路2段38號6樓","官欣怡","6000000","1041207"
"22","24803161","英屬維京群島商榮耀全球股份有限公司","臺北市大安區義村里忠孝東路3段158號","鄭郭秀美","3000000","1041207"
"23","24803177","香港商育展有限公司","彰化縣彰化市興北里15鄰三民路297巷29弄4號6樓","吳家逸","148000000","1041209"
"24","24803182","英屬維京群島商新星國際有限公司","彰化縣大村鄉過溝村過溝三巷1-10號","陳敏雄","0","1041207"
"25","24803198","英屬維京群島商原力精工有限公司","新北市汐止區新台五路1段99號13樓之2","洪紹剛","5000000","1041207"
"26","24803205","日商雅滋養股份有限公司","臺北市松山區民生東路3段156號14樓","伊藤幸子","2000000","1041207"
"27","24803211","英屬維京群島商唯一全球股份有限公司","臺北市大安區群賢里敦化南路2段98號23樓","林淑娟","3000000","1041207"
"28","24803227","日商贔世國際股份有限公司","臺北市大安區忠孝東路4段107號12樓之3","久保公利","1000000","1041207"
"29","24803232","香港商浩德國際發展有限公司","臺中市西屯區福安里安和路168號4樓之2","謝明輝","1000000","1041209"
"30","24803248","香港商得利國際發展有限公司","臺中市西屯區福安里安和路168號4樓之2","謝明輝","1000000","1041209"
"31","24803253","薩摩亞商力博有限公司","臺北市中正區思源街1號","何旻娟","3000000","1041208"
