區域,量測點,平均下載速率註,平均上傳速率註,階段
樹林區,樹林花園夜市,4.64,0.84,一
雙溪區,三忠廟廟口,2.53,1.08,一
雙溪區,牡丹火車站大廳,6.74,1.48,一
雙溪區,雙溪老街火車站前,6.11,1.16,一
蘆洲區,蘆洲徐匯廣場美食街,11.77,1.55,一
蘆洲區,蘆洲李氏古厝大門口,6.2,1.52,一
蘆洲區,蘆洲佳瑪百貨大門口,6.5,1.58,一
鶯歌區,新北市立,3.47,1.23,一
,鶯歌博物館入口處,,,
鶯歌區,鶯歌火車站大廳,4.37,1.29,一
鶯歌區,鶯歌陶瓷老街-尖山埔路,5.38,1.48,一
新竹市,,,,
北區,新竹文化中心大門,5.45,1.41,一
北區,新竹市政府大廳,6.72,1.28,一
北區,新竹文化中心大廳,5.75,1.39,一
北區,新竹城隍廟口,5.75,1.36,一
北區,影像博物館門口,3.52,1.19,一
北區,大潤發入口,3.63,1.1,一
東區,新竹世博館大門,8.59,1.48,一
東區,馬偕醫院掛號處,4.99,1.34,一
東區,新竹圓環,4.1,1.26,一
東區,新竹Costco門口,3.18,1.35,一
香山區,香山火車站大廳,6.58,1.47,一
香山區,港南風景區門口,11.3,1.46,一
香山區,青青草原櫻花大道入口,7.89,1.29,一
香山區,漁池餐廳大門,1.47,1.05,一
香山區,綠鏡咖啡館,4.56,0.87,一
苗栗縣,,,,
三義鄉,勝興火車站大廳,5.18,1.46,一
三義鄉,龍騰斷橋,7.77,1.33,一
三義鄉,鯉魚潭水庫,3.57,1.06,一
三灣鄉,三灣鄉公所,5.92,1.46,一
三灣鄉,月眉吊橋,3.98,1.31,一
三灣鄉,永和山褒忠祠前廣場,4.95,0.83,一
大湖鄉,大湖鄉公所,5.33,1.27,一
大湖鄉,大湖酒莊,7.28,1.27,一
大湖鄉,薑麻園觀光農園,1.78,1.01,一
公館鄉,公館鄉公所大門口,6.44,1.17,一
公館鄉,公館夜市,4.47,1.31,一
公館鄉,公館陶廠,7.1,1.37,一
竹南鎮,竹南火車站,2.87,1.1,一
竹南鎮,苗北藝文中心,4.82,1.36,一
竹南鎮,竹南龍鳳宮廟前廣場,7.1,1.4,一
西湖鄉,西湖鄉公所大門口,5.33,1.4,一
西湖鄉,西湖三湖活動中心,7.92,1.38,一
西湖鄉,西湖金獅村秘密花園入口處,8.76,1.43,一
卓蘭鎮,卓蘭鎮公所,5.97,1.3,一
卓蘭鎮,巴哈崎休閒農場,2.88,0.97,一
卓蘭鎮,永安喜餅,1.92,1.17,一
南庄鄉,南庄鄉公所,4.16,1.02,一
南庄鄉,南庄老街,4.94,1.43,一
南庄鄉,南庄護魚步道,2.82,1.24,一
後龍鎮,外埔漁港休閒漁業館,4.14,1.1,一
後龍鎮,後龍車站大廳,6.99,1.27,一
後龍鎮,後龍慈雲宮廟前廣場,5.85,1.25,一
苑裡鎮,火炎山遊樂區入口處,12.06,1.46,一
苑裡鎮,苑裡中山路,9.11,1.49,一
,85度C座位區,,,
苑裡鎮,麥當勞室內用餐區,7.91,1.39,一
苗栗市,署立苗栗醫院掛號大廳,7.53,1.37,一
苗栗市,聯合大學大門口,6.99,1.27,一
苗栗市,苗栗家樂福美食街,11.19,1.39,一
泰安鄉,雪見遊憩區,5.63,1.3,一
,(雪霸國家公園),,,
泰安鄉,泰安溫泉,6.6,0.96,一
泰安鄉,清安豆腐街(清水老街),6.98,0.97,一
通霄鎮,光田醫院掛號大廳,4.56,1.1,一
通霄鎮,馬家庄-馬家宗祠,5.89,1.19,一
通霄鎮,通霄精鹽廠大門口,8.36,1.4,一
造橋鄉,造橋鄉公所大門口,5.73,1.15,一
造橋鄉,造橋大西村大西,3.86,1.01,一
,綜合活動中心,,,
造橋鄉,造橋香格里拉樂園,6.8,1.53,一
,售票口,,,
獅潭鄉,獅潭鄉公所大門口,11.26,1.41,一
獅潭鄉,仙山靈洞宮廟前廣場,8.83,1.5,一
獅潭鄉,獅潭吉山,1.69,0.83,一
銅鑼鄉,客家文化園區,2.28,1.01,一
銅鑼鄉,銅鑼鄉公所大門口,6.83,1.36,一
銅鑼鄉,銅鑼自行車步道,2.32,1.35,一
頭份鎮,頭份鎮公所,4.74,1.11,一
頭份鎮,黃昏市場,3.36,1.37,一
頭份鎮,大潤發,4.59,1.36,一
,美食街或賣場入口處,,,
頭屋鄉,頭屋明德水庫,6.9,1.2,一
頭屋鄉,石觀音寺廟前廣場,0.75,1.2,一
頭屋鄉,象山孔廟廟前廣場,7.92,1.36,一
彰化縣,,,,
二水鄉,二水火車站大廳,4.14,1.52,一
二水鄉,八堡圳公園,2.04,0.92,一
二水鄉,大丘園休閒農場大門口,6.61,1.41,一
二林鎮,二林儒林公園,5.1,1.41,一
二林鎮,台灣酒窖聯合服務中心,8.17,1.52,一
二林鎮,統聯客運二林站,6.07,1.5,一
大村鄉,大村火車站大廳,5.96,1.39,一
大村鄉,大葉大學大門口,3.67,1.4,一
大村鄉,雅育休閒農場&葡萄宿入口處,2.48,1.08,一
大城鄉,大城鄉公所門口,3.36,1.1,一
大城鄉,統聯大城站大廳,4.17,0.93,一
大城鄉,大城鄉聖德宮前廣場,3.93,1.27,一
大城鄉,西港公館沙崙鷺鷥區,5.01,1.22,一
大城鄉,興山公園,2.24,1.1,一
北斗鎮,北斗鎮公所大門口,6.38,1.43,一
北斗鎮,北斗河濱公園,3.46,1.49,一
北斗鎮,北斗儀肉圓(文華路),7.99,1.48,一
永靖鄉,永靖火車站月台旁,7.21,1.44,一
永靖鄉,永靖鄉公所大門口,4.87,1.4,一
永靖鄉,永靖85度C中山路上,3.59,1,一
田中鎮,田中火車站大廳,6.34,1.41,一
田中鎮,田中鎮公所大門口,4.51,1.36,一
田中鎮,赤水崎公園大門口,4.14,0.63,一
田尾鄉,田尾鄉公所大門口,5.75,1.39,一
田尾鄉,田尾怡心園大門前廣場,6.54,1.48,一
田尾鄉,田尾花卉批發市場大門口,5.4,0.65,一
竹塘鄉,竹塘鄉公所大門,6.97,1.46,一
竹塘鄉,九龍大榕公,1.43,1.14,一
竹塘鄉,竹塘老街20號,7.82,1.52,一
竹塘鄉,竹塘鄉土庫,3.17,1.38,一
,活動中心大門,,,
竹塘鄉,竹塘慈航宮前廣場,4.59,1.35,一
伸港鄉,伸港鄉公所大門口,7.41,1.46,一
伸港鄉,伸港市場(領鮮超市前),4.26,1.42,一
伸港鄉,福安宮前廣場,6.87,1.52,一
秀水鄉,秀水鄉公所,3.7,1.29,一
秀水鄉,秀水公園,5.79,1.33,一
秀水鄉,益源古厝,6.94,1.48,一
和美鎮,美和鎮公所大門,5.73,1.45,一
和美鎮,和美鎮圖書館大門,5.47,1.46,一
和美鎮,德美公園(和頭路),5.58,1.43,一
社頭鄉,社頭火車站大廳,6.28,1.44,一
社頭鄉,社頭鄉公所大門口,6,1.24,一
社頭鄉,清水岩寺前廣場,6.94,1.45,一
社頭鄉,清水岩遊憩區停車場,2.09,1.16,一
芬園鄉,芬園鄉公所大門口,4.54,1.2,一
芬園鄉,祥光寺前廣場,3.59,1.35,一
芬園鄉,寶藏寺前廣場,2.83,0.87,一
花壇鄉,花壇火車站大廳,3.9,1.43,一
花壇鄉,台灣民俗村售票口,9.78,1.49,一
花壇鄉,花壇鄉虎山巖,4.7,1.28,一
芳苑鄉,王功福海宮前廣場,6.49,1.4,一
芳苑鄉,芳苑工業區服務中心,2.16,0.78,一
,大門口,,,
芳苑鄉,芳苑王功漁港,11.22,1.52,一
員林鎮,員林火車站大廳,3.27,1.13,一
員林鎮,百果山風景區大門口,1.38,1.14,一
員林鎮,興賢書院大門口,10.51,1.46,一
埔心鄉,埔心鄉公所大門口,3.37,1.29,一
埔心鄉,路葡萄隧道休閒農場,3.93,1.33,一
,大門口,,,
埔心鄉,大潤發美食街,7.73,1.17,一
埔鹽鄉,埔鹽鄉公所大門口,6.18,1.16,一
埔鹽鄉,稻香休閒農場大門口,6.4,1.35,一
埔鹽鄉,糯米文化風味坊大門口,3.59,1.47,一
埤頭鄉,埤頭鄉公所大門口,4.91,1.42,一
埤頭鄉,埤頭樂齡學習中心,7.31,1.4,一
,(櫻花步道),,,
埤頭鄉,崙腳村南雲寺前廣場,4.21,1.11,一
鹿港鎮,鹿港鎮南區旅遊中心,6.35,1.58,一
鹿港鎮,鹿港天后宮前廣場,4.66,1.5,一
鹿港鎮,鹿港老街-埔頭街63號,5.84,1.49,一
,(古市街),,,
溪州鄉,西螺大橋,4,1.34,一
,溪州段觀景平台,,,
溪州鄉,苗木園區入口處,3.16,1.35,一
溪州鄉,溪州公園(花博公園),5.35,1.45,一
溪湖鎮,溪湖鎮公所,6.5,1.42,一
溪湖鎮,溪湖糖廠,3.22,1.14,一
溪湖鎮,運動公園,4.12,1.37,一
彰化市,彰化火車站大廳,6.01,1.29,一
彰化市,八卦山遊樂中心售票口,5.65,1.36,一
彰化市,彰化基督教醫院大廳,4.49,1.05,一
福興鄉,福興鄉公所大門,4,0.79,一
福興鄉,福興穀倉,4.66,1.41,一
福興鄉,福興橋,7.18,1.33,一
線西鄉,線西鄉公所大門口,10.99,1.35,一
線西鄉,蛤蜊兵營,4.22,1.24,一
線西鄉,塭仔漁港美食區,3.81,0.96,一
南投縣,,,,
中寮鄉,中寮鄉公所,6.41,1.47,一
中寮鄉,台灣原生種植物公園,6,1.13,一
中寮鄉,巧手工作坊,6.24,1.43,一
仁愛鄉,仁愛青青草原售票處,7.64,1.41,一
仁愛鄉,仁愛清境商場7-11,8.98,1.38,一
仁愛鄉,仁愛廬山老街吊橋前,7.34,1.2,一
水里鄉,水里車站大廳,6.66,1.36,一
水里鄉,水里蛇窯,4.2,1.06,一
水里鄉,義民廟前廣場,4.79,1.27,一
名間鄉,名間麥當勞用餐區,5.76,1.34,一
名間鄉,松柏嶺受天宮前廣場,4.85,0.63,一
名間鄉,松柏嶺遊客中心大門口,5.17,1.44,一
竹山鎮,竹山天梯售票口,2.35,0.7,一
竹山鎮,竹山秀傳醫院大廳,6.31,1.39,一
竹山鎮,竹山紫南宮廟前涼亭,3.49,1.19,一
信義鄉,信義鄉公所大門口,7.92,1.41,一
信義鄉,梅子夢工廠大門,4.4,0.86,一
信義鄉,雙龍文化園區大門口,5.17,1.03,一
南投市,南投中興新村,4.49,1.49,一
南投市,猴探井風景區(天梯),5.61,1.4,一
南投市,中興會堂中興高中,7.54,1.22,一
,交叉路口,,,
埔里鎮,18度C巧克力工坊,5.66,1.41,一
,大門口,,,
埔里鎮,中台禪寺大門口,6.85,0.68,一
埔里鎮,埔里酒廠大廳,6.05,1.25,一
草屯鎮,佑民醫院,4.93,1.16,一
草屯鎮,草屯敦和宮財神廟,4.8,1.44,一
草屯鎮,寶島時代村,5.78,1.39,一
國姓鄉,泰雅渡假村大門口,3.36,1.23,一
國姓鄉,猴洞坑自然保育區,3.5,0.53,一
,鐵橋處,,,
國姓鄉,糯米橋,6.04,0.87,一
魚池鄉,日月潭纜車站,5.86,1.29,一
魚池鄉,向山遊客中心,6.99,1.45,一
魚池鄉,文武廟前廣場,5.74,1.31,一
魚池鄉,玄光寺,4.19,1.13,一
魚池鄉,伊達紹遊客中心,7.3,1.41,一
鹿谷鄉,鹿谷鄉公所大門口,8.34,1.43,一
鹿谷鄉,鹿谷小半天入口處,5.24,1.39,一
鹿谷鄉,鹿谷妖怪村大門口,5,1.41,一
集集鎮,集集火車站大廳,8.82,1.55,一
集集鎮,明新書院大門口,6.79,1.45,一
集集鎮,集集綠色隧道,6.03,1.34,一
雲林縣,,,,
二崙鄉,二崙鄉公所大門口,5.58,1.42,一
二崙鄉,二崙天后宮前廣場,7.12,1.39,一
二崙鄉,二崙故事館大門口,5.76,1.43,一
口湖鄉,口湖鄉公所大門口,5.23,1.42,一
口湖鄉,下崙福安宮廟前廣場,6.09,1.5,一
口湖鄉,湖口溼地-中央廣播電台口湖分台前,5.98,1.3,一
土庫鎮,土庫媽祖廟前廣場,6.28,1.34,一
土庫鎮,土庫鎮公所大門口,3.61,1.22,一
土庫鎮,土庫工商校大門口,4.5,1.36,一
大埤鄉,大埤鄉公所大門口,8.21,1.46,一
大埤鄉,大埤三山國王廟前廣場,3.72,0.92,一
大埤鄉,大埤豐田工業區入口,4.35,1.04,一
元長鄉,元長鄉公所大門,6.8,1.43,一
元長鄉,蔡氏宗祠大門口,6.66,1.03,一
元長鄉,鰲峰宮前廣場,5.81,1.33,一
斗六市,斗六火車站前站,3.67,1.33,一
斗六市,斗六人文公園夜市,4.08,1.18,一
斗六市,家樂福美食街,9.74,1.49,一
斗南鎮,斗南火車站候車處,9.68,1.36,一
斗南鎮,斗南田徑場售票處,3.13,1.08,一
斗南鎮,斗南大潤發美食街,6.73,1.5,一
水林鄉,水林鄉公所大門口,4.64,1.16,一
水林鄉,水林通天府廟前廣場,8.36,1.4,一
水林鄉,蕃薯厝順天宮前廣場,4.69,1.17,一
北港鎮,北港五路財神廟前廣場,4.62,1.38,一
北港鎮,北港圓環,6.28,1.41,一
北港鎮,北港媽祖廟前廣場,8.56,1.4,一
古坑鄉,古坑服務區美食街,4.9,0.9,一
古坑鄉,古坑綠色隧道,9.21,1.45,一
古坑鄉,劍湖山遊樂區大門,8.26,1.48,一
四湖鄉,四湖鄉公所大門口,7.21,1.52,一
四湖鄉,三條崙海水浴場,5.99,1.39,一
四湖鄉,四湖參天宮廟前廣場,8.74,1.47,一
西螺鎮,西螺鎮公所大門口,3.47,1.36,一
西螺鎮,西螺大橋,3.92,1.11,一
西螺鎮,西螺文昌廟前廣場,4.66,1.42,一
東勢鄉,東勢鄉公所大門口,5.47,1.46,一
東勢鄉,東勢珍奇廟廟口,5.72,1.5,一
東勢鄉,東勢鄉鐵馬道,8.18,1.41,一
林內鄉,林內公園入口處日治時期林內神社舊址,6.3,1.43,一
林內鄉,林內坪頂風景區大門,1.36,1.07,一
林內鄉,林北菸樓大門,4.1,1.33,一
虎尾鎮,虎尾科大門口,1.36,0.91,一
虎尾鎮,虎尾麥當勞用餐區,4.65,1.34,一
虎尾鎮,虎尾糖廠大門口,3.5,1.16,一
崙背鄉,日統客運大有站,2.7,0.85,一
,(永安宮前),,,
崙背鄉,崙背鄉公所大門口,4.07,1.32,一
