區域,量測點,平均下載速率註,平均上傳速率註,階段
達仁鄉,阿朗壹部落(安朔國小),10.04,1.33,一
達仁鄉,達仁7-11,8.56,1.39,一
綠島鄉,柴口浮潛區,5.6,1.11,一
綠島鄉,海參坪景觀區,6.65,1.4,一
綠島鄉,朝日溫泉售票口,4.78,1.44,一
臺東市,史前博物館售票口,4.71,1.11,一
臺東市,海濱公園停車場,5.16,1.34,一
臺東市,黑森林公園入口處,5.89,1.34,一
關山鎮,關山火車站大廳,6.66,1.46,一
關山鎮,關山農會,4.42,1.37,一
,休閒旅遊中心,,,
關山鎮,關山親水公園售票口,6.54,1.45,一
蘭嶼鄉,蘭嶼機場大廳,5.91,1.46,一
蘭嶼鄉,蘭嶼別館大門口,6.34,1.32,一
蘭嶼鄉,蘭嶼高中大門口,2.46,0.7,一
花蓮縣,,,,
玉里鎮,玉里火車站大廳,4.63,1.21,一
玉里鎮,玉里醫院大廳,4.41,0.65,一
玉里鎮,高寮部落高寮國小,5.23,1.12,一
,大門口,,,
光復鄉,大農大富平地森林園區大門口,8.28,1.29,一
光復鄉,光復糖廠大門口,4.91,1.15,一
光復鄉,馬太鞍部落欣綠農園,3.11,0.77,一
吉安鄉,吉安火車站大廳,5.73,1.4,一
吉安鄉,阿美文物館入口處,7.7,1.44,一
吉安鄉,慶修院售票口,7.96,1.4,一
秀林鄉,太魯閣國家公園管理處大門口,4.32,1.35,一
秀林鄉,砂卡礑步道停車場,7.43,1.46,一
秀林鄉,慕谷慕魚生態,3.51,0.68,一
,廊道入口處,,,
卓溪鄉,卓溪鄉公所大門口,5.35,1.08,一
卓溪鄉,玉山國家公園南安遊客中心大廳,9.03,1.22,一
卓溪鄉,南安瀑布入口處,3.01,0.68,一
花蓮市,花蓮火車站大廳,4.11,1.32,一
花蓮市,松園別館園區內咖啡屋,6.64,1.47,一
花蓮市,美崙飯店大廳,3.97,1.1,一
富里鄉,富里鄉公所大門口,5.16,1.19,一
富里鄉,羅山瀑布入口處,3.66,0.97,一
富里鄉,六十石山忘憂亭,9.95,1.47,一
新城鄉,新城鄉公所大門,6.69,1.46,一
新城鄉,東洋藝品館大門口,2.24,1.02,一
新城鄉,新城公園日本神社舊址入口處,6.55,1.38,一
瑞穗鄉,秀姑巒溪泛舟,6.84,1.36,一
,遊客中心大門口,,,
瑞穗鄉,北回歸線,6.27,1.23,一
瑞穗鄉,富源蝴蝶谷入口處,5.51,1.09,一
萬榮鄉,林田山文化園區入口處,1.21,0.22,一
萬榮鄉,紅葉內溫泉紅葉溫泉旅社門口,9.23,1.49,一
萬榮鄉,原住民文物館入口處,5.7,1.26,一
壽豐鄉,壽豐火車站大廳,7.44,1.44,一
壽豐鄉,立川漁場,2.75,1.03,一
壽豐鄉,鯉魚潭遊憩區,5.36,1.05,一
鳳林鎮,鳳林火車站大廳,3.9,1.39,一
鳳林鎮,兆豐農場遊憩區,6.15,1.43,一
,入口處,,,
鳳林鎮,鳳林滿妹豬腳,8.2,1.22,一
豐濱鄉,月洞遊憩區入口處,2.97,0.47,一
豐濱鄉,石梯坪,6.42,0.81,一
豐濱鄉,芭崎瞭望台,5.67,1,一
澎湖縣,,,,
七美鄉,七美航空站大廳,6.83,1.25,一
七美鄉,七美渡船頭,4.56,1.31,一
七美鄉,七美鄉公所大門口,6.06,1.34,一
七美鄉,雙心石滬,5.65,1.31,一
白沙鄉,跨海大橋北側橋頭,7.85,1.39,一
白沙鄉,北海遊客中心大廳,3.83,0.69,一
白沙鄉,澎湖水族館售票口,4.84,0.99,一
白沙鄉,吉貝沙灘,3.87,0.72,一
白沙鄉,吉貝遊客中心大廳,4.99,1.45,一
西嶼鄉,小門地質館入口處,8.23,1.22,一
西嶼鄉,西台古堡售票口,7.82,1.43,一
西嶼鄉,西嶼漁翁島燈塔,7.97,1.4,一
西嶼鄉,漁翁島遊客中心,3.39,1.34,一
馬公市,山水沙灘,5.26,1.36,一
馬公市,馬公機場大廳,8.28,0.92,一
馬公市,菜園海洋牧場遊客中心,4.36,1.37,一
馬公市,蒔裡沙灘,4.84,1.26,一
馬公市,天后宮前廣場,2.68,0.53,一
馬公市,風櫃洞觀景涼亭,10.56,1.48,一
馬公市,菊島之星大門口,6.18,0.48,一
馬公市,觀音亭遊憩區大門,3.91,1.19,一
望安鄉,望安航空站大廳,4.84,0.79,一
望安鄉,天台山,5.51,1.06,一
望安鄉,綠蠵龜保育中心大門口,3.42,1.06,一
望安鄉,鴛鴦窟,0.29,0.43,一
湖西鄉,林投隘門沙灘,6.26,1.39,一
連江縣,,,,
北竿鄉,白沙碼頭,5.32,0.83,一
北竿鄉,北竿橋仔聚落保存區,8.37,1.37,一
北竿鄉,芹壁聚落,3.39,0.74,一
東引鄉,一線天,2.2,0.47,一
東引鄉,中柱港候船處,10.61,1.4,一
東引鄉,東湧燈塔,2.63,0.26,一
南竿鄉,八八坑道,4.51,1.11,一
南竿鄉,馬祖天后宮,7.41,1.3,一
南竿鄉,馬祖酒廠大門,7.95,1.44,一
莒光鄉,東莒大埔石刻涼亭,3.73,0.48,一
莒光鄉,東莒燈塔,1.06,0.42,一
莒光鄉,青帆碼頭候船處,5.56,0.83,一
基隆市,,,,
七堵區,七堵車站,5.75,1.17,二
七堵區,七堵區公所,7.54,1.38,二
七堵區,六堵代天府,5.03,0.89,二
七堵區,百福水漾樂活會館,6.1,1.02,二
七堵區,百福火車站,4.84,1.12,二
中山區,中山區公所,9.17,1.33,二
中山區,仙洞巖,3.29,0.93,二
中山區,外木山情人湖濱海大道地標,7.86,0.9,二
中山區,外木山漁港,10.75,1.4,二
中山區,華興街KEELUNG地標觀景台座位區,7.61,1.37,二
中正區,和平島公園,11.29,1.52,二
中正區,海門天險,3.05,1.22,二
中正區,海洋大學體育館,9.46,1.31,二
中正區,海科館北寧路大門口,7.41,1.55,二
中正區,碧砂公園,3.68,1.13,二
仁愛區,仁愛市場,5.3,1.05,二
仁愛區,光華國宅,5.77,0.99,二
仁愛區,成功市場,7.82,1.08,二
仁愛區,基隆火車站,4.86,0.96,二
仁愛區,觀光夜市(基隆仁愛),7.55,1.37,二
安樂區,大潤發,6.11,1.36,二
安樂區,安樂區公所,3.71,1,二
安樂區,長庚院區基隆分院,4.29,0.9,二
安樂區,長庚情人湖院區,5.62,0.93,二
安樂區,情人湖停車場,8.53,1.31,二
信義區,月眉山靈泉禪寺,5.97,1.33,二
信義區,市立體育館,4.39,0.99,二
信義區,地方法院,6.62,1.41,二
信義區,信義區公所,3.15,0.92,二
信義區,署立醫院,3.13,0.73,二
暖暖區,安德宮,8.13,1.11,二
暖暖區,暖暖火車站,4.53,1.1,二
暖暖區,暖暖親水公園,5.55,0.72,二
暖暖區,運動公園,6.76,0.82,二
暖暖區,觀光夜市(基隆暖暖),9.15,0.83,二
台北市,,,,
士林區,士林天文館,2.04,0.77,二
士林區,士林夜市美食廣場,3.92,1.22,二
士林區,士林官邸福林門口,6.11,1.43,二
士林區,故宮博物院至善園,5.58,1.19,二
士林區,救國團劍潭活動中心,3.49,1,二
大同區,大同京站百貨(地下美食小吃街),3.38,0.76,二
大同區,大稻埕碼頭,5.01,1.3,二
大同區,中興醫院大門口,1.94,1.02,二
大同區,永樂市場二樓布業商場,8.78,1.2,二
大同區,迪化街城隍廟口,8.6,1.37,二
大安區,大安中山醫院大廳,6.84,0.8,二
大安區,大安森林公園兒童遊戲區,8.69,1.43,二
大安區,永康街6巷冰店,8.85,1.26,二
大安區,信義路二段鼎泰豐門口,6.65,1.38,二
大安區,師大夜市師大路入口,3.38,1.03,二
大安區,新光三越A11館美食街,7.13,1.23,二
中山區,中山典華飯店旗艦店,4.89,1.36,二
中山區,行天宮民權東路正門口,2.19,0.67,二
中山區,忠烈祠正門,5.8,0.94,二
中山區,美麗華百貨B1美食街,10.73,1.51,二
中山區,圓山捷運站出入口,7.48,1.35,二
中正區,中正紀念堂自由廣場,3.05,0.81,二
中正區,中正英雄館(台北國軍英雄館)門口,4.62,1.37,二
中正區,台北車站售票大廳,3.32,0.62,二
中正區,光華商場新天地1F展場,6.38,0.86,二
中正區,植物園大門口,2.54,0.75,二
內湖區,內湖花卉批發市場_新湖三路,3.18,1.13,二
內湖區,內湖路三段金龍路口,2.77,1.05,二
內湖區,好市多內湖店美食街,5.8,1.43,二
內湖區,基河國宅,2.79,1.14,二
內湖區,捷運大湖公園站,3.51,1.07,二
文山區,木柵動物園售票口,6.46,1.02,二
文山區,木柵捷運萬芳社區站,4.64,1.35,二
文山區,台灣戲曲學院木柵校區門口,3.43,1.05,二
文山區,政大體育館門口,6.32,1.23,二
文山區,捷運動物園站,8.98,1.37,二
北投區,北投圖書館大門,5.29,1.16,二
北投區,石牌捷運站,5.79,1.24,二
北投區,陽明山北投花鐘時鐘,2.43,1.14,二
北投區,陽明書屋,8.5,1.45,二
北投區,溫泉博物館大門,6.65,1.2,二
松山區,小巨蛋服務台,5.67,1.09,二
松山區,松山車站售票大廳,10.24,1.4,二
松山區,松山機場大廳二航廈入境等後局,2.65,0.76,二
松山區,長庚醫院,7.03,1.18,二
松山區,微風廣場美食街,7.09,0.9,二
信義區,101大樓B1美食街,6.38,0.89,二
信義區,世貿一館展場大廳,4.39,0.97,二
信義區,松山文創中心誠品書局,3.13,0.8,二
信義區,華納威秀影城1F售票口,7.15,0.74,二
南港區,南港公園牌坊,3.71,1.19,二
南港區,南港展覽館,4.31,1.13,二
南港區,家樂福南港店,10.29,1.5,二
南港區,捷運南港軟體園區站,3.91,0.95,二
南港區,遠東科學園區門口,3.97,1,二
萬華區,西門紅樓廣場,4.3,1.14,二
萬華區,果菜市場(萬大路與富民路口),7.34,1.27,二
萬華區,獅子林大樓(電影徒步區西寧南路口),3.34,0.94,二
萬華區,萬年商業大樓1F,3.15,0.66,二
萬華區,臺北鄉土教育中心,7.09,1.3,二
,(剝皮寮),,,
桃園縣,,,,
八德市,八德三元宮大門口,7.92,1.31,二
八德市,八德市大湳市場(文化路.四維路口),4.68,1.13,二
八德市,八德市公所大門口,9.32,1.4,二
八德市,八德國泰社區大門口牌樓下,6.14,1.38,二
八德市,大潤發商場美食街,6.29,1.23,二
大園鄉,大園竹圍漁港產銷中心大門口,6.94,1.42,二
大園鄉,大園復興航棧飲食區,7.2,1.37,二
大園鄉,大園鄉公所大門口,5.06,1.05,二
大園鄉,竹圍福海宮廟前廣場,4.66,1.17,二
大園鄉,航空科學館大門口,2.18,0.98,二
大溪鎮,大溪中正公園大門口,8.56,1.42,二
大溪鎮,大溪老街,6.37,1.17,二
,(和平路與中央路口),,,
大溪鎮,大溪慈湖遊客活動中心門口,7.9,1.21,二
大溪鎮,大溪寶塔寺停車場,4.09,0.65,二
大溪鎮,兩蔣雕塑公園招牌拱橋前,6.27,1.28,二
中壢市,大江購物中心美食街,3.96,0.97,二
中壢市,中壢火車站前站候車大廳,6.5,1.3,二
中壢市,中壢市公所大門口,6.63,1.2,二
中壢市,內壢火車站大門口,6.6,1.24,二
中壢市,青埔高鐵車站候車大廳,5.08,0.76,二
平鎮市,平鎮市公所大門口,7.38,1.17,二
平鎮市,平鎮美麗星城大門口,3.34,1.22,二
平鎮市,平鎮復興親子公園大門入口,5.3,1.34,二
平鎮市,南區救國團服務台,3.97,1.38,二
平鎮市,褒忠祠(義民廟)廟前廣場,6.8,1.03,二
桃園市,桃園火車站站前大門口,3.76,0.78,二
桃園市,桃園巨蛋體育館大門口,6.22,1.22,二
桃園市,桃園縣婦女館大門口,5.48,1.37,二
桃園市,御花園觀光夜市( 中正五街.永康街口),7.17,1.21,二
桃園市,署立桃園醫院大門口,4.87,1.13,二
復興鄉,小烏來天空步道售票口,9.08,1.44,二
復興鄉,角板山蔣公行館(梅園)遊客中心門口,6.32,1.29,二
復興鄉,拉拉山生態教育館,2.45,0.64,二
,大門口,,,
復興鄉,拉拉山旅遊,3.35,1.08,二
,服務中心門口,,,
復興鄉,桃源仙谷大門口,9.55,1.46,二
新屋鄉,范姜古厝,4.4,1.05,二
新屋鄉,新屋市場,6.28,1.18,二
新屋鄉,新屋永安漁港,8.52,1.26,二
新屋鄉,新屋鄉公所,6.11,1.17,二
新屋鄉,新屋稻米故事館,8.15,1.3,二
楊梅市,東森山莊渡假村渡假酒店門口,5.14,1.22,二
楊梅市,埔心火車站前站門口,5.07,1.16,二
楊梅市,郭元益糕餅博物館停車場,4.8,0.97,二
楊梅市,雅聞魅力博覽館大門口,5.05,1.33,二
楊梅市,耀輝牧場大門口,3.74,1.33,二
龍潭鄉,新生醫校,4.12,1.17,二
龍潭鄉,龍潭大池,4.37,1.3,二
龍潭鄉,龍潭小人國,8.1,1.37,二
龍潭鄉,龍潭市場,3.39,1.15,二
龜山鄉,東方高球場大門口,8.22,1.39,二
龜山鄉,林口體育館大門口,7.24,1.28,二
龜山鄉,國立體育大學行政教學大樓,3.57,1.28,二
龜山鄉,龜山長庚大學大門口,7.74,1.43,二
龜山鄉,龜山銘傳大學大門口,7.77,1.47,二
蘆竹鄉,大竹觀光休閒公園路口,3.77,1.28,二
蘆竹鄉,台茂購物中心5樓美食街,7.58,1.12,二
蘆竹鄉,好市多門口,3.12,0.94,二
蘆竹鄉,開南大學大門口,8.5,1.38,二
蘆竹鄉,蘆竹鄉公所大門口,5.57,1.29,二
觀音鄉,白沙岬燈塔大門口,6.86,0.98,二
觀音鄉,桃園客運站大門口,8.81,1.31,二
觀音鄉,蓮花資訊館,6.74,1.22,二
,遊客服務中心,,,
觀音鄉,觀音海水浴場,9.46,1.37,二
,遊客休息區,,,
觀音鄉,觀音鄉甘泉寺大門口,9.27,1.28,二
新竹縣,,,,
五峰鄉,三毛夢屋,6.75,1.22,二
五峰鄉,山上人家,6.38,1.31,二
五峰鄉,五峰鄉公所,9.03,1.36,二
五峰鄉,張學良故居,6.06,1.32,二
五峰鄉,清泉溫泉,3.22,0.74,二
北埔鄉,北埔天下第一棧,6.52,0.99,二
北埔鄉,北埔鄉公所,11.38,1.31,二
北埔鄉,北埔慈天宮,9.21,1.27,二
北埔鄉,北埔綠世界,10.09,1.38,二
北埔鄉,姜阿新老宅,8.9,1.39,二
尖石鄉,宇老觀景台,4.25,1.03,二
尖石鄉,尖石鄉公所,4.1,1.25,二
尖石鄉,尖石鄉文化館,3.66,1.19,二
尖石鄉,尖石數碼天空,5.57,1.31,二
尖石鄉,峇里溫泉渡假村,7.02,1.06,二
竹北市,竹北天后宮牌樓,3.66,1.34,二
竹北市,竹北夜市,5.49,1.16,二
竹北市,竹北美食街美食商圈地標樓前,3.74,0.77,二
竹北市,婦幼館,4.78,1.3,二
竹北市,新竹體育場,4.25,1.21,二
竹東鎮,上員火車站,6.48,1.1,二
竹東鎮,伍聯社購物中心,5.41,1.45,二
竹東鎮,竹中火車站,7.48,1.24,二
竹東鎮,竹東火車站,7.2,1.27,二
竹東鎮,竹東客運站,3.36,0.95,二
芎林鄉,心鮮森林莊園,3.05,0.96,二
芎林鄉,文林閣文教苑,6.68,0.89,二
芎林鄉,桃園童玩世界,3.69,0.66,二
芎林鄉,瑞龍化石博物館,9.43,1.45,二
芎林鄉,鄧雨賢音樂紀念,9.97,1.44,二
,文化園區,,,
峨眉鄉,丹桂宮,8.17,1.37,二
峨眉鄉,峨眉天主堂,7.88,1.33,二
峨眉鄉,峨眉天恩佛院出口處,6.78,1.36,二
峨眉鄉,峨眉鄉公所,7.63,1.38,二
峨眉鄉,獅山遊客服務中心,10.12,1.3,二
湖口鄉,湖口三元宮,8.21,1.61,二
湖口鄉,湖口火車站,4.73,1.35,二
湖口鄉,湖口老街,7.65,1.45,二
湖口鄉,湖口鄉公所,4.2,1.36,二
湖口鄉,湖口營區,4.73,1.35,二
新埔鎮,宗祠客家文化導覽館,7.38,1.2,二
新埔鎮,菸店(西河堂公廳),5.62,1.37,二
新埔鎮,新埔九芎湖,5.11,0.85,二
新埔鎮,新埔新農民市場,6.15,1.32,二
新埔鎮,義民廟,6.64,1.05,二
新豐鄉,新豐小叮噹遊樂園,1.26,0.99,二
新豐鄉,新豐火車站候車室,6.33,1.4,二
新豐鄉,新豐市場,7.8,1.35,二
,(新庄子公有市場),,,
新豐鄉,新豐池和宮,6.76,1.37,二
新豐鄉,鳳嶺玄天宮(歸屬竹北市),6.34,1.29,二
橫山鄉,中華科大新竹校區,4.95,1.14,二
橫山鄉,內灣吊橋,8.55,1.42,二
橫山鄉,內灣車站,7.33,1.37,二
橫山鄉,合興車站,6.25,0.86,二
橫山鄉,劉興欽漫畫館,8.1,1.5,二
關西鎮,六福村遊樂園,8.15,1.3,二
關西鎮,關西天主堂,6.36,1.48,二
關西鎮,關西仙草加工廠,12.73,1.5,二
關西鎮,關西迎風館,7.83,1.18,二
關西鎮,關西鎮公所,7.02,1.23,二
寶山鄉,寶二水庫管理局,7.16,1.11,二
寶山鄉,寶山水庫地標,8.39,1.3,二
寶山鄉,寶山鄉公所,8.8,1.44,二
寶山鄉,寶山新城天主堂,10.42,1.47,二
寶山鄉,寶山雙胞胎井,3.96,1.1,二
台中市,,,,
大甲區,大甲永信運動公園,8.38,1.5,二
大甲區,大甲林氏貞孝坊地標旁,6.79,1.42,二
大甲區,大甲鎮瀾宮,5.92,1.42,二
大甲區,大甲體育場,5.79,1.48,二
大安區,大安海水浴場,3.69,1.22,二
大安區,大安圖書館,3.46,1.36,二
大安區,東安社區,3.28,1.17,二
大安區,松雅社區,5.81,1.3,二
大安區,鎮南社區活動中心,4.29,1.21,二
大肚區,大肚車站,6.04,1.22,二
大肚區,大肚圖書館,5.99,1.44,二
大肚區,沙田路與福利街路口_人口密集區,3.8,1.19,二
大肚區,社腳社區住宅區,6.83,1.4,二
大肚區,追分車站,4.9,1.32,二
大里區,大里仁愛醫院,4.04,1.18,二
大里區,大里運動公園,7.64,1.41,二
大里區,國光路85度C咖啡廳,5.85,1.39,二
大里區,國光路花市,2.27,1.4,二
大里區,順發3C_國光路,4.61,1.14,二
大雅區,大雅肯德基,7.03,1.35,二
大雅區,大雅國際花市,2.67,0.84,二
大雅區,大雅麥當勞,3.33,1.24,二
大雅區,中科管理局,3.95,1.06,二
大雅區,潭雅神自行車道,6.88,1.35,二
中區,日曜天地_自由路門口,4.1,1.09,二
中區,台中火車站售票處,7.91,1.28,二
中區,台中第一廣場_柳川西路入門口,6.35,1.13,二
中區,宮源眼科,5.18,0.9,二
中區,統聯客運台中火車站(候車室),2.47,0.93,二
太平區,中山路麥當勞,4.18,1.36,二
太平區,太平家樂福,2.38,1.3,二
太平區,東平國小住宅區,2.22,1.07,二
太平區,國軍803醫院,7.1,1.52,二
太平區,勤益科大,3.56,1.16,二
北屯區,中清路文心路口,4.12,1.08,二
北屯區,心之芳庭大門口,7.48,1.47,二
北屯區,台中東東芋圓,5.31,1.21,二
北屯區,四張梨公園,4.1,1.01,二
北屯區,崇德路二段與文心路口_赤鬼牛排,4.43,1.25,二
北區,一中商圈台中一中大門,5.34,1.15,二
北區,中友百貨Starbucks,5.1,1.34,二
北區,中國醫藥學院第一醫療大樓大廳,4.5,1.11,二
北區,台中力行路孔廟門口,4.43,1.35,二
北區,台中自然科學博物館生命科學館售票處,7.48,1.33,二
外埔區,台灣省農會休閒農場,1.21,1.11,二
外埔區,外埔虎爺廟,9.95,1.46,二
外埔區,外埔區公所,8.62,1.35,二
外埔區,外埔圖書館,6.39,1.56,二
外埔區,田媽媽肉粽店,4.99,1.31,二
石岡區,土牛客家文物館,5.99,1.45,二
石岡區,石岡情人木橋,6.66,1.43,二
石岡區,石岡圖書館,7.56,1.48,二
石岡區,東豐自行車道旅客服務中心,5.26,1.48,二
石岡區,萬安社區住宅區,6.72,1.36,二
后里區,后里馬場,5.45,1.31,二
后里區,后里樟樹公涼亭,5.26,1.26,二
后里區,后里糖廠,6.06,1.4,二
后里區,后里薩克斯風博物館,7.53,1.52,二
后里區,麗寶樂園售票口,6.55,1.41,二
西屯區,中正公園停車場,3.45,1.13,二
西屯區,台中市政府惠中樓1F,4.55,1.19,二
西屯區,台中自然科學博物館植物園售票處,3.46,1.11,二
西屯區,台中統聯客運朝馬站候車室,5.96,1.02,二
西屯區,新光三越B1F美食街,8.13,1.3,二
西區,台中文化中心門口英才路,6.76,1.51,二
西區,台中市市民廣場草地中央,5.05,1.28,二
西區,台中國立臺灣美術館,1.88,1.04,二
,入口,,,
西區,林森路台中演武所,3.12,1.16,二
西區,誠品綠園道書局門口,3.88,1.21,二
沙鹿區,台中機場新航廈,2.84,1.28,二
沙鹿區,弘光科技大學,5.85,1.35,二
沙鹿區,沙鹿童綜合醫院,4.78,1.37,二
沙鹿區,鹿寮成衣商圈,5.09,1.21,二
沙鹿區,靜宜大學校,6.74,1.2,二
和平區,谷關溫泉風景區,7.43,1.42,二
和平區,武陵賓館,6.37,1.45,二
和平區,梨山賓館,8.32,1.38,二
和平區,福壽山農場,8.06,1.49,二
和平區,環山部落,5.02,1.36,二
東區,合作市場(進化路),2.81,1.11,二
,_立華食品,,,
東區,東峰公園-228紀念碑,6.97,1.48,二
,_廣場中央,,,
東區,新時代購物廣場美食街_1F星巴克,4.05,1.25,二
東區,樂業路建成路口_公園人行道,8.11,1.46,二
東區,燦坤東英店_自由路四段1F門口,6.31,1.31,二
東勢區,921地震紀念碑,3.52,1.26,二
東勢區,東勢林場,5.47,1.4,二
東勢區,東勢客家文化園區,8.15,1.36,二
東勢區,東勢農民醫院正門,5.57,1.35,二
南屯區,公益路(惠文國小),6.29,1.32,二
,摩斯漢堡,,,
南屯區,台中好市多1F美食街,7.43,1.1,二
南屯區,向上路三段/永春東七路口(花市_后里花店),5.9,1.1,二
南屯區,圓滿戶外劇場,4.37,1.03,二
,_文心向上口,,,
南屯區,黎明路二段麥當勞門口,6.3,1.36,二
南區,中山醫學大學汝川醫療大樓,2.16,0.92,二
南區,中興大學校門口,4.88,1.25,二
南區,忠明南路與五權南路口,3.69,1.29,二
南區,健康公園(忠明南路),5.19,1.28,二
南區,愛買復興店美食街,9.61,1.35,二
烏日區,烏日成功火車站,1.87,0.99,二
烏日區,烏日皇家花園大廈,5.3,1.39,二
烏日區,烏日高鐵2樓大廳,2.29,1.04,二
烏日區,烏日會展中心,8.12,1.32,二
烏日區,烏日觀光啤酒廠,4.32,1.05,二
神岡區,神岡圳前活動中心社區,3.99,1.36,二
神岡區,神岡岸裡文物館,6.98,1.45,二
神岡區,犁記餅點景點,6.82,1.45,二
神岡區,集合式住宅_豐社路與大豐北街交叉口,3.91,1.4,二
神岡區,潭雅神自行車道_休息區,2.71,0.84,二
梧棲區,台中港旅客服務中心,4.35,1.03,二
梧棲區,財政部台中關稅局,4.91,1.16,二
梧棲區,梧棲舶來品商圈牌樓處,5.07,1.38,二
梧棲區,梧棲童綜合醫院,1.01,1,二
梧棲區,梧棲新天地餐廳,3.04,1.3,二
清水區,中山路清水街路口,6.49,1.42,二
清水區,高美濕地景觀台,10.6,1.48,二
清水區,清水火車站正門口,7.4,1.45,二
清水區,清水朝興宮,4.17,1.38,二
清水區,清水紫雲巖,7.54,1.48,二
新社區,安妮公主花園,4.13,1.15,二
新社區,新社古堡,3.04,1.32,二
新社區,新社龍安橋,5.33,1.11,二
新社區,薰衣草森林售票亭,6.68,1.4,二
新社區,櫻花林,7.21,1.44,二
潭子區,台中加工出口區,4.49,1.13,二
潭子區,潭子火車站,3.59,1.1,二
潭子區,潭子石牌公園,3.64,1.17,二
潭子區,潭子運動公園,6.13,1.28,二
潭子區,潭子頭張路中山路口_密集住宅,7.59,1.3,二
龍井區,東海藝術街春水堂,8.56,1.41,二
龍井區,南寮村亨德紀念公園,7.95,1.39,二
龍井區,龍井火車站,1.68,1.15,二
龍井區,龍井東海商圈麥當勞,6.35,1.52,二
龍井區,龍井區公所,5.72,1.17,二
豐原區,台中市政府陽明大樓,6.02,1.34,二
豐原區,媽祖廟,3.78,1.15,二
豐原區,葫蘆墩公園,9.63,1.5,二
豐原區,豐原太平洋百貨,3.87,1.4,二
豐原區,豐原文化中心,5.71,1.37,二
霧峰區,亞洲大學,5.42,1.2,二
霧峰區,神農大帝廟,4.94,1.16,二
霧峰區,霧峰林家花園,3.05,0.94,二
霧峰區,霧峰省議會,4.87,1.31,二
霧峰區,霧峰區公所,3.38,1.35,二
霧峰區,霧峰朝陽科技大學,2.59,1.35,二
嘉義市,,,,
西區,大潤發博愛店美食街,6.62,1.27,二
西區,文化路夜市(民族路口),6.18,1.29,二
西區,家樂福博愛店美食街,8.91,1.35,二
西區,嘉義鐵道藝術村停車場,6.19,1.33,二
西區,噴水雞肉飯老店門口,6.13,1.37,二
東區,文化中心文化廣場,7.17,1.3,二
東區,阿里山森林鐵路車庫園區門口,5.46,1.37,二
東區,耐斯松屋百貨美食街,12.18,1.4,二
東區,嘉義市政府大門口,3.05,1.13,二
東區,蘭潭月影潭心,4.6,1.22,二
嘉義縣,,,,
大林鎮,大林火車站大門口,5.05,1.29,二
大林鎮,大林慈濟醫院門診大廳,5.37,1.23,二
大林鎮,大林糖廠冰品部停車場,4.04,1.3,二
大林鎮,大林鎮公所大門口,8.19,1.39,二
大林鎮,明華濕地生態園區停車場,4,1.32,二
大埔鄉,大埔美館(遊客中心),7.91,1.39,二
大埔鄉,大埔鄉公所(清潔隊停車場),8.69,1.36,二
大埔鄉,大埔橋(涼亭),4.32,1.01,二
大埔鄉,情人公園(拱門),8.66,1.36,二
大埔鄉,曾文水庫大壩紀念碑,5.37,1.29,二
中埔鄉,吳鳳廟,8.88,1.33,二
中埔鄉,嘉義縣客家文化會館,7.22,1.23,二
中埔鄉,綠盈牧場,2.56,0.95,二
中埔鄉,獨角仙農場,7.33,1.4,二
中埔鄉,豐山生態園區,10.77,1.45,二
六腳鄉,六腳鄉公所門口,9.04,1.18,二
六腳鄉,台糖小火車(月臺),6.85,1.13,二
六腳鄉,蒜頭糖廠(松錳租車),7.86,1.37,二
六腳鄉,鳳山宮(前方空地),5.91,1.43,二
六腳鄉,蟀哥農家(招牌下),5.4,1.26,二
太保市,太保市公所(招牌下),8.78,1.27,二
太保市,高鐵車站(p3停車場),3.19,1.19,二
太保市,彩虹商場(7-11門口),7.7,1.34,二
太保市,農村文物公園(遊樂區),4.22,0.9,二
太保市,縣政府正門口,5.35,1.16,二
水上鄉,水上鄉公所(代表會門口),8.5,1.3,二
水上鄉,水上機場(機車停車區),10.03,1.41,二
水上鄉,北回歸線公園(標誌前),6.01,1.29,二
水上鄉,南靖火車站(身障走道),7.72,1.32,二
水上鄉,南靖糖廠(賣場前空地),7.15,1.34,二
布袋鎮,布袋雲嘉南遊客中心,5.55,1.31,二
,(正門口),,,
布袋鎮,布袋鎮公所(圓環),6.92,1.34,二
布袋鎮,布袋鹽山(台鹽生技門口),8.5,1.31,二
布袋鎮,布袋觀光漁市(直銷中心入口處),8.02,1.42,二
布袋鎮,遊艇港碼頭(停車場),7.29,1.39,二
民雄鄉,民雄火車站(鐵路寄車),5.45,1.13,二
民雄鄉,民雄市場大士爺廟口,5.2,1.32,二
民雄鄉,民雄鄉公所(電話亭),6.74,1.3,二
民雄鄉,民雄鵝肉慶店門口前,7.11,1.31,二
民雄鄉,寶林禪寺(大石頭前),9.02,1.32,二
朴子市,朴子市公所(停車場),7.51,1.15,二
朴子市,朴子署立醫院(急診室前),3.98,1.18,二
朴子市,朴子藝術公園(入口處),8.96,1.39,二
朴子市,長庚醫院大門口,3.84,1.26,二
朴子市,嘉義縣立棒球場(公車亭),2.45,1.01,二
竹崎鄉,竹崎車站,8.75,1.41,二
竹崎鄉,竹崎鄉公所,3.19,0.96,二
竹崎鄉,真武廟,6.8,1.46,二
竹崎鄉,奮起湖火車站,7.6,1.09,二
竹崎鄉,親水公園,6.12,1.19,二
東石鄉,東石鄉公所門口,7.12,1.29,二
