"序號","統一編號","公司名稱","公司所在地","代表人","資本額","核准設立日期"
"1","24806385","日商秋光股份有限公司","臺北市信義區光復南路495號7樓之2","山下浩太","0","1050130"
"2","24806408","薩摩亞商嘉運創投有限公司","臺中市南屯區文心路1段186號20樓","白嘉雄","0","1050130"
"3","24806456","薩摩亞商吉羽網路科技有限公司","臺北市大安區新生南路1段155號3樓","黃瀚輝","500000","1050201"
"4","24806505","金水食堂有限公司","金門縣金寧鄉盤山村下堡12-5號","盧文雄","200000","1050201"
"5","24806511","韓商紅外晶片科技股份有限公司","新北市永和區中山路1段191巷7弄25號3樓","劉安安","0","1050201"
"6","24806527","新加坡商博安科技有限公司","臺北市中山區松江路122號11樓","邱維添","0","1050201"
"7","24806532","吉泰不動產有限公司","金門縣金城鎮北門里民生路27巷3號","林燕平","1000000","1050201"
"8","24806553","英屬維京群島商神奇嬌點有限公司","臺北市中山區錦州街312號(1樓)","林鉑棟","2000000","1050201"
"9","24806596","英屬維京群島商慧星股份有限公司","新北市新莊區後港里建安街26巷6弄7號1樓","李宜萍","1000000","1050203"
"10","24806619","香港商機時股份有限公司","桃園市桃園區東埔里信光路123號6樓","布蘭可 荷西","5000000","1050202"
"11","24806667","塞席爾商康芙股份有限公司","新北市板橋區重慶路249號11樓之1","吳團宗","500000","1050202"
"12","24806673","香港商杰世廣告有限公司","臺北市松山區民生東路3段128號10樓之2","羅楓清","0","1050202"
"13","24806821","香港商萊寶科技實業有限公司","新北市林口區仁愛里公園路203號2樓1至之2","李紹宗","0","1050205"
"14","24806884","日商近鐵投資控股股份有限公司","臺北市中山區松江路126號8樓","坂本耕一","5000000","1050205"
"15","24806890","薩摩亞商双贏國際管理顧問有限公司","臺北市大安區仁愛路3段141號11樓","吳文瑜","25000000","1050203"
"16","24806907","英屬開曼群島商著迷網路科技股份有限公司","臺北市松山區民生東路3段129、131號9樓","陳欣美","1000000","1050204"
"17","24806961","緬甸商緬甸國家航空有限公司","臺北市中山區新生北路2段31-1號12樓","張玉芬","500000","1050204"
"18","24806977","香港商威尼斯資產開發有限公司","臺北市中正區中華路1段59號7樓","蘇瑜婷","5000000","1050215"
"19","24806982","塞席爾商東信有限公司","彰化縣彰化市華山路273巷9號","何信男","3000000","1050204"
"20","24806998","香港商新牙國際媒體有限公司","臺北市信義區基隆路1段432號7樓之1","本村嚴慈","0","1050204"
"21","24807005","香港商地質有限公司","臺北市中正區中華路1段59號7樓","陳萍","5000000","1050215"
"22","24807011","英國商威騎有限公司","臺中市南屯區五權西路二段666號13樓之3","馬麥修","0","1050204"
"23","24807027","馬紹爾群島商信星企業有限公司","臺北市中山區復興北路178號16樓","談又華","0","1050204"
"24","24807032","英屬開曼群島商艾瑞安納國際有限公司","臺北市中山區樂群二路91號1樓","吳諭雯","2000000","1050204"
"25","24807048","美的康有限公司","金門縣金湖鎮信義新邨85號","錢巧柔","100000","1050205"
"26","24807069","國璽實業有限公司","金門縣金湖鎮漁村18號","傅湘君","1000000","1050205"
"27","24807075","郁鼎工程有限公司","金門縣金沙鎮何斗里斗門84號","張博昇","1000000","1050205"
"28","24807080","日商愛甲教育事業股份有限公司","臺北市大同區南京西路163號2樓之74","金澤直子","0","1050205"
"29","24807103","英屬維京群島商艾迪亞有限公司","雲林縣崙背鄉阿勸村中厝1-1號","李竸育","100000","1050205"
"30","24807173","日商福聯利有限公司","花蓮縣吉安鄉慶豐村慶北一街232號","播磨昌代","0","1050216"
"31","24807238","日商東京中央拍賣股份有限公司","臺北市中正區忠孝東路2段88號13樓","彭貫綝","0","1050217"
"32","24807271","香港商醫躍國際股份有限公司","臺北市大安區忠孝東路4段333號6樓之1","金丞廷","6800000","1050218"
"33","24807286","日商名鐵觀光服務股份有限公司","新北市板橋區民生路1段33號5樓之5","飯田 浩史","0","1050217"
"34","24807292","美商安均丞科技有限公司","桃園市平鎮區中興路平鎮段309號","黎世彬","1000000","1050217"
"35","24807315","美商奧森姆電子有限公司","臺北市大安區復興南路2段237號13樓","潘小龍","0","1050217"
