"序號","統一編號","公司名稱","公司所在地","代表人","資本額","核准變更日期"
"1","00067509","友聯公證股份有限公司","基隆市信義區信一路133之5號7樓","吳淑華","2000000","1041202"
"2","00069801","友駿營造工程股份有限公司","桃園市蘆竹區中正路29號3樓","林正忠","65000000","1041210"
"3","00199184","泉昌五金有限公司","基隆市中正區信三路15號","蘇敏昌","1200000","1041203"
"4","00650192","隆源報關企業股份有限公司","基隆市中山區民治里中山一路241巷94號","陶蘭芝","1500000","1041215"
"5","00654747","東勝貿易股份有限公司","基隆市仁愛區忠一路20號9樓","謝玉勝","5000000","1041209"
"6","00680230","至宸交通有限公司","南投縣埔里鎮珠格里隆生路143之8號","張哲誠","25500000","1041231"
"7","00692046","瑞聯公證股份有限公司","基隆市信義區信一路133之5號7樓","李清標","2000000","1041202"
"8","00692263","三慶交通企業有限公司","基隆市仁愛區南榮路14號","謝憲道","3000000","1041229"
"9","00699152","永華汽艇股份有限公司","基隆市中正區正砂里正榮街28-2號1樓","彭安國","3780000","1041211"
"10","00708048","王主煤氣行有限公司","基隆市暖暖區八西里過港路244號","莊智淙","500000","1041228"
"11","00759897","長興造船股份有限公司","基隆市中正區中正路377號","蕭龍達","10001000","1041204"
"12","00789920","榮平企業有限公司","基隆市中正區中正路164-1號3樓","陳景振","10000000","1041230"
"13","00822266","協信煤氣有限公司","臺南市永康區埔園街242巷30號","沈杏音","500000","1041208"
"14","00837893","泰元通運股份有限公司","新北市汐止區大同路3段453號","林正義","15000000","1041202"
"15","00852535","永福報關運輸有限公司","基隆市安樂區樂利三街283號5樓","杜玉琴","5000000","1041203"
"16","00865882","豐源報關股份有限公司","基隆市仁愛區孝三路30巷32之1號2樓","許美芬","5000000","1041222"
"17","01072683","宇技企業有限公司","新北市新莊區五權一路3號6樓之8","范姜彬","5000000","1041230"
"18","01176097","富吉國際股份有限公司","臺北市中山區長安東路1段25號9樓","張錦川","5040000","1041211"
"19","01176385","新州電腦股份有限公司","臺北市大安區復興南路1段380號11樓","翁正雄","24000000","1041209"
