Content,AreaName,PSI,MajorPollutant,FPMI,ForecastDate,PublishTime
1.22日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒。2.22日高屏地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。3.23及24日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；23日高屏地區PM2.5指標為中至高等級，24日高屏地區PM2.5指標為低至中等級，其他地區PM2.5指標為低等級。,花東,20 - 45,,1 - 3,2016-01-24,2016-01-21 18:30
1.22日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒。2.22日高屏地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。3.23及24日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；23日高屏地區PM2.5指標為中至高等級，24日高屏地區PM2.5指標為低至中等級，其他地區PM2.5指標為低等級。,宜蘭,20 - 45,,1 - 3,2016-01-24,2016-01-21 18:30
1.22日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒。2.22日高屏地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。3.23及24日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；23日高屏地區PM2.5指標為中至高等級，24日高屏地區PM2.5指標為低至中等級，其他地區PM2.5指標為低等級。,高屏,55 - 70,懸浮微粒,3 - 6,2016-01-24,2016-01-21 18:30
1.22日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒。2.22日高屏地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。3.23及24日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；23日高屏地區PM2.5指標為中至高等級，24日高屏地區PM2.5指標為低至中等級，其他地區PM2.5指標為低等級。,雲嘉南,35 - 55,懸浮微粒,2 - 3,2016-01-24,2016-01-21 18:30
1.22日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒。2.22日高屏地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。3.23及24日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；23日高屏地區PM2.5指標為中至高等級，24日高屏地區PM2.5指標為低至中等級，其他地區PM2.5指標為低等級。,中部,35 - 55,懸浮微粒,2 - 3,2016-01-24,2016-01-21 18:30
1.22日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒。2.22日高屏地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。3.23及24日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；23日高屏地區PM2.5指標為中至高等級，24日高屏地區PM2.5指標為低至中等級，其他地區PM2.5指標為低等級。,竹苗,25 - 45,,1 - 3,2016-01-24,2016-01-21 18:30
1.22日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒。2.22日高屏地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。3.23及24日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；23日高屏地區PM2.5指標為中至高等級，24日高屏地區PM2.5指標為低至中等級，其他地區PM2.5指標為低等級。,北部,30 - 50,,2 - 3,2016-01-24,2016-01-21 18:30
1.22日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒。2.22日高屏地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。3.23及24日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；23日高屏地區PM2.5指標為中至高等級，24日高屏地區PM2.5指標為低至中等級，其他地區PM2.5指標為低等級。,花東,20 - 40,,1 - 3,2016-01-23,2016-01-21 18:30
1.22日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒。2.22日高屏地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。3.23及24日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；23日高屏地區PM2.5指標為中至高等級，24日高屏地區PM2.5指標為低至中等級，其他地區PM2.5指標為低等級。,宜蘭,20 - 40,,1 - 3,2016-01-23,2016-01-21 18:30
1.22日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒。2.22日高屏地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。3.23及24日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；23日高屏地區PM2.5指標為中至高等級，24日高屏地區PM2.5指標為低至中等級，其他地區PM2.5指標為低等級。,高屏,55 - 75,懸浮微粒,4 - 7,2016-01-23,2016-01-21 18:30
1.22日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒。2.22日高屏地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。3.23及24日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；23日高屏地區PM2.5指標為中至高等級，24日高屏地區PM2.5指標為低至中等級，其他地區PM2.5指標為低等級。,雲嘉南,30 - 50,,2 - 3,2016-01-23,2016-01-21 18:30
1.22日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒。2.22日高屏地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。3.23及24日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；23日高屏地區PM2.5指標為中至高等級，24日高屏地區PM2.5指標為低至中等級，其他地區PM2.5指標為低等級。,中部,30 - 50,,2 - 3,2016-01-23,2016-01-21 18:30
1.22日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒。2.22日高屏地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。3.23及24日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；23日高屏地區PM2.5指標為中至高等級，24日高屏地區PM2.5指標為低至中等級，其他地區PM2.5指標為低等級。,竹苗,20 - 40,,1 - 3,2016-01-23,2016-01-21 18:30
1.22日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒。2.22日高屏地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。3.23及24日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；23日高屏地區PM2.5指標為中至高等級，24日高屏地區PM2.5指標為低至中等級，其他地區PM2.5指標為低等級。,北部,25 - 45,,1 - 3,2016-01-23,2016-01-21 18:30
1.22日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒。2.22日高屏地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。3.23及24日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；23日高屏地區PM2.5指標為中至高等級，24日高屏地區PM2.5指標為低至中等級，其他地區PM2.5指標為低等級。,澎湖,25 - 45,,1 - 3,2016-01-22,2016-01-21 18:30
1.22日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒。2.22日高屏地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。3.23及24日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；23日高屏地區PM2.5指標為中至高等級，24日高屏地區PM2.5指標為低至中等級，其他地區PM2.5指標為低等級。,金門,30 - 50,,2 - 3,2016-01-22,2016-01-21 18:30
1.22日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒。2.22日高屏地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。3.23及24日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；23日高屏地區PM2.5指標為中至高等級，24日高屏地區PM2.5指標為低至中等級，其他地區PM2.5指標為低等級。,馬祖,25 - 45,,1 - 3,2016-01-22,2016-01-21 18:30
1.22日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒。2.22日高屏地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。3.23及24日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；23日高屏地區PM2.5指標為中至高等級，24日高屏地區PM2.5指標為低至中等級，其他地區PM2.5指標為低等級。,花東,20 - 40,,1 - 3,2016-01-22,2016-01-21 18:30
1.22日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒。2.22日高屏地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。3.23及24日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；23日高屏地區PM2.5指標為中至高等級，24日高屏地區PM2.5指標為低至中等級，其他地區PM2.5指標為低等級。,宜蘭,20 - 40,,1 - 3,2016-01-22,2016-01-21 18:30
