"序號","統一編號","公司名稱","公司所在地","代表人","資本額","核准設立日期"
55,"24805718","美商優秀基因生技股份有限公司","臺北市中山區南京東路3段101號4樓","石大為",500000,"1050115"
56,"24805724","塞席爾商蘇菲亞控股股份有限公司","臺北市信義區基隆路1段432號5樓之7","廖敏雯",0,"1050115"
57,"24805750","豐新創業投資股份有限公司","臺北市松山區民生東路3段128號7樓之2","羅惠真",625000000,"1050118"
58,"24805766","薩摩亞商樂萌股份有限公司","臺北市信義區光復南路495號","洪辰瑜",2450000,"1050127"
59,"24805793","大陸商浙江衢州格林特電線電纜有限公司","臺北市信義區忠孝東路5段1之1號13樓","余紹蓮",0,"1050119"
60,"24805858","香港商衛爾投資有限公司","臺北市士林區大北路38號1樓","黃耀康",0,"1050118"
61,"24805864","荷蘭商布魯曼尼德蘭有限公司","臺中市南屯區五權西路2段666號13樓之3","湯瑪麥德",0,"1050118"
62,"24805870","美商福陸工程有限公司","臺中市西區臺灣大道2段218號28樓","KANWAL  RATTAN  CHOUDHARY",324780,"1050119"
63,"24805935","英屬維京群島商斯託克有限公司","臺中市北屯區文心路3段447號5樓之2","黃紹瑋",10000000,"1050120"
64,"24805956","風順營造有限公司","金門縣金沙鎮光前里太武社區57號","邱福治",3000000,"1050120"
65,"24805962","貝里斯商長頡投資有限公司","桃園市龜山區山頂里山鶯路中華巷2之1號4樓","趙武長",10000000,"1050119"
66,"24805978","安圭拉商創星有限公司","臺南市永康區中山路296號","呂東吉",20000000,"1050120"
67,"24806033","德商萊恩安德股份有限公司","臺北市松山區東光里南京東路5段171號3樓","柯內力",50000,"1050121"
68,"24806049","韓商裕秀物流股份有限公司","臺北市大同區南京西路36號6樓之1","謝承翰",7500000,"1050121"
69,"24806054","香港商五十佳健康事業股份有限公司","臺北市中山區南京東路1段138號9樓","陳秀梅",1000000,"1050121"
70,"24806060","英屬開曼群島商義瑪卡多有限公司","臺北市士林區忠誠路2段164號","CHAO, LI-CHEN",30000000,"1050122"
71,"24806076","美商貝思康系統股份有限公司","臺北市松山區基隆路1段10號3樓","張孝成",4000000,"1050122"
72,"24806081","韓商宇理有限公司","桃園市桃園區經國路898號5樓","蘇允文",500000,"1050125"
73,"24806097","英屬維京群島商阿曼菲有限公司","臺中市西屯區市政北三路143號3樓","尤珮瑜",230000000,"1050125"
74,"24806110","香港商英特吉爾有限公司","臺北市大安區仁愛路3段136號3樓","OVEN  NICHOLAS",2000000,"1050126"
75,"24806126","日商乾晶貿易股份有限公司","臺北市大安區敦化南路1段205號7樓之5","梁紫霞",300000,"1050125"
76,"24806147","香港商精銳聯合發展股份有限公司","新北市板橋區文化路1段102號6樓","洪駿耀",2000000,"1050126"
77,"24806152","英屬維京群島商普澤生化科技股份有限公司","臺北市大安區敦化南路1段179號2樓","王逸楓",300000,"1050125"
78,"24806168","宇輝國際投資股份有限公司","臺北市士林區忠誠路2段70巷5號1樓","曾瑞棼",800000000,"1050127"
79,"24806174","德商斯泰必魯斯有限公司","臺南市麻豆區中民里4鄰謝厝寮122-7號","Fred  Haering",0,"1050126"
80,"24806189","英商宏廣有限公司","臺北市信義區基隆路2段19號7樓之1","耶爾卡",0,"1050127"
81,"24806195","英屬維京群島商品夏貿易有限公司","高雄市苓雅區永泰路10號12樓之1","林信毅",1000000,"1050127"
82,"24806202","香港商姊妹街有限公司","臺北市大安區建安里忠孝東路4段221號8樓","趙婉芝",100000,"1050129"
83,"24806218","新耀生技投資股份有限公司","臺北市松山區敦化南路1段3號4樓之4","路孔明",3500000000,"1050126"
84,"24806224","澳商華信顧問有限公司","臺北市信義區松隆路102號16樓","蔡聖予",0,"1050126"
85,"24806239","香港商兩兄弟有限公司","高雄市仁武區水管路293號","畢華夫",0,"1050126"
86,"24806250","新加坡商利比裏亞海事有限公司","臺北市大安區忠孝東路4段270號17樓","銘勝‧柏瑞迪",0,"1050127"
87,"24806272","越揚工程有限公司","金門縣金城鎮古城里金門城16號","陳淑馨",20000000,"1050127"
88,"24806293","新加坡商博威全球私人有限公司","新北市板橋區縣民大道3段252-1號3樓","蔡高昇",0,"1050128"
89,"24806300","貝里斯商萬進有限公司","臺北市萬華區康定路99號6樓","葉錦雯",3000000,"1050128"
90,"24806316","香港商俐通(香港)有限公司","臺北市中山區復興北路420號7樓","楊為澎",0,"1050128"
91,"24806322","韓商昆蟲生物有限公司","臺北市內湖區南湖里民權東路6段280巷96號12樓","崔榮哲",0,"1050128"
92,"24806337","薩摩亞商韓亞國際股份有限公司","臺北市信義區中興里信義路4段460號18樓","林效誠",4000000,"1050128"
93,"24806343","安圭拉商加億企業有限公司","臺中市清水區中央北路2-42號","陳明謙",0,"1050128"
94,"24806358","英屬維京群島商東方樞紐資本管理有限公司","臺北市內湖區內湖路1段388號7樓之3","凌美琦",0,"1050128"
95,"24806364","正暘有限公司","金門縣金城鎮金水里謝厝5號","林怡君",1680000,"1050129"
96,"24917559","宏至生技有限公司","臺南市鹽水區竹埔里竹子脚72之3號1樓","王宏洲",3000000,"1050104"
