SiteName,County,PSI,MajorPollutant,Status,SO2,CO,O3,PM10,PM2.5,NO2,WindSpeed,WindDirec,FPMI,NOx,NO,PublishTime
二林,彰化縣,28,,良好,2.6,0.12,7.1,26,16,6.6,1.6,152,,7.52,.89,2016-07-04 02:00
三重,新北市,60,懸浮微粒,普通,3.2,1.11,,64,22,31,,,3,78.18,47.37,2016-07-04 02:00
三義,苗栗縣,16,,良好,1.2,0.11,18,17,0,1.2,3.8,167,1,1.44,.21,2016-07-04 02:00
土城,新北市,32,,良好,2.5,0.88,1.7,37,12,23,0.9,172,2,46.02,23.18,2016-07-04 02:00
士林,臺北市,0,,,1.9,0.42,3.9,44,18,13,1.1,223,2,15.85,2.92,2016-07-04 02:00
大同,臺北市,60,懸浮微粒,普通,2.2,0.82,,67,24,29,,,3,41.71,13.04,2016-07-04 02:00
大里,臺中市,13,,良好,1.5,0.25,9.6,17,9,9.1,0.7,271,1,10.48,1.35,2016-07-04 02:00
大園,桃園市,32,,良好,3.9,0.52,12,40,19,23,2.7,158,2,23.77,.64,2016-07-04 02:00
大寮,高雄市,20,,良好,2.7,0.17,2.1,15,1,8.7,0.9,246,1,11.26,2.55,2016-07-04 02:00
小港,高雄市,21,,良好,23,0.12,9.3,29,0,3.7,2,169,1,5.42,1.75,2016-07-04 02:00
中山,臺北市,50,,良好,1.3,0.59,2.8,25,15,26,0.7,28,3,31.51,5.39,2016-07-04 02:00
中壢,桃園市,38,,良好,1.7,0.37,14,25,0,11,1.3,197,1,14.97,4.4,2016-07-04 02:00
仁武,高雄市,50,,良好,2.6,0.19,4.3,43,5,8.6,1.8,101,1,9.51,.94,2016-07-04 02:00
斗六,雲林縣,33,,良好,2.6,0.12,8.6,37,1,4.1,1.5,112,1,4.65,.59,2016-07-04 02:00
冬山,宜蘭縣,19,,良好,1,0.15,7.1,23,4,6.6,0.9,178,1,7.6,.97,2016-07-04 02:00
古亭,臺北市,21,,良好,1.4,0.38,9.1,21,10,14,0.8,203,1,16.06,1.93,2016-07-04 02:00
左營,高雄市,24,,良好,7.7,0.27,1.1,19,3,12,2.3,114,1,16.85,4.36,2016-07-04 02:00
平鎮,桃園市,30,,良好,3,0.18,17,34,6,6.2,1.7,175,1,8.58,2.38,2016-07-04 02:00
永和,新北市,24,,良好,0.3,0.49,10,28,10,12,0.5,184,2,19.7,7.44,2016-07-04 02:00
安南,臺南市,23,,良好,1.7,0.17,6.6,29,4,8.8,1.6,130,1,10.65,1.86,2016-07-04 02:00
