"lineid","car","time","location","longitude","latitude"
"244005","248-BX","2016/12/31 10:37:56","新北市林口區粉寮路二段160巷28號","121.405136666667","25.0908083333333"
"231008","188-VK","2016/12/31 10:38:07","新北市新店區安華路28-1號","121.513553333333","24.8887733333333"
"231007","189-VK","2016/12/31 10:38:14","新北市新店區安華路28-1號","121.500985","24.9097483333333"
"235002","783-BX","2016/12/31 09:46:59","新北市中和區員山路36巷16-3號","121.485145","24.9911233333333"
"227006","282-VK","2016/12/31 09:39:33","新北市雙溪區三貂里政光路3-1號","121.795986666667","25.0115033333333"
"253003","6232-TK","2016/12/31 10:38:11","新北市石門區中山路64-1號","121.542441666667","25.2892483333333"
"252007","AAC-283","2016/12/31 01:27:24","新北市三芝區埔坪里埔頭坑41號","121.504451666667","25.2644083333333"
"236001","138-TH","2016/12/31 09:32:11","新北市土城區永寧路36-1號","121.428101666667","24.959155"
