SiteName,County,PSI,MajorPollutant,Status,SO2,CO,O3,PM10,PM2.5,NO2,WindSpeed,WindDirec,FPMI,NOx,NO,PublishTime
麥寮,雲林縣,50,,良好,1.9,0.16,29,50,9,3.2,3.2,220,1,4.28,1.08,2016-06-02 18:00
關山,臺東縣,24,,良好,1,,25,24,11,2.2,1.1,249,1,3.23,1,2016-06-02 18:00
馬公,澎湖縣,27,,良好,2.6,0.26,20,31,10,8,1.7,168,1,11.18,3.15,2016-06-02 18:00
金門,金門縣,45,,良好,1.7,0.31,54,33,7,6.7,4,93,2,8.35,1.63,2016-06-02 18:00
馬祖,連江縣,52,臭氧,普通,2,0.22,63,21,14,5,4.7,51,1,5.35,.31,2016-06-02 18:00
埔里,南投縣,29,,良好,1.4,0.19,35,26,10,5.7,1.9,311,1,7.44,1.71,2016-06-02 18:00
復興,高雄市,35,,良好,2.8,0.48,19,35,8,13,1,233,1,16.49,3.92,2016-06-02 18:00
永和,新北市,18,,良好,2.5,0.94,12,19,10,30,2.2,95,1,48.18,17.94,2016-06-02 18:00
竹山,南投縣,32,,良好,2.4,0.14,30,36,10,5.5,1.4,214,2,6.03,.53,2016-06-02 18:00
中壢,桃園市,39,,良好,1.8,1.15,9,51,11,33,1,66,1,49.77,16.74,2016-06-02 18:00
三重,新北市,35,,良好,2.7,2.18,,37,13,38,,,2,108.01,69.52,2016-06-02 18:00
冬山,宜蘭縣,26,,良好,3.2,0.33,31,23,0,14,1,113,1,17.56,3.45,2016-06-02 18:00
宜蘭,宜蘭縣,34,,良好,1.4,0.42,41,14,3,7.2,1.5,71,1,9.21,2.03,2016-06-02 18:00
陽明,臺北市,34,,良好,0.5,0.14,41,16,12,4.4,,,1,4.79,.44,2016-06-02 18:00
花蓮,花蓮縣,31,,良好,1.7,0.42,37,22,7,13,2.1,38,2,15.89,2.77,2016-06-02 18:00
臺東,臺東縣,29,,良好,1.6,0.44,31,35,11,8.6,1.8,66,1,11.56,2.94,2016-06-02 18:00
恆春,屏東縣,24,,良好,0.8,0.07,26,24,7,2.6,2.8,279,,5.41,2.82,2016-06-02 18:00
潮州,屏東縣,47,,良好,1.8,0.23,32,48,12,,2.9,307,1,,,2016-06-02 18:00
屏東,屏東縣,29,,良好,2.3,0.28,29,13,8,8,2.2,308,2,9.71,1.73,2016-06-02 18:00
小港,高雄市,37,,良好,3.4,0.19,22,44,6,9.6,2.4,270,1,12.91,3.36,2016-06-02 18:00
前鎮,高雄市,32,,良好,2.7,0.25,23,30,17,11,2.1,301,1,13.51,2.8,2016-06-02 18:00
前金,高雄市,29,,良好,1.6,0.18,28,32,16,3,3.1,271,1,4.6,1.58,2016-06-02 18:00
左營,高雄市,53,懸浮微粒,普通,2.1,0.13,30,78,14,2.5,2.2,277,2,2.78,.32,2016-06-02 18:00
楠梓,高雄市,49,,良好,1.7,0.32,25,54,16,6.2,2.2,277,2,7.31,1.09,2016-06-02 18:00
林園,高雄市,28,,良好,1.3,0.07,27,30,14,4.6,3,288,2,6.55,1.98,2016-06-02 18:00
大寮,高雄市,26,,良好,1.8,0.23,25,27,20,8.1,1.9,262,1,9.79,1.73,2016-06-02 18:00
鳳山,高雄市,40,,良好,1.1,0.39,27,38,13,7.9,2.4,281,1,9.93,1.99,2016-06-02 18:00
仁武,高雄市,36,,良好,1.9,0.16,26,35,7,8.9,2.1,296,1,11.53,2.59,2016-06-02 18:00
橋頭,高雄市,0,,,2,0.27,28,23,8,,2.7,271,,,,2016-06-02 18:00
美濃,高雄市,29,,良好,2,0.16,35,25,18,3.7,1.3,297,2,5.32,1.63,2016-06-02 18:00
臺南,臺南市,32,,良好,3.3,0.24,25,28,12,5.8,2.6,240,1,6.65,.81,2016-06-02 18:00
安南,臺南市,31,,良好,2.1,0.17,27,36,12,3.2,3.1,272,2,3.4,.17,2016-06-02 18:00
善化,臺南市,32,,良好,2.1,0.16,27,30,13,6,3,251,,7.75,1.73,2016-06-02 18:00
新營,臺南市,37,,良好,2.6,0.29,24,43,14,6.4,2.6,245,2,8.23,1.84,2016-06-02 18:00
