SiteName,County,PSI,MajorPollutant,Status,SO2,CO,O3,PM10,PM2.5,NO2,WindSpeed,WindDirec,FPMI,NOx,NO,PublishTime
二林,彰化縣,38,,良好,5.9,0.1,38,30,17,3.5,5.2,269,2,5.98,2.45,2016-07-27 13:00
三重,新北市,51,懸浮微粒,普通,4,1.37,,58,30,54,,,3,105.34,51.77,2016-07-27 13:00
三義,苗栗縣,58,臭氧,普通,2.9,0.2,70,40,15,6.7,3.2,220,2,7.33,.59,2016-07-27 13:00
土城,新北市,66,臭氧,普通,2.9,0.19,80,35,15,6.7,3.2,312,2,8.92,2.21,2016-07-27 13:00
士林,臺北市,53,臭氧,普通,3.2,0.18,64,44,23,9.5,4.5,321,2,10.9,1.41,2016-07-27 13:00
大同,臺北市,55,懸浮微粒,普通,3.7,0.94,,61,39,27,,,3,35.08,8.09,2016-07-27 13:00
大里,臺中市,51,臭氧,普通,1.8,0.21,61,37,20,7,2.3,230,2,8.67,1.7,2016-07-27 13:00
大園,桃園市,46,,良好,3.6,0.17,55,46,24,4.9,5.4,231,2,5.62,.69,2016-07-27 13:00
大寮,高雄市,28,,良好,4,0.1,33,25,13,9.2,3.6,192,2,12.21,3.03,2016-07-27 13:00
小港,高雄市,32,,良好,6.1,0.12,39,18,9,7.5,4.3,261,1,11.39,3.85,2016-07-27 13:00
中山,臺北市,55,臭氧,普通,3.1,0.48,66,44,28,23,2.6,324,2,26.46,3.38,2016-07-27 13:00
中壢,桃園市,50,,良好,3.5,0.86,47,52,14,30,2,153,2,49.33,18.96,2016-07-27 13:00
仁武,高雄市,50,,良好,2.3,0.11,28,56,22,5.9,3.7,276,2,8.75,2.91,2016-07-27 13:00
斗六,雲林縣,39,,良好,3.3,0.18,47,16,18,3.1,3.2,259,2,6.98,3.91,2016-07-27 13:00
冬山,宜蘭縣,47,,良好,5.9,0.31,43,52,9,9.6,3,69,2,14.09,4.53,2016-07-27 13:00
古亭,臺北市,74,臭氧,普通,3,0.38,88,38,18,18,1.8,242,2,20.31,1.94,2016-07-27 13:00
左營,高雄市,37,,良好,3.7,0.11,39,29,19,3.8,4.4,281,2,4.74,.95,2016-07-27 13:00
平鎮,桃園市,54,臭氧,普通,3.2,0.18,65,34,8,9.5,4.8,232,2,11.13,1.65,2016-07-27 13:00
永和,新北市,59,臭氧,普通,3.1,0.77,71,,25,28,2.2,242,2,32.65,4.55,2016-07-27 13:00
安南,臺南市,34,,良好,1.5,0.09,38,24,12,1.7,3.8,275,2,2.07,.4,2016-07-27 13:00
朴子,嘉義縣,38,,良好,1.5,0.13,27,28,24,3.3,3.5,237,2,6.07,2.81,2016-07-27 13:00
