SiteName,County,PSI,MajorPollutant,Status,SO2,CO,O3,PM10,PM2.5,NO2,WindSpeed,WindDirec,FPMI,NOx,NO,PublishTime
二林,彰化縣,26,,良好,3.1,0.13,31,5,,4.2,4,221,,4.83,.64,2016-07-10 20:00
三重,新北市,36,,良好,3.2,2.58,,37,13,46,,,2,162.69,116.96,2016-07-10 20:00
三義,苗栗縣,0,,,1.6,0.16,31,14,5,1.3,2.6,183,1,2.46,1.19,2016-07-10 20:00
土城,新北市,14,,良好,2.3,0.55,17,10,7,22,1,141,1,24.2,1.78,2016-07-10 20:00
士林,臺北市,22,,良好,1.7,0.64,5.4,20,12,38,0.6,348,2,42.2,4.01,2016-07-10 20:00
大同,臺北市,42,,良好,5.3,2.63,,40,13,42,,,2,157.98,115.56,2016-07-10 20:00
大里,臺中市,22,,良好,1.2,0.37,27,18,14,11,2.1,252,1,12.19,1.29,2016-07-10 20:00
大園,桃園市,21,,良好,3.5,0.34,20,18,2,19,1.3,139,1,19.75,1.21,2016-07-10 20:00
大寮,高雄市,21,,良好,1.5,0.13,25,7,5,6.1,0.9,15,1,7.37,1.25,2016-07-10 20:00
小港,高雄市,24,,良好,15,0.56,17,24,7,19,2.2,81,1,24.79,5.43,2016-07-10 20:00
中山,臺北市,25,,良好,1.2,0.56,15,21,,29,1.9,165,1,30.37,1.58,2016-07-10 20:00
中壢,桃園市,38,,良好,2,1.72,9.4,32,19,30,1.5,214,2,73.81,44.26,2016-07-10 20:00
仁武,高雄市,39,,良好,3.5,0.53,16,50,4,19,2.5,99,1,20.4,.99,2016-07-10 20:00
斗六,雲林縣,19,,良好,2.9,0.37,23,22,8,12,1,216,1,14.76,3.1,2016-07-10 20:00
冬山,宜蘭縣,21,,良好,1.3,0.16,20,22,2,5.2,0.8,230,1,6.22,1.04,2016-07-10 20:00
古亭,臺北市,15,,良好,1.6,0.67,15,18,12,26,1.1,212,1,31.11,4.95,2016-07-10 20:00
左營,高雄市,31,,良好,7.9,0.89,2.6,30,7,34,1.1,79,1,39.9,6.18,2016-07-10 20:00
平鎮,桃園市,25,,良好,2.7,0.36,23,27,10,15,1.4,130,1,16.83,2.03,2016-07-10 20:00
永和,新北市,16,,良好,1.2,0.89,15,12,6,24,0.8,134,1,36.23,11.74,2016-07-10 20:00
安南,臺南市,26,,良好,1.4,0.23,25,24,21,8.2,5,147,2,10.06,1.89,2016-07-10 20:00
朴子,嘉義縣,25,,良好,2.4,0.2,29,29,22,7.1,4.1,168,1,9.01,1.94,2016-07-10 20:00
汐止,新北市,23,,良好,2.7,0.55,4.2,25,16,29,0.8,53,2,34.79,5.63,2016-07-10 20:00
竹山,南投縣,21,,良好,1.5,0.21,26,26,7,5.2,1.2,256,1,6.08,.93,2016-07-10 20:00
竹東,新竹縣,23,,良好,1.1,0.22,28,20,13,4.5,0.8,102,2,5.68,1.15,2016-07-10 20:00
西屯,臺中市,30,,良好,1,0.16,35,21,11,6.1,2.8,204,1,7.22,1.08,2016-07-10 20:00
沙鹿,臺中市,26,,良好,1.4,0.25,32,18,7,8.7,3.8,179,1,9.97,1.28,2016-07-10 20:00
宜蘭,宜蘭縣,24,,良好,1.3,0.19,28,14,6,2.8,1.4,295,1,3.42,.66,2016-07-10 20:00
