MeasureId,MeasureLocation,MeasureDate,County,Township,MeasureAddress,RadiatorType,RadiatorTypeName,PowerDensityMax,ItemUnit,Legal
O00779,極低頻量測,2014-10-21,新竹市,東區,新竹市東大路2段389號,24,落地型變壓器,3.27,mG,True
P10143,雲林縣二崙鄉湳子路92巷1號(手機基地台),2014-10-27,雲林縣,二崙鄉,湳子路92巷1號,11,手機基地臺,3E-08,mW/cm<sup>2</sup>,True
C00624,基隆市百福國中,2014-11-04,基隆市,七堵區,福五街1號,91,學校極低頻設施,6.48,mG,True
P10142,雲林縣二崙鄉華西路15號旁(手機基地台),2014-10-27,雲林縣,二崙鄉,華西路15號旁,11,手機基地臺,1.5E-07,mW/cm<sup>2</sup>,True
J00777,新豐鄉忠信街-基地台量測,2014-10-28,新竹縣,新豐鄉,忠信街,11,手機基地臺,2.536881E-06,mW/cm<sup>2</sup>,True
J00776,新豐鄉瑞興村竹2線-高塔型基地台量測,2014-10-28,新竹縣,新豐鄉,竹2線,11,手機基地臺,2.554649E-06,mW/cm<sup>2</sup>,True
J00775,湖口鄉乾興路-基地台量測,2014-10-22,新竹縣,湖口鄉,乾興路,11,手機基地臺,2.656179E-06,mW/cm<sup>2</sup>,True
J00774,湖口鄉光復南路58號-基地台量測,2014-10-22,新竹縣,湖口鄉,光復南路58號,11,手機基地臺,2.564314E-06,mW/cm<sup>2</sup>,True
J00773,湖口鄉中平路一段600巷6弄2號-基地台量測,2014-10-22,新竹縣,湖口鄉,中平路一段600巷6弄2號,11,手機基地臺,2.543961E-06,mW/cm<sup>2</sup>,True
J00772,湖口鄉工業五路1號-基地台量測,2014-10-22,新竹縣,湖口鄉,工業五路1號,11,手機基地臺,2.559813E-06,mW/cm<sup>2</sup>,True
J00771,芎林鄉富林路一段133號-基地台量測,2014-10-22,新竹縣,芎林鄉,富林路一段133號,11,手機基地臺,2.54917E-06,mW/cm<sup>2</sup>,True
J00770,竹東鎮沿河街249號-基地台量測,2014-10-22,新竹縣,竹東鎮,沿河街249號,11,手機基地臺,2.562606E-06,mW/cm<sup>2</sup>,True
